id,WRITE-IN,Zora S. Felton,over,under
05-01,28,1173,1,753
05-03,34,1316,0,1081
05-05,58,3487,1,2327
05-06,12,723,0,547
05-07,62,3169,5,2152
05-08,20,1425,0,954
07-02,19,766,0,613
07-06,24,1557,0,1413
07-07,39,1697,1,1351
07-07A,3,247,0,254
07-10,40,2283,2,1692
07-12,28,1291,0,921
08-02,48,1901,2,1401
08-03,75,2556,4,1678
08-04,35,805,0,693
08-05,26,997,0,843
08-06,25,1191,0,593
08-07,32,1172,0,1101
08-08,56,2040,0,1608
08-09,17,1002,0,721
08-10,39,1264,1,929
08-11,53,1865,1,1439
20-15,4,222,1,137
20-16,12,476,0,349
