id,Gary Lewis,Gil Pagan,Lindsay Mahaffey,WRITE-IN,over,under
03-00,568,689,1073,8,4,704
06-04,625,546,940,19,2,773
06-05,499,885,739,9,2,691
06-06,792,945,1501,16,2,1154
06-08,386,396,606,5,1,485
06-09,1000,932,1235,17,5,1074
06-10,483,645,637,15,1,593
12-09,687,954,807,7,0,832
18-05,798,1210,1231,17,6,1008
20-01,649,556,991,17,1,681
20-03,585,685,1089,18,3,693
20-05,600,948,946,13,2,784
20-06A,763,688,1449,16,2,908
20-06B,585,717,997,13,3,693
20-08,895,799,1268,10,2,841
20-09,488,485,868,7,1,544
20-11,620,755,1082,11,1,718
20-12,475,521,729,12,3,502
20-14,1195,969,1367,16,5,1229
20-15,611,481,821,13,4,631
20-16,358,303,530,15,5,420
20-17,578,613,923,11,2,799
