id,Bill Fletcher,Michael Tanbusch,WRITE-IN,over,under
04-01,876,391,13,2,547
04-02,1009,425,26,0,651
04-03,725,391,17,1,530
04-04,608,336,15,1,453
04-05,1418,583,26,4,971
04-06,1147,434,14,0,928
04-07,1182,373,17,0,924
04-08,892,444,16,1,654
04-09,920,385,20,0,778
04-10,1079,451,24,1,798
04-11,549,301,13,0,402
04-12,1113,451,11,1,835
04-13,1685,766,25,1,1382
04-14,677,249,10,2,542
04-15,947,462,9,0,655
04-16,843,362,20,0,621
04-17,746,306,21,1,567
04-18,958,480,18,0,773
04-19,693,294,12,0,556
04-20,1170,570,17,1,819
04-21,570,383,11,3,498
05-01,646,240,6,1,520
05-03,220,55,2,0,171
05-06,1233,577,24,2,1050
18-03,895,347,14,0,763
18-08,1477,662,11,1,1074
20-04,1288,631,23,1,1020
20-10,1231,512,23,1,933
