id,Erv Portman,Kenneth (Kenn) Gardner,over,under
01-01,1132,443,1,129
01-02,1004,546,0,121
01-03,840,860,1,134
01-04,545,456,0,92
01-05,438,445,0,67
01-06,1502,707,0,178
01-07,1159,464,0,123
01-07A,187,25,0,25
01-09,693,286,0,68
01-10,743,503,0,101
01-11,632,1112,0,124
01-12,842,612,0,145
01-13,981,271,0,101
01-14,2175,610,0,208
01-15,770,720,1,96
01-16,1297,775,0,173
01-17,388,483,0,68
01-18,1258,883,0,173
01-19,1281,60,0,65
01-20,1694,266,0,141
01-21,1988,933,2,243
01-22,2793,165,1,105
01-23,3137,1783,1,589
01-25,407,48,0,18
01-26,1729,126,0,125
01-27,1205,249,0,112
01-28,2598,512,2,189
01-29,957,1003,1,144
01-30,524,533,0,81
01-31,1903,572,0,228
01-32,1259,598,0,148
01-33,687,494,0,92
01-34,1096,64,1,53
01-35,1517,76,1,88
01-36,811,1083,2,167
01-37,777,732,1,97
01-38,1153,547,0,131
01-39,1307,739,0,146
01-40,2869,212,0,121
01-41,1105,438,0,156
01-42,948,1341,0,158
01-43,1153,532,0,117
01-44,1752,992,2,208
01-45,777,658,0,93
01-46,1851,325,1,140
01-47,802,1015,0,108
01-48,1310,462,2,125
01-49,1548,664,1,145
01-50,1906,134,0,94
01-51,468,433,0,83
02-01,1086,1428,0,182
02-02,1666,2722,0,348
02-03,865,1537,0,185
02-04,702,1231,0,144
02-05,338,513,0,60
02-06,771,1386,0,139
03-00,1206,1598,0,242
04-01,1022,662,0,145
04-02,1178,801,0,132
04-03,972,590,0,102
04-04,796,512,0,105
04-05,1652,1168,2,180
04-06,1294,1025,0,204
04-07,975,1390,0,131
04-08,1219,646,0,142
04-09,963,1008,0,132
04-10,1187,999,0,167
04-11,780,402,0,83
04-12,1225,1037,0,149
04-13,1906,1626,2,325
04-14,763,632,0,85
04-15,1116,798,1,158
04-16,1018,691,0,137
04-17,911,605,0,125
04-18,1214,852,0,163
04-19,822,618,0,115
04-20,1463,935,0,179
04-21,944,411,0,110
05-01,1750,1391,2,225
05-03,1306,1344,0,229
05-05,3227,2199,3,444
05-06,2091,1810,0,267
05-07,3332,1683,1,372
05-08,1469,749,0,181
06-04,1357,1309,0,239
06-05,962,1684,2,177
06-06,1927,2167,0,316
06-07,1314,1292,1,176
06-08,916,830,0,133
06-09,1570,2347,0,346
06-10,873,1348,0,153
07-01,823,528,0,97
07-02,682,610,0,106
07-03,661,645,0,85
07-04,2028,1176,1,236
07-05,769,670,0,111
07-06,1279,1481,0,234
07-07,1505,1359,0,224
07-07A,232,199,0,73
07-09,1472,1024,1,174
07-10,2214,1483,0,320
07-11,505,504,0,67
07-12,1219,836,0,185
07-13,1032,774,0,124
08-02,1668,1482,3,199
08-03,2159,1870,0,284
08-04,628,798,1,106
08-05,803,946,0,117
08-06,1177,513,0,119
08-07,882,1258,1,164
08-08,1623,1818,0,263
08-09,917,673,0,150
08-10,1166,911,0,156
08-11,1725,1336,1,296
09-01,747,993,0,120
09-02,1571,983,1,171
09-03,872,1276,0,118
10-01,298,689,0,48
10-02,1415,1391,0,147
10-03,1037,967,0,126
10-04,2828,2210,0,289
11-01,2162,1459,0,328
11-02,1865,1502,1,239
12-01,1432,2764,2,297
12-02,1544,1770,1,244
12-04,915,2226,1,218
12-05,2251,3424,0,415
12-06,1036,1700,2,207
12-07,784,1239,0,119
12-08,1658,1582,1,233
12-09,1149,1909,1,228
13-01,2553,704,1,175
13-02,749,857,0,152
13-05,1084,473,0,122
13-06,1272,1139,0,147
13-07,1212,588,0,109
13-08,1566,402,1,115
13-09,2324,808,0,201
13-10,2143,2337,0,347
13-11,1130,1377,0,184
14-01,193,403,0,40
14-02,1356,3200,1,327
15-01,1160,2065,0,222
15-02,1765,2319,2,260
15-03,1142,2335,1,218
15-04,663,1069,0,109
16-01,858,1133,1,123
16-02,2901,727,1,184
16-03,696,464,1,70
16-04,1037,1021,1,160
16-05,981,1017,1,160
16-06,724,407,1,69
16-07,1346,1255,1,179
16-08,4692,829,3,256
16-09,1473,998,1,176
17-01,1448,606,0,143
17-02,367,374,0,61
17-03,3192,1596,3,349
17-04,2728,1702,0,238
17-05,2058,912,1,205
17-06,691,819,0,105
17-07,2341,471,2,106
17-08,3703,2194,1,395
17-09,2369,272,1,111
17-10,550,337,0,78
17-11,2337,841,1,205
18-01,2442,1120,1,355
18-02,1471,2281,0,267
18-03,988,914,0,117
18-04,1331,1773,0,192
18-05,1974,2055,1,240
18-06,1937,1134,1,271
18-07,1003,1649,0,172
18-08,1583,1395,1,246
19-03,913,1383,0,177
19-04,2648,3008,2,428
19-05,811,1620,0,186
19-07,1051,1140,1,176
19-09,1315,2021,1,236
19-10,2462,3806,2,455
19-11,921,1271,0,229
19-12,1875,2372,0,342
19-13,900,743,1,156
19-14,914,1231,0,153
19-15,830,1157,0,155
19-16,1019,1127,0,128
19-17,2369,1434,1,219
20-01,1449,1252,1,193
20-03,1381,1470,0,222
20-04,1491,1258,0,214
20-05,1437,1624,1,231
20-06A,1863,1636,1,326
20-06B,1238,1529,0,241
20-08,1671,1823,0,321
20-09,1093,1130,0,170
20-10,1376,1126,0,198
20-11,1302,1629,0,256
20-12,925,1129,0,188
20-14,2468,1966,0,347
20-15,1675,1045,0,205
20-16,1459,839,0,170
20-17,1425,1241,0,260
