id,Greg Ford,John Odom,over,under
01-01,1112,451,0,142
01-02,1008,534,0,129
01-03,815,890,0,130
01-04,496,508,0,89
01-05,414,481,0,55
01-06,1485,720,1,181
01-07,1125,493,1,127
01-07A,186,22,0,29
01-09,678,303,0,66
01-10,718,536,0,93
01-11,556,1224,1,87
01-12,820,632,0,147
01-13,974,286,0,93
01-14,2144,619,0,230
01-15,774,717,1,95
01-16,1287,794,0,164
01-17,385,482,0,72
01-18,1239,922,0,153
01-19,1286,60,1,59
01-20,1702,266,0,133
01-21,2020,901,1,244
01-22,2808,150,0,106
01-23,3275,1636,0,599
01-25,407,47,0,19
01-26,1759,104,0,117
01-27,1168,289,0,109
01-28,2631,499,0,171
01-29,884,1098,1,122
01-30,504,560,0,74
01-31,1947,524,0,232
01-32,1284,562,0,159
01-33,681,499,0,93
01-34,1106,60,0,48
01-35,1503,95,1,83
01-36,770,1130,0,163
01-37,758,747,0,102
01-38,1125,605,0,101
01-39,1339,710,1,142
01-40,2876,210,0,116
01-41,1091,440,0,168
01-42,924,1377,1,145
01-43,1145,542,0,115
01-44,1767,989,1,197
01-45,791,656,0,81
01-46,1848,337,0,132
01-47,818,1006,0,101
01-48,1313,461,1,124
01-49,1569,624,0,165
01-50,1915,118,0,101
01-51,456,453,0,75
02-01,1096,1430,1,169
02-02,1687,2701,1,347
02-03,874,1538,1,174
02-04,722,1223,0,132
02-05,337,508,0,66
02-06,743,1424,0,129
03-00,1211,1578,0,257
04-01,977,683,0,169
04-02,1155,804,1,151
04-03,967,573,0,124
04-04,793,499,0,121
04-05,1631,1165,1,205
04-06,1248,1053,0,222
04-07,926,1407,0,163
04-08,1216,631,1,159
04-09,978,968,1,156
04-10,1165,997,0,191
04-11,777,395,0,93
04-12,1195,1046,2,168
04-13,1887,1587,1,384
04-14,759,618,0,103
04-15,1119,782,0,172
04-16,1012,686,1,147
04-17,907,582,0,152
04-18,1196,845,0,188
04-19,802,627,0,126
04-20,1474,902,2,199
04-21,939,402,0,124
05-01,1788,1331,0,249
05-03,1326,1313,0,240
05-05,3289,2120,1,463
05-06,2044,1822,2,300
05-07,3391,1588,0,409
05-08,1496,710,0,193
06-04,1411,1237,2,255
06-05,967,1642,0,216
06-06,1940,2103,0,367
06-07,1303,1287,1,192
06-08,946,796,0,137
06-09,1651,2232,1,379
06-10,918,1288,0,168
07-01,816,539,1,92
07-02,674,618,0,106
07-03,638,671,0,82
07-04,2070,1132,2,237
07-05,795,662,0,93
07-06,1253,1522,1,218
07-07,1517,1345,0,226
07-07A,207,228,0,69
07-09,1462,1025,0,184
07-10,2257,1434,1,325
07-11,499,509,0,68
07-12,1206,856,1,177
07-13,1033,778,0,119
08-02,1700,1434,4,214
08-03,2229,1781,1,302
08-04,652,779,1,101
08-05,832,917,0,117
08-06,1197,491,0,121
08-07,901,1230,2,172
08-08,1674,1759,0,271
08-09,929,663,0,148
08-10,1194,888,1,150
08-11,1794,1265,0,299
09-01,771,971,0,118
09-02,1622,943,0,161
09-03,887,1260,0,119
10-01,303,685,0,47
10-02,1476,1325,0,152
10-03,1054,948,0,128
10-04,2918,2128,1,280
11-01,2193,1423,1,332
11-02,1852,1518,0,237
12-01,1481,2689,0,325
12-02,1599,1698,0,262
12-04,968,2150,1,241
12-05,2281,3365,1,443
12-06,1072,1661,2,210
12-07,800,1205,1,136
12-08,1692,1539,0,243
12-09,1190,1855,0,242
13-01,2574,672,0,187
13-02,751,851,0,156
13-05,1101,449,0,129
13-06,1300,1100,1,157
13-07,1227,567,1,114
13-08,1573,395,0,116
13-09,2365,760,0,208
13-10,2181,2310,3,333
13-11,1195,1322,2,172
14-01,206,386,0,44
14-02,1416,3116,1,351
15-01,1215,1995,0,237
15-02,1822,2250,1,273
15-03,1210,2256,0,230
15-04,704,1025,0,112
16-01,882,1109,0,124
16-02,2946,679,1,187
16-03,725,432,0,74
16-04,1064,993,1,161
16-05,1016,977,1,165
16-06,735,394,0,72
16-07,1368,1226,1,186
16-08,4731,775,1,273
16-09,1498,961,0,189
17-01,1434,626,1,136
17-02,371,366,0,65
17-03,3219,1553,3,365
17-04,2744,1677,1,246
17-05,2072,896,0,208
17-06,710,812,0,93
17-07,2360,447,0,113
17-08,3766,2123,0,404
17-09,2395,247,0,111
17-10,562,328,2,73
17-11,2355,832,1,196
18-01,2512,1055,0,351
18-02,1448,2279,0,292
18-03,958,926,0,135
18-04,1380,1700,0,216
18-05,1856,2122,1,291
18-06,1968,1088,0,287
18-07,998,1625,0,201
18-08,1564,1382,0,279
19-03,965,1336,0,172
19-04,2738,2911,1,436
19-05,868,1570,0,179
19-07,1068,1118,2,180
19-09,1369,1964,1,239
19-10,2552,3699,0,474
19-11,970,1239,0,212
19-12,1964,2273,2,350
19-13,911,738,1,150
19-14,971,1173,0,154
19-15,868,1123,0,151
19-16,1045,1100,0,129
19-17,2410,1377,1,235
20-01,1469,1209,0,217
20-03,1365,1454,1,253
20-04,1504,1218,0,241
20-05,1392,1625,0,276
20-06A,1904,1562,1,359
20-06B,1265,1472,0,271
20-08,1675,1782,0,358
20-09,1062,1124,0,207
20-10,1366,1111,0,223
20-11,1314,1589,0,284
20-12,929,1113,0,200
20-14,2502,1895,0,384
20-15,1704,1002,0,219
20-16,1468,806,0,194
20-17,1410,1224,1,291
