id,Roxie Cash,WRITE-IN,over,under
01-42,1065,46,1,1335
01-43,942,37,1,822
01-44,1358,45,1,1550
01-45,759,39,1,729
01-47,907,33,0,985
02-01,1250,35,2,1409
02-02,2123,83,0,2530
02-03,1100,39,1,1447
02-04,892,26,0,1159
02-05,425,15,0,471
02-06,1029,29,0,1238
07-05,774,28,1,747
07-13,983,28,0,919
13-02,833,25,0,900
13-05,830,27,1,821
13-06,1326,49,0,1183
13-07,874,42,4,989
13-08,1004,34,3,1043
13-09,1621,59,3,1650
13-10,2349,92,1,2385
13-11,1287,53,2,1349
14-01,284,12,1,339
14-02,2212,92,1,2579
19-13,857,39,1,903
19-14,1104,49,1,1144
19-15,728,34,3,677
