id,Audra Killingsworth,Brett Gantt,David Hooks,Graham Wilson,Nicole Dozier,Write-In,over,under
03-00,425,469,193,165,543,11,0,159
04-13,15,22,27,21,30,0,0,17
06-09,1,0,2,2,0,0,0,2
20-01,208,229,127,114,234,4,0,125
20-03,492,523,333,298,539,21,0,236
20-04,1,1,1,0,1,0,0,0
20-05,13,14,13,5,19,0,0,2
20-06A,632,679,300,272,710,14,0,234
20-06B,513,586,316,289,591,8,0,208
20-08,460,531,390,341,570,12,0,267
20-09,371,425,286,258,453,17,0,206
20-11,465,527,286,239,506,8,0,193
20-12,247,269,137,127,270,5,3,107
