id,Charles Francis,Nancy McFarlane,over,under
01-01,186,378,0,1
01-02,117,459,0,0
01-03,153,580,0,0
01-04,90,327,0,0
01-05,98,355,0,1
01-06,143,555,0,1
01-07,118,476,0,0
01-07A,50,19,0,1
01-09,71,425,0,0
01-10,93,494,0,0
01-11,169,630,0,1
01-12,110,378,0,2
01-13,165,439,0,0
01-14,303,1006,0,1
01-15,112,372,0,1
01-16,225,583,0,1
01-17,67,208,0,2
01-18,227,444,0,1
01-19,375,58,0,3
01-20,453,247,0,1
01-21,272,348,0,0
01-22,798,70,0,1
01-23,123,309,0,0
01-25,79,38,0,0
01-26,336,162,0,2
01-27,144,437,0,0
01-28,588,497,1,1
01-29,226,610,0,0
01-30,95,317,0,0
01-31,194,212,0,0
01-32,149,250,0,0
01-33,124,442,0,1
01-34,229,81,0,0
01-35,453,54,0,1
01-36,128,435,0,1
01-37,130,413,0,0
01-38,244,313,0,0
01-39,207,292,0,0
01-40,734,93,0,2
01-41,118,352,0,0
01-42,183,545,0,0
01-43,127,297,0,1
01-44,265,454,0,1
01-45,118,271,0,0
01-46,300,127,0,0
01-47,142,419,0,0
01-48,156,473,0,0
01-49,117,129,0,1
01-50,653,47,0,0
01-51,89,213,0,0
02-01,48,128,0,0
02-04,17,27,0,0
02-06,49,156,0,0
04-05,12,41,0,0
05-05,375,399,0,0
07-01,105,294,0,0
07-02,99,264,1,2
07-03,121,363,0,0
07-04,287,624,0,0
07-05,142,263,0,2
07-06,185,830,0,0
07-07,194,660,0,2
07-07A,23,293,0,3
07-09,181,457,0,0
07-10,189,367,0,0
07-11,86,309,0,0
07-12,143,428,0,0
07-13,167,377,0,4
08-02,154,424,0,0
08-03,257,327,0,0
08-05,53,119,0,0
08-06,122,158,0,0
08-07,11,7,0,0
08-08,125,259,0,1
08-09,114,250,0,2
08-10,135,212,0,0
08-11,215,358,0,1
11-01,181,457,0,3
11-02,228,762,0,0
13-01,391,115,0,1
13-02,121,241,0,4
13-05,127,93,0,1
13-06,180,395,0,3
13-07,246,138,0,1
13-08,279,90,0,0
13-09,473,193,0,1
13-10,361,634,0,0
13-11,290,346,0,2
16-02,314,28,0,1
16-10,641,82,0,0
16-11,317,38,1,0
17-01,269,135,0,2
17-03,653,394,0,0
17-04,88,36,0,0
17-05,444,271,0,1
17-07,584,103,0,0
17-09,614,80,0,2
17-10,144,92,0,0
17-11,468,211,0,2
18-01,192,249,0,0
18-06,127,201,0,0
19-04,124,75,0,0
19-13,107,147,0,0
19-14,157,185,0,0
19-15,99,130,0,0
19-16,126,45,0,1
19-17,520,243,0,3
