id,Against,For,over,under
01-01,1100,202,1,29
01-02,1121,199,1,35
01-03,1106,389,0,52
01-04,721,202,0,29
01-05,624,209,0,28
01-06,1563,373,0,64
01-07,1215,260,0,49
01-07A,121,32,0,20
01-09,808,114,0,20
01-10,982,225,1,26
01-11,1145,572,0,58
01-12,1045,269,1,50
01-13,1032,140,0,25
01-14,2260,342,0,42
01-15,1051,415,1,71
01-16,1542,411,2,55
01-17,563,227,0,43
01-18,1345,458,2,62
01-19,836,138,0,30
01-20,1394,274,0,43
01-21,1805,490,0,68
01-22,2022,296,2,66
01-23,2613,850,1,138
01-25,250,64,0,9
01-26,1042,163,1,42
01-27,1141,208,0,31
01-28,2269,421,2,52
01-29,1303,513,0,53
01-30,751,241,0,45
01-31,1452,349,2,90
01-32,1153,327,1,55
01-33,941,255,1,39
01-34,658,126,0,15
01-35,1026,180,2,36
01-36,1199,554,0,70
01-37,1030,318,0,44
01-38,1115,297,1,37
01-39,1255,400,1,45
01-40,1914,300,3,58
01-41,1117,231,0,43
01-42,1315,694,2,67
01-43,1047,370,0,45
01-44,1721,590,3,58
01-45,893,304,0,32
01-46,1081,320,3,41
01-47,1089,493,1,62
01-48,1329,275,0,25
01-49,1228,385,1,60
01-50,1527,278,1,47
01-51,615,208,0,29
02-01,1573,775,0,62
02-02,2539,1475,2,151
02-03,1421,781,0,73
02-04,1038,696,2,64
02-05,528,249,0,21
02-06,1125,792,0,82
03-00,1959,1069,2,124
04-01,1100,377,1,69
04-02,1251,430,0,53
04-03,964,333,1,38
04-04,778,304,1,44
04-05,1810,601,1,98
04-06,1599,535,2,75
04-07,1376,744,1,75
04-08,1231,420,0,62
04-09,1047,554,0,68
04-10,1394,544,1,64
04-11,757,226,0,41
04-12,1456,507,0,74
04-13,2208,903,2,114
04-14,945,294,0,43
04-15,1292,432,0,47
04-16,1221,314,1,43
04-17,964,322,0,37
04-18,1247,471,2,65
04-19,972,329,2,34
04-20,1443,503,1,73
04-21,772,259,0,39
05-01,1731,853,1,104
05-03,1566,893,2,98
05-05,2868,1216,3,133
05-06,2171,1071,3,143
05-07,2716,935,3,140
05-08,1334,553,2,68
06-04,1596,793,0,101
06-05,1383,846,0,103
06-06,2383,1132,2,142
06-07,1456,783,1,83
06-08,1000,451,0,72
06-09,2401,1099,2,132
06-10,1288,747,0,80
07-01,872,277,1,36
07-02,818,349,0,39
07-03,850,286,1,41
07-04,2043,637,0,70
07-05,955,348,0,30
07-06,1950,706,1,73
07-07,1821,719,1,81
07-07A,314,113,0,30
07-09,1608,567,1,60
07-10,2320,799,2,106
07-11,707,243,0,18
07-12,1335,468,1,59
07-13,1089,438,1,46
08-02,2067,750,2,70
08-03,2268,1005,2,131
08-04,876,465,0,48
08-05,1131,463,1,54
08-06,1016,336,0,41
08-07,1256,640,1,70
08-08,2124,963,1,121
08-09,1027,309,1,52
08-10,1270,525,1,63
08-11,1824,712,3,102
09-01,848,477,1,92
09-02,1251,606,1,67
09-03,1115,766,0,52
10-01,448,395,1,45
10-02,1300,846,0,101
10-03,1065,535,2,62
10-04,3021,1557,1,157
11-01,2242,791,0,97
11-02,2151,787,0,100
12-01,2198,1409,2,171
12-02,1823,904,3,118
12-04,1576,1179,3,129
12-05,3059,1763,4,191
12-06,1529,899,2,98
12-07,1017,694,1,69
12-08,1854,754,1,125
12-09,1817,1077,0,169
13-01,1822,660,0,96
13-02,1015,403,0,54
13-05,773,299,2,37
13-06,1471,574,3,62
13-07,1090,384,2,53
13-08,1101,365,3,49
13-09,1976,643,0,91
13-10,2717,1220,3,167
13-11,1430,724,0,75
14-01,320,202,0,30
14-02,2374,1795,4,182
15-01,1721,986,0,126
15-02,2171,1300,2,132
15-03,1844,1234,3,128
15-04,1005,557,1,96
16-01,977,549,1,73
16-02,2021,656,1,87
16-03,632,255,1,36
16-04,1268,574,1,66
16-05,1105,455,0,78
16-06,606,204,0,31
16-07,1689,628,1,71
16-09,1574,596,2,73
16-10,2088,622,1,64
16-11,1246,398,1,42
17-01,1204,410,2,56
17-02,518,274,1,32
17-03,2900,1048,2,128
17-04,2529,1178,0,121
17-05,1768,673,1,70
17-06,801,504,0,69
17-07,1813,499,0,47
17-08,3437,1487,1,189
17-09,1694,458,0,54
17-10,519,199,1,30
17-11,1927,641,1,76
18-01,2024,661,2,82
18-02,2180,1147,0,116
18-03,1204,520,1,47
18-04,1814,890,1,100
18-05,2480,1172,3,121
18-06,1932,595,2,86
18-07,1470,885,1,84
18-08,1923,729,2,83
19-03,1182,647,1,93
19-04,3305,1803,1,227
19-05,1332,830,0,94
19-07,1381,742,0,96
19-09,1863,1065,1,142
19-11,1268,674,1,100
19-12,2537,1459,1,168
19-13,908,445,0,58
19-14,1105,720,0,80
19-15,1053,688,0,74
19-16,1141,580,0,57
19-17,2321,932,2,108
19-18,1196,707,0,83
19-19,2336,1511,2,155
20-01,1499,680,2,64
20-03,1804,721,1,107
20-04,1644,628,0,80
20-05,1882,912,0,95
20-06A,2301,896,0,118
20-06B,1822,659,1,78
20-08,2077,961,2,129
20-09,1452,523,1,69
20-10,1557,636,0,83
20-11,1778,868,1,90
20-12,1590,750,2,82
20-14,2705,1213,1,109
20-15,1554,657,3,80
20-16,1336,604,0,74
20-17,1619,784,5,98
