id,John Walter Bryant,Nancy (Lorrin) Freeman,over,under
01-01,241,1062,0,29
01-02,302,1025,0,29
01-03,618,898,3,28
01-04,340,588,1,23
01-05,349,499,0,13
01-06,418,1537,0,45
01-07,271,1220,0,33
01-07A,24,143,1,5
01-09,187,742,0,13
01-10,401,818,0,15
01-11,895,857,0,23
01-12,438,896,0,31
01-13,195,976,1,25
01-14,369,2236,0,39
01-15,581,923,0,34
01-16,562,1404,2,42
01-17,365,456,0,12
01-18,613,1231,0,23
01-19,34,953,0,17
01-20,179,1510,0,22
01-21,547,1771,0,45
01-22,86,2273,0,27
01-23,702,2822,0,78
01-25,22,292,0,9
01-26,72,1157,0,19
01-27,171,1187,0,22
01-28,333,2382,0,29
01-29,786,1056,0,27
01-30,397,617,0,23
01-31,294,1569,0,30
01-32,349,1158,1,28
01-33,359,856,0,21
01-34,33,754,0,12
01-35,38,1183,1,22
01-36,836,960,1,26
01-37,548,823,0,21
01-38,374,1043,0,33
01-39,478,1200,0,23
01-40,106,2147,0,22
01-41,286,1069,1,35
01-42,998,1048,1,31
01-43,385,1053,2,22
01-44,706,1621,1,44
01-45,459,752,0,18
01-46,184,1237,0,24
01-47,733,882,0,30
01-48,318,1284,1,26
01-49,350,1289,1,34
01-50,113,1723,2,15
01-51,328,515,0,9
02-01,1109,1261,0,40
02-02,2110,1978,2,77
02-03,1215,1033,1,26
02-04,967,797,0,36
02-05,381,404,0,13
02-06,1097,868,0,34
03-00,1452,1630,3,69
04-01,493,1027,1,26
04-02,594,1108,0,32
04-03,435,881,0,20
04-04,378,729,0,20
04-05,833,1628,0,49
04-06,769,1401,0,41
04-07,1084,1066,0,46
04-08,459,1226,0,28
04-09,673,966,0,30
04-10,752,1212,1,38
04-11,263,739,0,22
04-12,768,1235,1,33
04-13,1192,1961,2,72
04-14,459,803,0,20
04-15,553,1185,0,33
04-16,488,1067,0,24
04-17,385,908,0,30
04-18,560,1192,0,33
04-19,465,849,0,23
04-20,604,1374,0,42
04-21,254,807,0,9
05-01,973,1679,0,37
05-03,1023,1491,0,45
05-05,1251,2920,1,48
05-06,1234,2097,0,57
05-07,914,2834,1,45
05-08,450,1463,2,42
06-04,937,1504,0,49
06-05,1251,1035,1,45
06-06,1508,2072,0,79
06-07,996,1287,1,39
06-08,568,924,0,31
06-09,1702,1857,1,74
06-10,1078,1011,0,26
07-01,375,791,1,19
07-02,460,725,0,21
07-03,456,701,1,20
07-04,761,1958,0,31
07-05,489,825,0,19
07-06,1112,1567,0,51
07-07,974,1606,0,42
07-07A,169,269,0,19
07-09,717,1478,1,40
07-10,914,2239,0,74
07-11,370,581,3,14
07-12,550,1270,1,42
07-13,545,1002,0,27
08-02,1031,1807,0,51
08-03,1253,2099,0,54
08-04,653,711,0,25
08-05,695,928,0,26
08-06,307,1072,0,14
08-07,954,981,0,32
08-08,1315,1823,1,70
08-09,457,905,1,26
08-10,621,1211,0,27
08-11,866,1722,2,51
09-01,736,654,0,28
09-02,729,1173,0,23
09-03,1026,895,1,11
10-01,573,301,0,15
10-02,1022,1192,0,33
10-03,703,935,0,26
10-04,1788,2893,1,54
11-01,968,2107,0,55
11-02,1076,1906,2,54
12-01,2079,1619,0,82
12-02,1277,1528,0,43
12-04,1787,1055,0,45
12-05,2475,2440,1,101
12-06,1315,1163,2,48
12-07,954,795,0,32
12-08,1138,1547,3,46
12-09,1634,1364,0,65
13-01,449,2099,0,30
13-02,624,820,0,28
13-05,273,826,0,12
13-06,823,1255,0,32
13-07,405,1110,0,14
13-08,264,1241,0,13
13-09,534,2152,1,23
13-10,1613,2417,3,74
13-11,1007,1178,1,43
14-01,335,211,0,6
14-02,2660,1617,1,77
15-01,1530,1252,2,49
15-02,1759,1781,1,64
15-03,1856,1293,0,60
15-04,848,784,0,27
16-01,720,857,0,23
16-02,453,2270,1,41
16-03,314,598,0,12
16-04,796,1088,0,25
16-05,706,904,1,27
16-06,274,559,0,8
16-07,923,1439,1,26
16-09,775,1439,0,31
16-10,321,2427,1,26
16-11,218,1456,1,12
17-01,423,1226,1,22
17-02,351,465,0,9
17-03,1040,2973,1,64
17-04,1168,2614,0,46
17-05,609,1858,2,43
17-06,667,688,0,19
17-07,293,2043,0,23
17-08,1442,3609,0,63
17-09,149,2040,0,17
17-10,255,479,2,13
17-11,540,2070,1,34
18-01,554,2164,1,50
18-02,1756,1602,0,85
18-03,680,1056,0,36
18-04,1353,1407,0,45
18-05,1663,2052,1,60
18-06,678,1878,3,56
18-07,1317,1075,1,47
18-08,965,1717,2,53
19-03,938,945,0,40
19-04,2295,2971,2,68
19-05,1300,908,2,46
19-07,1005,1171,0,43
19-09,1617,1410,0,44
19-11,903,1097,0,43
19-12,1871,2228,2,64
19-13,508,879,1,23
19-14,848,1033,1,23
19-15,846,929,2,38
19-16,793,959,2,24
19-17,956,2373,2,32
19-18,911,1048,1,26
19-19,2108,1832,2,62
20-01,772,1443,0,30
20-03,1089,1481,0,63
20-04,819,1494,1,38
20-05,1237,1589,1,62
20-06A,1220,2019,2,74
20-06B,1103,1407,0,50
20-08,1282,1801,1,85
20-09,793,1208,0,44
20-10,786,1438,1,51
20-11,1136,1539,0,62
20-12,1027,1362,0,35
20-14,1281,2688,3,56
20-15,638,1623,1,32
20-16,562,1420,1,31
20-17,929,1535,0,42
