id,Against,For,over,under
01-01,1011,298,1,22
01-02,1044,294,0,18
01-03,924,599,1,23
01-04,597,339,0,16
01-05,516,331,0,14
01-06,1433,538,1,28
01-07,1125,373,1,25
01-07A,104,54,0,15
01-09,741,195,0,6
01-10,849,365,0,20
01-11,875,867,2,31
01-12,859,481,0,25
01-13,936,251,0,10
01-14,2125,496,1,22
01-15,883,614,0,41
01-16,1322,649,3,36
01-17,446,362,1,24
01-18,1123,710,0,34
01-19,781,202,0,21
01-20,1270,411,2,28
01-21,1561,765,0,37
01-22,1873,476,2,35
01-23,2453,1076,0,73
01-25,240,81,0,2
01-26,952,261,2,33
01-27,1057,306,0,17
01-28,2076,647,2,19
01-29,1064,773,1,31
01-30,625,394,0,18
01-31,1355,487,3,48
01-32,1004,504,0,28
01-33,827,396,0,13
01-34,611,176,0,12
01-35,948,269,2,25
01-36,927,853,2,41
01-37,825,543,1,23
01-38,916,513,1,20
01-39,1055,618,3,25
01-40,1778,459,6,32
01-41,1034,343,0,14
01-42,999,1038,3,38
01-43,872,567,1,22
01-44,1420,918,2,32
01-45,718,497,1,13
01-46,937,469,4,35
01-47,857,765,1,22
01-48,1183,432,0,14
01-49,1035,605,2,32
01-50,1402,417,0,34
01-51,508,326,0,18
02-01,1192,1185,3,30
02-02,1804,2305,3,55
02-03,986,1263,2,24
02-04,768,998,2,32
02-05,403,387,0,8
02-06,814,1157,0,28
03-00,1525,1588,3,38
04-01,966,538,1,42
04-02,1066,648,0,20
04-03,787,528,0,21
04-04,626,482,1,18
04-05,1476,994,2,38
04-06,1367,811,0,33
04-07,1109,1057,2,28
04-08,1055,623,1,34
04-09,810,831,1,27
04-10,1177,796,1,29
04-11,631,369,0,24
04-12,1210,786,2,39
04-13,1788,1381,3,55
04-14,785,479,1,17
04-15,1088,650,1,32
04-16,1022,534,0,23
04-17,807,495,1,20
04-18,1051,701,2,31
04-19,792,530,1,14
04-20,1190,791,2,37
04-21,632,425,0,13
05-01,1362,1273,3,51
05-03,1216,1291,0,52
05-05,2355,1807,1,57
05-06,1786,1542,2,58
05-07,2281,1434,4,75
05-08,1140,789,0,28
06-04,1198,1248,2,42
06-05,1005,1284,3,40
06-06,1830,1766,3,60
06-07,1097,1188,4,34
06-08,761,733,1,28
06-09,1759,1804,1,70
06-10,886,1191,2,36
07-01,755,409,2,20
07-02,661,519,0,26
07-03,705,445,0,28
07-04,1719,992,1,38
07-05,738,573,1,21
07-06,1544,1149,2,35
07-07,1468,1116,1,37
07-07A,264,163,1,29
07-09,1321,875,4,36
07-10,1966,1213,0,48
07-11,588,368,0,12
07-12,1115,712,1,35
07-13,910,645,2,17
08-02,1695,1158,0,36
08-03,1768,1579,2,57
08-04,676,694,0,19
08-05,880,740,0,29
08-06,851,519,0,23
08-07,941,987,3,36
08-08,1677,1461,3,68
08-09,841,515,1,32
08-10,1021,807,1,30
08-11,1446,1145,3,47
09-01,531,847,0,40
09-02,898,998,1,28
09-03,776,1142,1,14
10-01,270,592,1,26
10-02,914,1292,2,39
10-03,762,865,6,31
10-04,2269,2395,4,68
11-01,1865,1219,1,45
11-02,1811,1184,2,41
12-01,1494,2215,1,70
12-02,1358,1431,1,58
12-04,964,1870,1,52
12-05,2224,2721,2,70
12-06,1053,1427,2,46
12-07,720,1033,2,26
12-08,1344,1323,2,65
12-09,1222,1764,3,74
13-01,1515,989,4,70
13-02,802,647,2,21
13-05,623,472,1,15
13-06,1188,886,2,34
13-07,883,609,2,35
13-08,917,564,4,33
13-09,1642,1018,1,49
13-10,2169,1856,2,80
13-11,1088,1110,2,29
14-01,196,344,1,11
14-02,1465,2820,0,70
15-01,1129,1655,3,46
15-02,1571,1970,1,63
15-03,1181,1966,2,60
15-04,692,935,0,32
16-01,731,835,3,31
16-02,1730,982,0,53
16-03,476,433,0,15
16-04,962,913,1,33
16-05,824,778,2,34
16-06,485,342,0,14
16-07,1330,1022,2,35
16-09,1184,1026,3,32
16-10,1799,945,1,30
16-11,1079,582,1,25
17-01,1011,632,1,28
17-02,368,438,0,19
17-03,2395,1616,4,63
17-04,1980,1786,4,58
17-05,1459,1007,3,43
17-06,567,771,2,34
17-07,1580,750,1,28
17-08,2755,2259,4,96
17-09,1498,671,3,34
17-10,398,340,0,11
17-11,1639,963,1,42
18-01,1878,839,4,48
18-02,1564,1831,2,46
18-03,1001,745,1,25
18-04,1381,1370,2,52
18-05,1968,1756,3,49
18-06,1604,968,2,41
18-07,1030,1375,1,34
18-08,1566,1120,2,49
19-03,886,988,0,49
19-04,2405,2837,4,90
19-05,931,1291,1,33
19-07,1034,1138,2,45
19-09,1268,1737,0,66
19-11,950,1049,3,41
19-12,1880,2216,2,67
19-13,727,652,3,29
19-14,802,1075,1,27
19-15,754,1026,2,33
19-16,827,919,1,31
19-17,1862,1446,5,50
19-18,875,1074,0,37
19-19,1631,2304,0,69
20-01,1228,983,2,32
20-03,1417,1168,2,46
20-04,1311,1003,3,35
20-05,1477,1363,0,49
20-06A,1822,1435,1,57
20-06B,1381,1148,0,31
20-08,1643,1471,2,53
20-09,1146,869,3,27
20-10,1291,940,2,43
20-11,1435,1248,1,53
20-12,1211,1176,0,37
20-14,2164,1806,3,55
20-15,1293,969,4,28
20-16,1125,863,3,23
20-17,1257,1208,3,38
