id,Jefferson G. Griffin,Sandra Alice Ray,Tobias (Toby) Hampson,over,under
01-01,162,106,1032,1,31
01-02,249,101,965,1,40
01-03,519,166,811,1,50
01-04,304,75,539,2,32
01-05,300,85,449,2,25
01-06,344,151,1450,2,53
01-07,232,87,1149,3,53
01-07A,15,10,143,1,4
01-09,172,56,698,0,16
01-10,344,104,753,2,31
01-11,803,190,719,4,59
01-12,360,124,839,1,41
01-13,160,64,936,2,35
01-14,319,132,2141,1,51
01-15,472,172,847,3,44
01-16,457,180,1307,8,58
01-17,295,92,422,1,23
01-18,536,154,1130,5,42
01-19,23,20,949,0,12
01-20,135,96,1456,2,22
01-21,411,192,1693,7,60
01-22,61,76,2227,1,21
01-23,502,340,2667,7,86
01-25,16,9,294,0,4
01-26,51,45,1129,0,23
01-27,144,68,1144,1,23
01-28,254,120,2306,6,58
01-29,681,188,927,7,66
01-30,342,112,541,2,40
01-31,209,125,1520,2,37
01-32,276,122,1096,3,39
01-33,320,111,772,1,32
01-34,23,25,734,2,15
01-35,28,29,1168,2,17
01-36,725,181,871,6,40
01-37,447,148,762,2,33
01-38,290,136,983,6,35
01-39,371,147,1146,5,32
01-40,72,64,2121,3,15
01-41,209,113,1024,1,44
01-42,887,211,933,3,44
01-43,304,142,982,8,26
01-44,548,259,1516,3,46
01-45,342,149,705,4,29
01-46,150,64,1206,4,21
01-47,622,179,792,9,43
01-48,253,111,1226,3,36
01-49,242,159,1231,10,32
01-50,69,49,1719,0,16
01-51,261,101,471,1,18
02-01,920,290,1146,3,51
02-02,1767,482,1808,9,101
02-03,1015,286,930,3,41
02-04,779,249,716,7,49
02-05,320,93,366,2,17
02-06,911,246,796,6,40
03-00,1130,398,1530,5,91
04-01,382,182,943,5,35
04-02,434,222,1040,4,34
04-03,346,132,836,1,21
04-04,297,113,690,1,26
04-05,615,310,1522,9,54
04-06,615,235,1284,10,67
04-07,942,231,975,3,45
04-08,348,158,1167,1,39
04-09,546,195,885,7,36
04-10,551,248,1155,0,49
04-11,199,105,695,0,25
04-12,626,203,1153,5,50
04-13,917,389,1822,10,89
04-14,371,140,742,0,29
04-15,436,166,1109,5,55
04-16,400,161,986,3,29
04-17,308,145,839,3,28
04-18,446,170,1124,0,45
04-19,354,151,796,1,35
04-20,465,238,1264,5,48
04-21,201,83,764,1,21
05-01,751,317,1567,4,50
05-03,797,307,1403,5,47
05-05,944,408,2791,10,67
05-06,1002,330,1978,11,67
05-07,691,292,2732,6,73
05-08,347,179,1382,5,44
06-04,709,275,1432,11,63
06-05,1052,289,927,4,60
06-06,1214,402,1946,7,90
06-07,834,214,1216,3,56
06-08,414,184,874,4,47
06-09,1329,469,1709,14,113
06-10,884,259,924,2,46
07-01,294,121,748,0,23
07-02,375,127,670,2,32
07-03,360,138,642,3,35
07-04,607,232,1858,4,49
07-05,379,149,763,6,36
07-06,930,308,1418,3,71
07-07,792,292,1473,3,62
07-07A,133,56,231,5,32
07-09,595,219,1358,2,62
07-10,720,296,2122,9,80
07-11,321,95,530,2,20
07-12,461,168,1186,2,46
07-13,445,150,927,9,43
08-02,837,332,1646,4,70
08-03,937,401,1986,6,76
08-04,519,184,649,1,36
08-05,560,233,815,0,41
08-06,222,108,1040,1,22
08-07,770,255,886,7,49
08-08,1038,383,1690,10,88
08-09,337,156,861,3,32
08-10,485,209,1124,4,37
08-11,653,291,1635,5,57
09-01,597,193,581,6,41
09-02,574,186,1115,5,45
09-03,902,181,821,2,27
10-01,480,108,276,1,24
10-02,832,243,1120,6,46
10-03,555,192,879,3,35
10-04,1417,475,2750,7,87
11-01,773,312,1971,5,69
11-02,876,305,1782,4,71
12-01,1739,471,1456,11,103
12-02,1037,313,1425,10,63
12-04,1450,428,945,4,60
12-05,1982,653,2235,16,131
12-06,1045,343,1069,4,67
12-07,797,223,717,4,40
12-08,902,290,1464,4,74
12-09,1299,452,1235,4,73
13-01,341,156,2049,4,28
13-02,486,186,757,3,40
13-05,219,71,795,3,23
13-06,640,247,1175,3,45
13-07,298,139,1065,5,22
13-08,203,89,1206,2,18
13-09,401,179,2087,7,36
13-10,1373,408,2215,9,102
13-11,834,263,1066,2,64
14-01,239,104,191,3,15
14-02,2127,642,1461,10,115
15-01,1282,390,1086,9,66
15-02,1433,434,1640,8,90
15-03,1508,446,1179,8,68
15-04,665,235,718,2,39
16-01,556,204,807,4,29
16-02,325,171,2216,0,53
16-03,241,102,558,3,20
16-04,640,233,981,7,48
16-05,582,172,841,3,40
16-06,201,92,536,2,10
16-07,734,283,1323,6,43
16-09,604,224,1361,7,49
16-10,241,106,2397,5,26
16-11,147,71,1449,3,17
17-01,336,137,1161,5,33
17-02,264,118,424,0,19
17-03,756,363,2863,12,84
17-04,925,333,2508,10,52
17-05,489,166,1801,7,49
17-06,531,163,644,5,31
17-07,225,115,1981,6,32
17-08,1116,475,3432,14,77
17-09,105,75,2000,7,19
17-10,184,91,452,3,19
17-11,409,182,2007,9,38
18-01,391,232,2077,5,64
18-02,1432,498,1422,4,87
18-03,589,156,981,1,45
18-04,1088,341,1285,9,82
18-05,1373,433,1877,12,81
18-06,506,246,1794,3,66
18-07,1069,322,975,5,69
18-08,775,293,1600,5,64
19-03,729,263,874,7,50
19-04,1871,593,2768,9,95
19-05,1061,305,827,3,60
19-07,782,279,1091,7,60
19-09,1271,412,1302,6,80
19-11,690,278,1008,2,65
19-12,1496,494,2065,11,99
19-13,401,136,834,3,37
19-14,689,225,958,3,30
19-15,682,238,840,4,51
19-16,608,219,912,4,35
19-17,715,318,2281,7,42
19-18,703,279,954,3,47
19-19,1675,561,1670,10,88
20-01,610,233,1353,1,48
20-03,830,340,1375,7,81
20-04,619,300,1386,3,44
20-05,1039,301,1470,4,75
20-06A,934,423,1835,5,118
20-06B,866,350,1288,3,53
20-08,1024,372,1656,8,109
20-09,589,275,1109,5,67
20-10,604,273,1329,3,67
20-11,908,313,1434,3,79
20-12,838,285,1247,5,49
20-14,996,415,2534,11,72
20-15,499,188,1566,2,39
20-16,415,207,1354,3,35
20-17,692,293,1467,5,49
