id,Allegra Katherine Collins,Chuck Kitchen,"Michael Monaco, Sr.",over,under
01-01,1016,217,67,0,32
01-02,993,274,51,0,38
01-03,851,596,46,1,53
01-04,559,327,33,0,33
01-05,492,319,28,0,22
01-06,1483,384,89,0,44
01-07,1152,239,90,0,43
01-07A,145,20,6,0,2
01-09,726,162,32,1,21
01-10,817,347,43,0,27
01-11,802,861,53,0,59
01-12,857,399,63,0,46
01-13,951,157,57,0,32
01-14,2166,313,110,0,55
01-15,876,559,63,1,39
01-16,1319,548,81,1,61
01-17,444,335,34,1,19
01-18,1152,591,79,1,44
01-19,944,24,24,0,12
01-20,1463,146,81,0,21
01-21,1696,475,136,0,56
01-22,2233,68,60,1,24
01-23,2634,594,291,0,83
01-25,292,12,16,0,3
01-26,1125,60,41,0,22
01-27,1149,140,66,2,23
01-28,2321,267,105,0,51
01-29,981,775,50,0,63
01-30,571,392,36,1,37
01-31,1481,241,137,1,33
01-32,1086,324,96,1,29
01-33,801,371,32,0,32
01-34,725,28,29,0,17
01-35,1175,34,19,1,15
01-36,915,796,68,1,43
01-37,786,495,76,2,33
01-38,975,369,69,0,37
01-39,1148,429,94,0,30
01-40,2120,93,46,0,16
01-41,1019,260,69,1,42
01-42,961,1010,61,0,46
01-43,985,373,81,0,23
01-44,1538,688,88,2,56
01-45,717,424,64,0,24
01-46,1187,172,64,1,21
01-47,815,695,82,0,53
01-48,1237,292,67,0,33
01-49,1222,304,115,3,30
01-50,1710,80,44,0,19
01-51,484,325,28,0,15
02-01,1173,1074,126,0,37
02-02,1870,2016,187,1,93
02-03,951,1186,95,1,42
02-04,730,921,95,1,53
02-05,369,376,34,2,17
02-06,833,1083,50,0,33
03-00,1521,1383,165,1,84
04-01,962,494,57,0,34
04-02,1053,564,81,1,35
04-03,832,398,84,0,22
04-04,682,357,62,0,26
04-05,1560,766,129,1,54
04-06,1292,743,113,0,63
04-07,1017,1060,69,0,50
04-08,1162,423,90,1,37
04-09,915,655,67,0,32
04-10,1166,685,101,0,51
04-11,696,249,53,0,26
04-12,1156,730,107,2,42
04-13,1855,1140,149,0,83
04-14,746,434,77,0,25
04-15,1123,497,92,0,59
04-16,1012,460,84,0,23
04-17,861,357,78,0,27
04-18,1132,530,85,0,38
04-19,792,418,87,2,38
04-20,1283,573,119,1,44
04-21,766,228,62,0,14
05-01,1594,904,136,0,55
05-03,1426,977,109,1,46
05-05,2828,1150,183,0,59
05-06,2002,1178,140,2,66
05-07,2731,817,174,2,70
05-08,1390,422,106,1,38
06-04,1433,862,138,2,55
06-05,983,1185,106,1,57
06-06,1962,1409,192,0,96
06-07,1235,933,105,0,50
06-08,881,500,97,0,45
06-09,1771,1566,178,2,117
06-10,936,1016,117,3,43
07-01,764,346,56,0,20
07-02,682,440,46,0,38
07-03,676,421,44,1,36
07-04,1860,702,141,0,47
07-05,800,451,50,0,32
07-06,1442,1111,96,2,79
07-07,1512,927,124,0,59
07-07A,253,169,7,0,28
07-09,1374,693,113,1,55
07-10,2165,820,171,1,70
07-11,549,371,31,0,17
07-12,1215,542,63,1,42
07-13,947,532,62,0,33
