id,Andrew T. Heath,John S. Arrowood,over,under
01-01,245,1050,0,37
01-02,304,1005,0,47
01-03,626,871,1,49
01-04,346,577,0,29
01-05,345,497,0,19
01-06,444,1499,0,57
01-07,279,1201,0,44
01-07A,22,140,0,11
01-09,175,752,0,15
01-10,393,813,0,28
01-11,909,810,0,56
01-12,425,892,1,47
01-13,190,975,0,32
01-14,387,2196,0,61
01-15,607,894,0,37
01-16,567,1379,0,64
01-17,364,450,0,19
01-18,624,1190,0,53
01-19,37,956,0,11
01-20,194,1498,0,19
01-21,534,1759,0,70
01-22,84,2272,0,30
01-23,688,2819,0,95
01-25,15,303,0,5
01-26,68,1157,0,23
01-27,169,1186,0,25
01-28,313,2361,0,70
01-29,788,1011,1,69
01-30,423,581,0,33
01-31,285,1561,0,47
01-32,360,1142,0,34
01-33,394,809,0,33
01-34,35,753,0,11
01-35,33,1188,1,22
01-36,844,933,0,46
01-37,542,810,0,40
01-38,396,1011,0,43
01-39,482,1182,1,36
01-40,110,2146,0,19
01-41,283,1072,0,36
01-42,1050,983,0,45
01-43,409,1029,0,24
01-44,733,1577,1,61
01-45,473,727,0,29
01-46,190,1228,0,27
01-47,747,857,0,41
01-48,331,1267,0,31
01-49,358,1280,0,36
01-50,94,1739,0,20
01-51,349,489,0,14
02-01,1140,1214,0,56
02-02,2135,1930,0,102
02-03,1246,982,0,47
02-04,986,762,0,52
02-05,387,384,0,27
02-06,1114,850,0,35
03-00,1442,1628,1,83
04-01,527,989,0,31
04-02,598,1091,1,44
04-03,437,868,1,30
04-04,376,719,0,32
04-05,840,1598,0,72
04-06,777,1353,0,81
04-07,1094,1043,0,59
04-08,461,1209,0,43
04-09,697,938,0,34
04-10,739,1200,0,64
04-11,272,728,0,24
04-12,785,1205,0,47
04-13,1212,1933,0,82
04-14,462,783,0,37
04-15,556,1162,0,53
04-16,510,1041,0,28
04-17,398,889,0,36
04-18,567,1170,0,48
04-19,461,838,0,38
04-20,631,1339,0,50
04-21,253,792,0,25
05-01,989,1647,0,53
05-03,1046,1463,0,50
05-05,1253,2887,1,79
05-06,1257,2060,1,70
05-07,892,2815,1,86
05-08,459,1450,0,48
06-04,930,1492,1,67
06-05,1260,1013,0,59
06-06,1514,2052,1,92
06-07,997,1265,0,61
06-08,561,918,0,44
06-09,1704,1825,1,104
06-10,1094,981,0,40
07-01,378,782,0,26
07-02,464,702,0,40
07-03,461,679,0,38
07-04,782,1923,0,45
07-05,506,793,0,34
07-06,1172,1486,1,71
07-07,991,1568,0,63
07-07A,174,257,0,26
07-09,742,1438,2,54
07-10,926,2213,1,87
07-11,386,568,0,14
07-12,577,1239,0,47
07-13,556,981,0,37
08-02,1074,1745,0,70
08-03,1248,2078,0,80
08-04,662,687,0,40
08-05,714,886,0,49
08-06,301,1070,0,22
08-07,992,924,0,51
08-08,1318,1790,1,100
08-09,453,893,0,43
08-10,629,1187,1,42
08-11,869,1699,0,73
09-01,759,616,0,43
09-02,734,1150,0,41
09-03,1042,860,0,31
10-01,584,282,0,23
10-02,1034,1155,0,58
10-03,702,925,0,37
10-04,1797,2852,1,86
11-01,975,2072,0,83
11-02,1072,1875,0,91
12-01,2102,1573,0,105
12-02,1290,1487,0,71
12-04,1796,1011,1,79
12-05,2504,2376,0,137
12-06,1319,1143,0,66
12-07,961,773,0,47
12-08,1137,1525,0,72
12-09,1672,1308,0,83
13-01,456,2087,0,35
13-02,628,807,0,37
13-05,269,820,0,22
13-06,820,1246,2,42
13-07,407,1101,0,21
13-08,276,1221,0,21
13-09,520,2146,1,43
13-10,1670,2330,0,107
13-11,1039,1129,1,60
14-01,339,199,0,14
14-02,2662,1576,0,117
15-01,1594,1158,0,81
15-02,1806,1695,1,103
15-03,1879,1251,0,79
15-04,854,753,0,52
16-01,729,840,0,31
16-02,448,2263,1,53
16-03,323,580,0,21
16-04,827,1036,1,45
16-05,727,871,0,40
16-06,267,559,0,15
16-07,974,1370,0,45
16-09,788,1407,0,50
16-10,311,2433,0,31
16-11,206,1462,0,19
17-01,436,1197,0,39
17-02,348,455,0,22
17-03,1055,2924,1,98
17-04,1196,2578,0,54
17-05,614,1843,1,54
17-06,668,677,0,29
17-07,298,2025,0,36
17-08,1469,3533,0,112
17-09,143,2031,0,32
17-10,252,475,1,21
17-11,536,2067,0,42
18-01,541,2162,1,65
18-02,1799,1537,0,107
18-03,701,1017,0,54
18-04,1368,1362,0,75
18-05,1718,1967,0,91
18-06,678,1877,0,60
18-07,1323,1050,0,67
18-08,995,1680,0,62
19-03,963,906,0,54
19-04,2326,2911,0,99
19-05,1300,894,0,62
19-07,1015,1145,0,59
19-09,1631,1364,0,76
19-11,932,1047,0,64
19-12,1899,2165,0,101
19-13,514,853,0,44
19-14,863,1007,0,35
19-15,869,897,2,47
19-16,800,933,0,45
19-17,961,2349,0,53
19-18,934,1001,0,51
19-19,2134,1782,1,87
20-01,779,1421,0,45
20-03,1092,1439,1,101
20-04,810,1484,0,58
20-05,1245,1548,0,96
20-06A,1239,1963,2,111
20-06B,1130,1377,1,52
20-08,1327,1737,0,105
20-09,801,1172,1,71
20-10,811,1412,0,53
20-11,1139,1520,0,78
20-12,1055,1323,0,46
20-14,1295,2660,0,73
20-15,637,1622,0,35
20-16,573,1404,1,36
20-17,909,1552,1,44
