id,Margaret Phillips Eagles,under
01-01,1102,230
01-02,1063,293
01-03,1013,534
01-05,575,286
01-06,1583,417
01-07,1254,270
01-07A,145,28
01-11,1011,764
01-16,1505,505
01-29,1165,704
01-33,903,333
01-49,1362,312
04-01,1049,498
04-02,1198,536
04-03,943,393
04-04,766,361
04-05,1746,764
04-06,1447,764
04-07,1216,980
04-08,1294,419
04-09,1074,595
04-10,1329,674
04-11,752,272
04-12,1339,698
04-14,835,447
04-15,1249,522
04-16,1133,446
04-17,977,346
04-18,1279,506
04-20,1438,582
04-21,823,247
05-05,3097,1123
06-05,1233,1099
06-07,1406,917
07-01,822,364
07-10,2389,838
08-03,2342,1064
08-08,2059,1150
08-10,1295,564
08-11,1866,775
11-01,2308,822
11-02,2045,993
12-01,1904,1876
12-02,1773,1075
12-04,1379,1508
12-05,2857,2160
12-06,1374,1154
12-07,943,838
12-09,1640,1423
15-01,1490,1343
15-02,2047,1558
15-03,1595,1614
15-04,912,747
16-01,988,612
16-05,990,648
16-09,1565,680
18-02,1844,1599
18-03,1137,635
18-05,2282,1494
20-03,1670,963
20-05,1749,1140
20-09,1341,704
