id,Evan Charles Schreier,J. Brian Ratledge,Nicolette Fulton,Rebecca Anne Edwards,Walter Rand,over,under
01-01,43,138,94,420,552,32,53
01-02,50,194,94,445,492,21,60
01-03,74,422,105,390,451,35,70
01-05,41,238,53,181,286,22,40
01-06,82,255,160,834,559,27,83
01-07,64,143,143,564,520,21,69
01-07A,6,12,1,56,78,16,4
01-11,97,637,97,330,466,38,110
01-16,80,390,136,689,588,53,74
01-29,100,588,85,386,559,55,96
01-33,57,282,73,375,384,16,49
01-49,68,216,149,616,535,41,49
04-01,109,316,107,484,408,71,52
04-02,105,421,130,542,441,42,53
04-03,75,305,104,412,357,41,42
04-04,65,273,83,344,292,30,40
04-05,136,572,189,748,728,48,89
04-06,119,562,171,670,541,70,78
04-07,149,842,132,469,480,39,85
04-08,85,290,156,520,573,31,58
04-09,113,482,128,426,427,34,59
04-10,110,506,181,592,479,49,86
04-11,41,197,81,358,291,29,27
04-12,112,561,146,631,474,38,75
04-14,80,327,105,358,358,31,23
04-15,96,361,156,556,488,35,79
04-16,93,326,133,494,456,29,48
04-17,59,260,110,453,373,26,42
04-18,87,381,135,636,454,30,62
04-20,117,406,162,665,559,43,68
04-21,51,151,85,358,379,21,25
05-05,229,864,252,1326,1331,98,120
06-05,176,945,178,458,422,50,103
06-07,142,745,146,575,577,48,90
07-01,50,272,81,366,342,34,41
07-10,130,626,270,1130,906,38,127
08-03,214,829,300,999,857,82,125
08-08,218,904,294,839,732,70,152
08-10,113,443,144,559,483,36,81
08-11,149,584,169,866,703,61,109
11-01,164,656,261,946,920,69,114
11-02,144,805,174,867,855,69,124
12-01,302,1577,260,726,677,75,163
12-02,184,965,190,674,656,83,96
12-04,280,1354,188,504,402,51,108
12-05,407,1787,312,1239,960,101,211
12-06,179,998,160,551,476,64,100
12-07,146,733,130,348,333,40,51
12-09,276,1234,183,648,522,80,120
15-01,270,1170,167,560,512,57,97
15-02,335,1244,263,759,789,77,138
15-03,331,1347,237,649,479,58,108
15-04,147,612,96,343,349,39,73
16-01,127,498,110,387,381,53,44
16-05,106,529,121,405,370,53,54
16-09,118,570,121,611,714,56,55
18-02,283,1323,273,655,694,65,150
18-03,94,530,109,504,427,42,66
18-05,261,1222,279,897,924,68,125
20-03,212,729,203,680,613,64,132
20-05,185,932,202,681,702,60,127
20-09,149,534,187,485,562,38,90
