id,Michael J. Denning,under
01-42,1225,853
01-47,902,743
02-01,1400,1010
02-02,2479,1688
02-03,1402,873
02-04,1087,713
02-05,445,353
02-06,1248,751
07-02,608,598
07-06,1432,1298
07-07,1359,1263
07-07A,211,246
08-04,780,609
08-05,889,760
08-07,1134,833
09-01,793,625
09-03,1179,754
10-01,564,325
13-10,2179,1928
13-11,1256,973
14-01,361,191
14-02,2895,1460
19-03,1121,802
19-04,2788,2548
19-05,1422,834
19-07,1171,1048
19-09,1817,1254
19-11,1086,957
19-12,2260,1905
19-13,663,748
19-14,1073,832
19-15,1032,783
19-18,1078,908
19-19,2356,1648
