id,Chris Malone,Michael Nelson,Terence Everitt,over,under
09-01,740,43,604,1,30
09-03,1005,60,846,1,21
10-02,83,5,141,1,2
13-06,760,94,1231,1,24
13-10,1562,132,2367,1,45
13-11,1000,73,1123,0,33
19-03,936,70,904,0,13
19-04,2229,179,2876,1,51
19-05,1247,70,904,0,35
19-07,980,67,1147,1,24
19-09,1559,98,1356,2,56
19-11,876,81,1065,0,21
19-12,1819,130,2178,3,35
19-13,502,43,851,0,15
19-14,837,60,994,1,13
19-15,843,58,889,3,22
19-16,777,54,926,0,21
19-18,883,93,983,1,26
19-19,2030,122,1802,0,50
