id,Allison Dahle,Travis Groo,Tyler Brooks,over,under
01-31,1519,79,263,0,32
01-32,1118,54,337,1,26
01-41,1046,52,259,0,34
01-48,1274,50,281,0,24
01-49,1269,65,323,0,17
04-01,979,48,489,0,31
04-02,1088,48,576,0,22
04-03,862,48,411,0,15
04-04,709,34,367,0,17
04-06,1365,54,756,0,36
04-10,1214,71,686,0,32
04-11,718,23,262,1,20
04-12,1206,66,739,0,26
04-14,771,50,442,3,16
04-15,1154,71,521,1,24
04-16,1032,56,482,0,9
04-20,1351,67,571,0,31
18-01,2103,120,499,0,47
18-06,1856,80,629,0,50
18-08,632,30,286,1,14
