id,Cap Hayes,Catherine Whiteford,Grier Martin,over,under
01-04,16,321,595,1,19
01-05,9,320,525,0,7
01-06,51,437,1479,2,31
01-07,43,263,1190,1,27
01-07A,6,23,142,1,1
01-09,21,167,742,0,12
01-10,18,350,854,0,12
01-11,18,850,883,0,24
01-12,23,406,914,2,20
01-15,36,573,897,2,30
01-17,29,340,453,0,11
01-18,40,604,1200,1,22
01-30,29,383,613,0,12
01-36,31,782,983,0,27
01-37,43,511,821,1,16
01-39,54,473,1147,1,26
01-43,50,399,991,3,19
01-44,50,710,1571,5,36
01-45,45,434,737,1,12
01-51,13,320,511,1,7
07-02,28,441,714,1,22
07-03,16,433,714,0,15
07-04,81,756,1882,5,26
07-09,67,712,1423,2,32
07-12,39,548,1243,0,33
08-06,36,296,1053,0,8
08-09,39,445,889,0,16
08-10,39,606,1182,1,31
