id,Julie von Haefen,Nelson Dollar,Robyn Haley Pegram,over,under
04-07,1049,1080,45,1,21
12-05,1408,1373,90,2,26
12-07,777,928,59,1,16
15-01,1159,1551,87,2,34
15-02,1708,1734,109,4,50
15-03,1250,1791,126,0,42
15-04,747,840,54,0,18
16-01,822,687,66,1,24
16-09,316,282,21,0,9
18-02,1545,1751,114,3,30
18-03,1031,685,38,0,18
18-04,1368,1346,65,0,26
18-05,2026,1651,79,2,18
18-07,1039,1302,77,1,21
18-08,1040,676,42,2,14
20-03,1493,1012,101,1,26
20-05,1573,1221,66,1,28
20-09,1200,757,66,1,21
