id,David Ulmer,Joe John,Marilyn Avila,over,under
01-42,52,986,1016,1,23
01-47,85,850,696,0,14
02-01,177,1159,1051,0,23
02-02,122,1961,2037,2,45
02-03,73,984,1201,0,17
02-04,74,777,918,1,30
02-05,23,381,386,0,8
02-06,46,834,1097,1,21
07-05,56,783,475,2,17
07-06,63,1499,1136,0,32
07-07,113,1535,951,0,23
07-07A,6,250,178,1,22
07-11,27,550,377,0,14
07-13,62,956,543,0,13
08-02,103,1746,1003,0,37
08-03,157,2066,1149,2,32
08-04,44,703,634,0,8
08-05,62,887,684,1,15
08-07,70,920,964,0,13
08-08,143,1796,1231,2,37
13-02,76,780,600,0,16
14-01,12,196,334,0,10
14-02,121,1594,2595,3,42
