id,Cynthia Ball,David Robertson,Jonathan Horst,over,under
01-01,1070,216,32,2,12
01-02,1022,275,35,0,24
01-03,909,584,27,1,26
01-16,1399,528,48,2,33
01-29,1045,768,29,0,27
01-33,826,364,27,0,19
04-05,1621,791,71,0,27
04-08,1216,437,48,0,12
04-09,944,664,41,2,18
04-17,903,364,42,1,13
04-18,1172,551,34,2,26
04-21,778,234,46,0,12
05-01,1639,930,73,3,44
05-03,1478,990,54,3,34
05-05,2882,1208,94,0,36
07-01,776,363,36,0,11
07-10,2208,859,111,5,44
08-11,1697,836,78,2,28
11-01,2066,936,81,2,45
11-02,1887,1031,79,2,39
