id,Anita Earls,Barbara Jackson,Christopher (Chris) Anglin,over,under
01-01,1038,187,81,2,24
01-02,978,267,77,0,34
01-03,826,549,136,1,35
01-04,550,306,72,0,24
01-05,454,310,80,0,17
01-06,1487,340,127,0,46
01-07,1168,226,95,0,35
01-07A,143,9,12,1,8
01-09,715,145,63,0,19
01-10,782,342,88,0,22
01-11,737,821,177,4,36
01-12,856,350,117,2,40
01-13,966,146,61,0,24
01-14,2173,322,104,1,44
01-15,863,495,148,2,30
01-16,1329,466,160,2,53
01-17,442,294,84,0,13
01-18,1151,543,130,3,40
01-19,948,27,17,0,12
01-20,1480,158,61,0,12
01-21,1724,412,166,6,55
01-22,2263,62,36,2,23
01-23,2720,517,284,2,79
01-25,298,13,11,0,1
01-26,1141,51,35,0,21
01-27,1159,146,55,2,18
01-28,2342,239,113,1,49
01-29,949,716,148,3,53
01-30,560,358,83,2,34
01-31,1536,226,86,0,45
01-32,1122,260,128,1,25
01-33,778,333,99,2,24
01-34,747,32,12,0,8
01-35,1185,21,18,0,20
01-36,882,715,191,0,35
01-37,781,423,161,3,24
01-38,1004,296,115,2,33
01-39,1154,363,152,0,32
01-40,2138,76,42,2,17
01-41,1053,227,87,1,23
01-42,962,911,164,2,39
01-43,1019,315,109,1,18
01-44,1552,576,195,0,49
01-45,709,382,112,1,25
01-46,1212,133,77,1,22
01-47,813,650,148,0,34
01-48,1249,266,89,2,23
01-49,1258,268,119,3,26
01-50,1724,63,48,1,17
01-51,483,276,78,1,14
02-01,1154,979,228,1,48
02-02,1853,1856,375,3,80
02-03,957,1031,250,0,37
02-04,733,823,194,2,48
02-05,363,342,71,1,21
02-06,799,988,182,2,28
03-00,1546,1195,348,5,60
04-01,966,392,161,3,25
04-02,1062,472,158,3,39
04-03,851,345,118,0,22
04-04,704,303,94,1,25
04-05,1542,680,237,2,49
04-06,1316,650,189,5,51
04-07,995,946,212,1,42
04-08,1180,363,133,1,36
04-09,908,560,168,5,28
04-10,1165,609,172,2,55
04-11,690,228,77,0,29
04-12,1178,645,175,1,38
04-13,1855,960,329,6,77
04-14,759,384,107,0,32
04-15,1131,463,129,1,47
04-16,1013,413,125,2,26
04-17,874,330,91,0,28
04-18,1131,495,115,2,42
04-19,795,393,115,3,31
04-20,1317,505,151,6,41
04-21,772,196,84,0,18
05-01,1626,768,256,1,38
05-03,1412,875,222,2,48
05-05,2845,972,341,8,54
05-06,2006,1068,251,6,57
05-07,2781,697,244,4,68
05-08,1421,356,141,2,37
06-04,1466,662,304,5,53
06-05,957,1074,244,1,56
06-06,2015,1233,328,1,82
06-07,1255,784,238,3,43
06-08,877,460,146,1,39
06-09,1761,1375,399,6,93
06-10,952,857,268,2,36
07-01,756,315,93,2,20
07-02,684,388,108,1,25
07-03,642,415,96,0,25
07-04,1872,650,187,2,39
07-05,791,396,117,4,25
07-06,1416,1013,249,0,52
07-07,1508,869,196,3,46
07-07A,236,156,39,1,25
07-09,1387,620,183,0,46
07-10,2170,757,238,5,57
07-11,540,323,91,2,12
07-12,1206,475,142,3,37
07-13,952,469,124,2,27
08-02,1680,935,221,3,50
08-03,2023,995,309,5,74
08-04,657,561,135,4,32
08-05,860,602,152,1,34
08-06,1044,252,78,1,18
08-07,900,834,195,3,35
08-08,1727,1084,299,5,94
08-09,874,352,128,3,32
08-10,1133,541,151,0,34
08-11,1647,679,247,4,64
09-01,604,572,204,2,36
09-02,1140,551,204,1,29
09-03,838,844,228,2,21
10-01,289,484,97,3,16
10-02,1141,827,234,6,39
10-03,906,580,148,0,30
10-04,2805,1456,397,3,75
11-01,1999,815,251,4,61
11-02,1808,909,237,3,81
12-01,1515,1719,463,0,83
12-02,1471,967,347,6,57
12-04,983,1368,461,2,73
12-05,2295,2051,548,5,118
12-06,1119,1026,322,6,55
12-07,745,778,221,2,35
12-08,1497,869,306,1,61
12-09,1292,1310,397,5,59
13-01,2084,327,137,5,25
13-02,774,494,172,0,32
13-05,808,210,74,2,17
13-06,1214,667,193,2,34
13-07,1070,311,122,2,24
