id,Dan Blue,Richard Haygood,Sandy Andrews,over,under
01-14,2225,77,323,0,19
01-19,951,15,33,0,5
01-20,1501,55,140,0,15
01-26,1150,34,53,0,11
01-28,2382,69,279,1,13
01-34,747,17,29,0,6
01-40,2147,33,84,2,9
01-43,1025,60,360,0,17
01-44,1599,63,685,0,25
01-45,750,54,415,0,10
01-46,1216,36,179,0,14
09-02,1135,61,704,0,25
10-01,301,22,556,0,10
10-02,1162,66,989,2,28
10-03,930,50,659,3,22
10-04,2865,137,1691,3,40
13-01,2085,69,409,0,15
13-02,822,54,578,0,18
13-05,820,40,238,0,13
13-06,1248,82,754,3,23
13-07,1105,31,381,1,11
13-08,1223,24,259,1,11
13-09,2151,63,473,0,23
13-10,2365,140,1550,2,50
17-01,1206,58,397,3,8
17-02,462,35,325,0,3
17-03,2960,102,978,0,38
17-04,2589,79,1130,2,28
17-05,1846,63,584,1,18
17-06,677,45,636,0,16
17-07,2023,42,268,1,25
17-08,3561,134,1379,1,39
17-10,472,19,250,1,7
17-11,2029,75,517,2,22
19-16,951,34,781,0,12
19-17,2354,100,885,2,22
