id,Alan David Michael,Brian Lewis,Jay J. Chaudhuri,over,under
01-01,209,38,1064,0,21
01-02,261,48,1023,0,24
01-04,321,26,588,0,17
01-05,327,20,504,1,9
01-06,393,56,1522,0,29
01-07,234,60,1210,0,20
01-07A,22,5,143,0,3
01-09,160,29,742,0,11
01-10,369,30,817,0,18
01-12,380,44,916,0,25
01-13,166,43,971,0,17
01-15,563,62,890,0,23
01-16,529,58,1396,2,25
01-18,590,61,1189,0,27
01-21,486,93,1750,0,34
01-22,74,47,2223,1,41
01-23,590,209,2768,0,35
01-25,14,15,288,0,6
01-27,146,49,1168,0,17
01-31,236,100,1539,0,18
01-32,311,77,1126,0,22
01-33,349,35,836,0,16
01-35,34,24,1153,1,32
01-37,502,58,808,0,24
01-38,384,48,996,0,22
01-39,444,79,1158,0,20
01-41,246,49,1067,1,28
01-48,273,64,1269,0,23
01-49,314,76,1270,0,14
01-50,87,34,1706,1,25
01-51,314,24,506,0,8
04-03,408,62,847,0,19
04-06,754,71,1349,0,37
04-12,730,69,1211,3,24
07-04,715,107,1898,0,30
07-05,464,51,806,0,12
07-13,517,60,982,1,14
16-02,423,73,2217,1,51
16-03,307,40,560,0,17
16-04,791,61,1023,0,34
16-05,698,74,836,0,30
16-06,260,33,541,0,7
16-07,920,82,1359,1,27
16-09,459,54,1080,0,24
16-10,294,67,2380,1,33
16-11,185,43,1438,0,21
17-09,133,43,2009,1,20
18-01,455,158,2120,0,36
18-06,620,91,1862,1,41
18-08,904,105,1681,0,47
