id,Brian Irving,Paul Smith,Wiley Nickel,over,under
04-01,60,481,985,1,20
04-02,57,565,1095,2,15
04-04,39,358,719,2,9
04-05,85,775,1622,5,23
04-08,61,424,1220,0,8
04-09,50,657,949,3,10
04-10,80,669,1231,2,21
04-11,35,259,717,0,13
04-13,107,1143,1947,3,27
04-14,51,431,785,0,15
04-15,79,503,1172,0,17
04-16,67,466,1036,0,10
04-17,53,361,898,0,11
04-18,56,529,1184,0,16
04-19,52,440,832,1,12
04-20,81,568,1348,2,21
04-21,50,231,785,0,4
05-01,99,912,1654,1,23
05-03,67,981,1484,8,19
05-05,127,1194,2872,0,27
05-06,82,1151,2133,3,19
05-07,112,821,2836,1,24
05-08,57,436,1442,2,20
07-01,45,353,774,2,12
07-02,40,436,712,1,17
07-07,98,933,1556,3,32
07-07A,9,174,255,0,19
07-10,133,831,2228,1,34
07-12,46,559,1239,0,19
08-02,91,1000,1771,2,25
08-03,133,1145,2098,2,28
08-05,52,684,896,2,15
08-06,43,278,1064,1,7
08-08,134,1213,1834,2,26
08-09,54,431,888,0,16
08-10,56,601,1183,0,19
08-11,105,796,1723,1,16
11-01,127,892,2064,6,41
11-02,102,1021,1878,0,37
20-04,85,748,1497,1,21
20-10,74,742,1442,0,18
20-14,141,1170,2682,6,29
20-15,72,589,1613,2,18
20-16,58,523,1415,1,17
20-17,77,834,1577,0,18
