id,Bruce Basson,Sam Searcy,Tamara Barringer,over,under
03-00,75,1652,1404,1,22
04-07,44,1026,1110,0,16
06-04,92,1492,881,1,24
06-05,59,1007,1239,1,26
06-06,103,2073,1447,2,34
06-07,61,1265,980,2,15
06-08,55,903,552,0,13
06-09,105,1871,1631,1,26
06-10,75,973,1052,1,14
12-01,120,1574,2041,2,43
12-02,110,1496,1217,2,23
12-04,80,1043,1724,1,39
12-05,120,2414,2444,1,38
12-06,84,1140,1265,2,37
12-07,61,774,935,2,9
12-08,87,1507,1119,4,17
12-09,80,1320,1623,1,39
15-01,93,1185,1515,1,39
15-02,113,1707,1720,5,60
15-03,116,1233,1819,3,38
15-04,47,754,844,0,14
16-01,61,822,694,2,21
16-09,19,319,279,2,9
18-02,110,1537,1770,3,23
18-03,39,1007,713,2,11
18-04,69,1379,1333,0,24
18-05,93,2003,1659,1,20
18-07,79,1051,1291,2,17
20-01,74,1408,748,0,15
20-03,87,1463,1063,1,19
20-05,68,1540,1259,1,21
20-06A,103,1968,1211,3,30
20-06B,101,1379,1066,2,12
20-08,101,1752,1277,2,37
20-09,60,1183,787,0,15
20-11,85,1522,1112,2,16
20-12,87,1298,1017,2,20
