id,Brad Hessel,John Alexander,Mack Paul,over,under
01-03,21,663,855,0,8
01-11,18,971,775,0,11
01-17,24,355,446,1,7
01-29,17,879,965,3,5
01-30,27,421,578,2,9
01-36,34,863,904,1,21
01-42,48,1041,975,1,13
01-47,64,737,835,0,9
02-01,71,1144,1179,0,16
02-02,110,2142,1889,0,26
02-03,77,1233,954,1,10
02-04,59,955,762,0,24
02-05,19,397,377,0,5
02-06,36,1130,815,0,18
07-03,18,479,671,1,9
07-06,44,1183,1480,1,22
07-09,59,758,1394,2,23
07-11,20,388,550,0,10
08-04,47,660,677,1,4
08-07,73,977,905,1,11
09-01,39,767,587,1,24
09-03,51,1033,835,0,14
13-11,97,1023,1090,0,19
14-01,13,334,199,1,5
14-02,130,2632,1564,2,27
19-03,71,956,878,2,16
19-04,154,2308,2821,4,49
19-05,59,1298,874,0,25
19-07,67,1004,1123,4,21
19-09,91,1606,1337,0,37
19-11,88,910,1019,1,25
19-12,119,1909,2103,3,31
19-13,45,509,846,0,11
19-14,44,870,977,1,13
19-15,51,864,873,6,21
19-18,81,910,974,0,21
19-19,110,2112,1756,1,25
