id,Keith Gregory,Matt Van Sickle,over,under
01-03,870,417,1,259
01-04,573,238,0,141
01-05,489,214,0,158
01-09,700,181,0,61
01-10,817,270,0,147
01-11,859,466,0,450
01-15,893,394,0,251
01-17,438,244,1,150
01-30,582,265,0,190
01-36,986,512,1,324
01-37,794,381,0,217
01-39,1119,406,0,176
01-43,977,332,0,153
01-45,728,334,0,167
01-51,496,244,1,111
04-05,1529,688,2,291
04-08,1154,407,0,152
04-09,918,522,0,229
04-17,845,352,1,125
04-18,1124,469,0,192
05-01,1558,844,3,284
05-03,1408,768,1,382
05-05,2721,1054,1,444
05-06,2024,917,1,446
05-07,2586,964,2,242
05-08,1377,434,1,145
07-01,751,287,1,147
07-03,683,322,0,173
07-04,1837,647,0,266
07-05,798,340,0,195
07-09,1372,560,0,304
07-10,2140,718,0,369
07-13,978,364,0,232
11-01,1979,794,1,356
20-04,1409,639,2,302
20-10,1361,604,0,311
20-14,2614,988,0,426
20-15,1556,528,0,210
20-16,1344,471,0,199
20-17,1486,719,0,301
