id,Against,For,over,under
01-01,1120,170,0,42
01-02,1153,159,1,43
01-03,1172,326,1,48
01-04,755,164,0,33
01-05,665,177,0,19
01-06,1629,300,0,71
01-07,1252,213,1,58
01-07A,126,26,0,21
01-09,827,98,0,17
01-10,1017,186,0,31
01-11,1256,468,0,51
01-12,1118,198,2,47
01-13,1047,132,0,18
01-14,2336,261,1,46
01-15,1122,345,1,70
01-16,1577,361,2,70
01-17,586,201,2,44
01-18,1423,382,0,62
01-19,855,105,0,44
01-20,1432,215,1,63
01-21,1908,371,0,84
01-22,2116,193,1,76
01-23,2733,716,5,148
01-25,254,61,0,8
01-26,1073,140,0,35
01-27,1186,155,1,38
01-28,2356,336,1,51
01-29,1375,412,0,82
01-30,783,209,0,45
01-31,1509,297,2,85
01-32,1219,254,0,63
01-33,975,225,2,34
01-34,691,93,0,15
01-35,1066,126,0,52
01-36,1283,467,1,72
01-37,1068,274,2,48
01-38,1162,251,1,36
01-39,1307,340,0,54
01-40,1978,215,1,81
01-41,1167,179,1,44
01-42,1389,612,0,77
01-43,1114,299,1,48
01-44,1847,460,3,62
01-45,936,252,2,39
01-46,1149,245,2,49
01-47,1141,442,0,62
01-48,1359,230,1,39
01-49,1300,302,0,72
01-50,1578,199,0,76
01-51,652,176,1,23
02-01,1690,645,1,74
02-02,2655,1360,5,147
02-03,1527,675,0,73
02-04,1126,607,0,67
02-05,556,215,0,27
02-06,1208,707,3,81
03-00,2111,916,1,126
04-01,1170,291,0,86
04-02,1339,327,2,66
04-03,1023,261,0,52
04-04,813,263,0,51
04-05,1894,529,1,86
04-06,1665,460,2,84
04-07,1471,636,3,86
04-08,1316,334,2,61
04-09,1147,468,2,52
04-10,1463,467,1,72
04-11,796,180,0,48
04-12,1533,439,1,64
04-13,2344,754,4,125
04-14,977,261,0,44
04-15,1349,364,0,58
04-16,1258,264,0,57
04-17,1018,271,0,34
04-18,1334,388,1,62
04-19,1014,288,1,34
04-20,1535,404,2,79
04-21,815,218,2,35
05-01,1874,697,1,117
05-03,1700,746,4,109
05-05,3107,978,3,132
05-06,2370,879,3,136
05-07,2898,741,2,153
05-08,1468,408,0,81
06-04,1729,651,4,106
06-05,1443,800,0,89
06-06,2488,1024,1,146
06-07,1557,677,1,88
06-08,1056,392,1,74
06-09,2532,954,3,145
06-10,1343,686,5,81
07-01,919,236,0,31
07-02,866,287,0,53
07-03,894,245,1,38
07-04,2149,515,2,84
07-05,993,306,0,34
07-06,2037,610,2,81
07-07,1947,590,0,85
07-07A,322,94,0,41
07-09,1678,497,0,61
07-10,2464,651,4,108
07-11,740,210,1,17
07-12,1469,344,1,49
07-13,1166,361,0,47
08-02,2165,648,2,74
08-03,2411,874,1,120
08-04,938,401,0,50
08-05,1208,390,0,51
08-06,1073,279,0,41
08-07,1332,550,2,83
08-08,2268,807,1,133
08-09,1067,273,2,47
08-10,1383,425,0,51
08-11,1922,622,1,96
09-01,927,410,0,81
09-02,1329,523,6,67
09-03,1193,692,1,47
10-01,499,353,0,37
10-02,1435,709,3,100
10-03,1163,441,0,60
10-04,3218,1331,6,181
11-01,2350,685,1,94
11-02,2281,648,3,106
12-01,2359,1252,1,168
12-02,1949,770,1,128
12-04,1719,1026,3,139
12-05,3288,1517,3,209
12-06,1641,776,5,106
12-07,1073,634,1,73
12-08,1942,651,0,141
12-09,1973,930,3,157
13-01,1972,507,1,98
13-02,1068,352,0,52
13-05,835,238,1,37
13-06,1583,468,2,57
13-07,1149,315,1,64
13-08,1183,273,1,61
13-09,2097,500,3,110
13-10,2883,1043,2,179
13-11,1543,606,1,79
14-01,339,187,1,25
14-02,2586,1590,2,177
15-01,1821,873,7,132
15-02,2324,1116,3,162
15-03,1993,1071,3,142
15-04,1090,486,0,83
16-01,1084,445,1,70
16-02,2202,468,2,93
16-03,695,196,0,33
16-04,1362,477,0,70
16-05,1158,402,1,77
16-06,643,170,0,28
16-07,1784,535,2,68
16-09,1655,496,4,90
16-10,2257,444,0,74
16-11,1359,283,1,44
17-01,1272,341,2,57
17-02,556,234,1,34
17-03,3120,814,2,142
17-04,2743,946,3,136
17-05,1908,532,1,71
17-06,893,407,1,73
17-07,1946,358,0,55
17-08,3746,1158,3,207
17-09,1815,326,1,64
17-10,561,161,1,26
17-11,2060,498,2,85
18-01,2178,493,1,97
18-02,2303,1009,2,129
18-03,1277,448,0,47
18-04,1919,783,2,101
18-05,2634,1033,0,109
18-06,2019,494,0,102
18-07,1566,773,1,100
18-08,2005,642,3,87
19-03,1274,552,0,97
19-04,3588,1525,4,219
19-05,1402,756,4,94
19-07,1504,618,0,97
19-09,1999,929,1,142
19-11,1385,548,4,106
19-12,2715,1261,2,187
19-13,1016,331,1,63
19-14,1188,620,1,96
19-15,1168,563,3,81
19-16,1228,493,0,57
19-17,2525,719,1,118
19-18,1284,618,1,83
19-19,2554,1278,6,166
20-01,1599,561,2,83
20-03,1905,633,0,95
20-04,1726,543,1,82
20-05,2010,776,2,101
20-06A,2401,800,0,114
20-06B,1849,631,2,78
20-08,2214,836,2,117
20-09,1518,460,0,67
20-10,1641,532,0,103
20-11,1886,753,2,96
20-12,1695,637,3,89
20-14,2867,1001,2,158
20-15,1655,546,3,90
20-16,1460,485,1,68
20-17,1713,674,2,117
