id,Against,For,over,under
01-01,1042,277,0,13
01-02,1028,312,0,16
01-03,891,642,1,13
01-04,589,353,0,10
01-05,494,363,0,4
01-06,1434,546,0,20
01-07,1168,344,0,12
01-07A,126,34,0,13
01-09,744,194,0,4
01-10,813,410,1,10
01-11,815,947,0,13
01-12,895,453,1,16
01-13,961,229,1,6
01-14,2181,447,0,16
01-15,873,641,0,24
01-16,1321,671,1,17
01-17,441,379,1,12
01-18,1136,707,2,22
01-19,893,89,0,22
01-20,1429,263,2,17
01-21,1658,681,2,22
01-22,2128,222,1,35
01-23,2626,935,2,39
01-25,265,53,0,5
01-26,1060,171,0,17
01-27,1133,236,1,10
01-28,2272,456,1,15
01-29,1009,844,0,16
01-30,589,436,0,12
01-31,1448,414,0,31
01-32,1071,448,1,16
01-33,798,431,1,6
01-34,684,105,0,10
01-35,1085,131,0,28
01-36,909,891,1,22
01-37,802,580,0,10
01-38,973,456,1,20
01-39,1100,583,2,16
01-40,1991,257,0,27
01-41,1049,334,1,7
01-42,960,1093,1,24
01-43,961,487,1,13
01-44,1495,857,0,20
01-45,699,519,1,10
01-46,1111,306,1,27
01-47,790,840,0,15
01-48,1230,386,0,13
01-49,1142,513,0,19
01-50,1625,202,0,26
01-51,480,368,0,4
02-01,1157,1235,0,18
02-02,1778,2354,0,35
02-03,949,1311,1,14
02-04,741,1046,0,13
02-05,366,425,0,7
02-06,792,1190,0,17
03-00,1448,1679,2,25
04-01,937,576,0,34
04-02,1042,665,1,26
04-03,823,499,0,14
04-04,644,468,0,15
04-05,1482,1000,0,28
04-06,1287,902,0,22
04-07,1008,1161,0,27
04-08,1106,585,0,22
04-09,845,811,1,12
04-10,1148,841,0,14
04-11,688,319,1,16
04-12,1180,836,1,20
04-13,1756,1433,2,36
04-14,771,497,1,13
04-15,1089,665,1,16
04-16,1003,560,1,15
04-17,839,473,0,11
04-18,1090,675,0,20
04-19,780,544,1,12
04-20,1221,775,1,23
04-21,713,346,0,11
05-01,1443,1208,2,36
05-03,1287,1234,1,37
05-05,2632,1545,2,41
05-06,1819,1515,2,52
05-07,2451,1279,4,60
05-08,1270,658,1,28
06-04,1271,1182,3,34
06-05,926,1391,0,15
06-06,1840,1775,4,40
06-07,1120,1166,3,34
06-08,786,716,0,21
06-09,1704,1893,4,33
06-10,881,1207,3,24
07-01,742,436,0,8
07-02,660,527,1,18
07-03,685,479,2,12
07-04,1772,954,2,22
07-05,761,559,1,12
07-06,1458,1245,1,26
07-07,1433,1161,2,26
07-07A,260,172,1,24
07-09,1330,887,1,18
07-10,2028,1170,1,28
07-11,541,419,0,8
07-12,1189,650,1,23
07-13,951,613,1,9
08-02,1656,1208,2,23
08-03,1880,1492,2,32
08-04,659,718,2,10
08-05,838,798,1,12
08-06,967,411,0,15
08-07,881,1072,1,13
08-08,1650,1520,3,36
08-09,840,533,0,16
08-10,1095,749,0,15
08-11,1511,1108,1,21
09-01,549,836,1,32
09-02,1015,879,1,30
09-03,766,1152,1,14
10-01,244,630,3,12
10-02,1017,1195,4,31
10-03,821,822,0,21
10-04,2517,2173,1,45
11-01,1961,1142,0,27
11-02,1815,1201,0,22
12-01,1438,2302,1,39
12-02,1347,1461,3,37
12-04,902,1953,4,28
12-05,2135,2836,4,42
12-06,1047,1455,2,24
12-07,691,1070,0,20
12-08,1395,1294,0,45
12-09,1188,1826,5,44
13-01,1856,666,2,54
13-02,759,694,1,18
13-05,726,381,0,4
13-06,1175,919,3,13
13-07,976,525,2,26
13-08,1101,392,0,25
13-09,1937,730,4,39
13-10,2149,1915,2,41
13-11,1063,1142,0,24
14-01,185,356,0,11
14-02,1426,2888,1,40
15-01,1063,1737,2,31
15-02,1572,1997,1,35
15-03,1135,2054,0,20
15-04,696,943,0,20
16-01,748,835,2,15
16-02,2048,672,3,42
16-03,533,384,1,6
16-04,964,925,2,18
16-05,836,786,2,14
16-06,505,323,0,13
16-07,1289,1068,2,30
16-09,1291,926,5,23
16-10,2196,559,0,20
16-11,1332,340,0,15
17-01,1109,543,2,18
17-02,392,425,0,8
17-03,2716,1308,2,52
17-04,2314,1472,2,40
17-05,1627,852,3,30
17-06,600,756,1,17
17-07,1893,442,4,20
17-08,3149,1867,4,94
17-09,1864,314,2,26
17-10,424,305,2,18
17-11,1886,723,3,33
18-01,2059,676,3,31
18-02,1444,1969,2,28
18-03,971,777,1,23
18-04,1265,1512,2,26
18-05,1859,1891,0,26
18-06,1732,858,0,25
18-07,951,1465,1,23
18-08,1545,1159,1,32
19-03,885,1018,1,19
19-04,2594,2695,1,46
19-05,858,1375,4,19
19-07,1055,1126,1,37
19-09,1225,1811,1,34
19-11,958,1064,0,21
19-12,1933,2192,2,38
19-13,763,630,2,16
19-14,868,1010,1,26
19-15,763,1021,2,29
19-16,854,912,1,11
19-17,2105,1215,1,42
19-18,914,1059,1,12
19-19,1614,2360,1,29
20-01,1281,933,2,29
20-03,1359,1248,1,25
20-04,1302,1029,1,20
20-05,1447,1418,1,23
20-06A,1840,1432,1,42
20-06B,1308,1233,1,18
20-08,1604,1527,0,38
20-09,1114,912,1,18
20-10,1264,980,2,30
20-11,1390,1314,3,30
20-12,1185,1220,0,19
20-14,2261,1724,3,40
20-15,1369,898,2,25
20-16,1235,760,0,19
20-17,1325,1153,2,26
