id,Against,For,over,under
01-01,955,353,1,23
01-02,997,337,2,20
01-03,886,630,1,30
01-04,550,379,0,23
01-05,517,323,0,21
01-06,1333,630,0,37
01-07,1074,424,2,24
01-07A,101,55,0,17
01-09,723,205,2,12
01-10,824,389,1,20
01-11,842,895,0,38
01-12,829,515,0,21
01-13,906,273,0,18
01-14,2044,569,1,30
01-15,823,677,3,35
01-16,1211,771,0,28
01-17,422,383,1,27
01-18,1004,825,4,34
01-19,746,237,0,21
01-20,1199,482,1,29
01-21,1445,877,2,39
01-22,1772,569,2,43
01-23,2121,1407,3,71
01-25,205,111,2,5
01-26,913,311,0,24
01-27,1019,342,0,19
01-28,1922,791,4,27
01-29,1012,823,0,34
01-30,573,431,0,33
01-31,1208,628,1,56
01-32,880,624,1,31
01-33,788,428,0,20
01-34,552,237,1,9
01-35,886,329,1,28
01-36,874,907,1,41
01-37,766,602,0,24
01-38,851,577,2,20
01-39,948,717,2,34
01-40,1640,590,3,42
01-41,922,452,0,17
01-42,916,1119,3,40
01-43,775,657,1,29
01-44,1273,1069,1,29
01-45,635,574,1,19
01-46,862,550,2,31
01-47,757,856,3,29
01-48,1125,481,1,22
01-49,969,661,3,41
01-50,1354,461,1,37
01-51,465,375,0,12
02-01,1108,1261,5,36
02-02,1686,2405,2,74
02-03,908,1330,1,36
02-04,701,1053,1,45
02-05,372,411,0,15
02-06,761,1195,4,39
03-00,1398,1695,4,57
04-01,865,639,2,41
04-02,951,750,1,32
04-03,708,600,1,27
04-04,542,561,1,23
04-05,1390,1062,2,56
04-06,1213,945,3,50
04-07,1030,1118,2,46
04-08,957,717,2,37
04-09,759,868,1,41
04-10,1064,901,1,37
04-11,566,431,0,27
04-12,1085,902,3,47
04-13,1645,1510,5,67
04-14,701,562,0,19
04-15,985,746,0,40
04-16,931,621,4,23
04-17,748,551,1,23
04-18,987,761,1,36
04-19,733,578,1,25
04-20,1092,879,2,47
04-21,581,468,0,21
05-01,1247,1382,1,59
05-03,1142,1360,1,56
05-05,2183,1969,5,63
05-06,1660,1653,4,71
05-07,2205,1485,5,99
05-08,1074,838,2,43
06-04,1060,1371,4,55
06-05,875,1408,0,49
06-06,1712,1858,2,87
06-07,1021,1252,1,49
06-08,649,838,1,35
06-09,1589,1975,0,70
06-10,817,1257,2,39
07-01,702,463,1,20
07-02,608,576,0,22
07-03,641,504,1,32
07-04,1535,1169,1,45
07-05,680,638,1,14
07-06,1398,1287,2,43
07-07,1304,1272,1,45
07-07A,239,189,1,28
07-09,1220,969,5,42
07-10,1807,1354,1,65
07-11,529,421,3,15
07-12,1026,806,0,31
07-13,816,731,2,25
08-02,1515,1332,3,39
08-03,1635,1704,2,65
08-04,629,724,1,35
08-05,794,831,0,24
08-06,783,588,1,21
08-07,856,1073,1,37
08-08,1461,1673,2,73
08-09,775,582,0,32
08-10,926,901,2,30
08-11,1336,1248,3,54
09-01,466,909,1,42
09-02,825,1075,1,24
09-03,689,1222,1,21
10-01,244,635,1,9
10-02,789,1413,0,45
10-03,672,956,4,32
10-04,2036,2618,7,75
11-01,1717,1356,2,55
11-02,1656,1321,3,58
12-01,1364,2352,1,63
12-02,1203,1584,4,57
12-04,828,2005,1,53
12-05,2007,2912,7,91
12-06,920,1554,3,51
12-07,652,1097,1,31
12-08,1211,1449,4,70
12-09,1077,1913,2,71
13-01,1398,1116,6,58
13-02,734,714,0,24
13-05,557,539,1,14
13-06,1069,1004,4,33
13-07,808,677,4,40
13-08,830,655,5,28
13-09,1494,1157,4,55
13-10,2003,1998,9,97
13-11,976,1218,4,31
14-01,189,346,0,17
14-02,1377,2881,5,92
15-01,1003,1781,4,45
15-02,1389,2153,3,60
15-03,1053,2097,3,56
15-04,634,991,1,33
16-01,658,911,0,31
16-02,1619,1094,1,51
16-03,423,492,0,9
16-04,851,1029,1,28
16-05,727,873,1,37
16-06,430,396,1,14
16-07,1186,1167,0,36
16-09,1116,1089,1,39
16-10,1662,1078,1,34
16-11,990,672,2,23
17-01,921,730,1,20
17-02,357,454,0,14
17-03,2237,1777,3,61
17-04,1780,1985,4,59
17-05,1269,1202,0,41
17-06,483,858,1,32
17-07,1440,891,1,27
17-08,2503,2502,5,104
17-09,1388,779,6,33
17-10,338,391,0,20
17-11,1461,1134,2,48
18-01,1672,1040,1,56
18-02,1396,1975,2,70
18-03,905,840,1,26
18-04,1234,1528,2,41
18-05,1787,1915,1,73
18-06,1480,1069,1,65
18-07,954,1454,0,32
18-08,1425,1255,1,56
19-03,778,1094,4,47
19-04,2181,3048,4,103
19-05,837,1359,1,59
19-07,954,1213,3,49
19-09,1177,1835,4,55
19-11,855,1138,5,45
19-12,1738,2348,5,74
19-13,626,750,1,34
19-14,741,1124,7,33
19-15,674,1097,3,41
19-16,748,1004,3,23
19-17,1722,1571,2,68
19-18,805,1142,2,37
19-19,1450,2470,2,82
20-01,1133,1083,2,27
20-03,1282,1305,1,45
20-04,1267,1048,1,36
20-05,1363,1468,2,56
20-06A,1662,1590,3,60
20-06B,1290,1226,0,44
20-08,1445,1664,2,58
20-09,1065,949,1,30
20-10,1177,1052,2,45
20-11,1269,1412,3,53
20-12,1116,1270,3,35
20-14,2031,1927,3,67
20-15,1200,1044,4,46
20-16,1026,951,1,36
20-17,1202,1241,3,60
