id,George Holding,Jeff Matemu,Linda Coleman,over,under
01-42,1051,51,965,1,10
01-47,760,63,816,0,6
02-01,1128,93,1175,0,14
02-02,2128,123,1896,2,18
02-03,1242,65,961,0,7
02-04,975,51,757,0,17
02-05,392,20,383,0,3
02-06,1117,32,840,1,9
03-00,1437,102,1603,1,11
04-07,1133,53,1008,0,2
06-04,913,110,1450,2,15
06-05,1239,67,1011,2,13
06-06,1492,108,2036,0,23
06-07,980,61,1274,0,8
06-08,554,51,910,1,7
06-09,1683,121,1806,1,23
06-10,1067,90,945,2,11
08-04,647,45,692,0,5
08-07,978,63,917,0,9
08-08,1293,119,1772,1,24
09-01,751,41,613,2,11
09-02,724,63,1126,0,12
09-03,1051,51,821,0,10
10-01,581,26,278,0,4
10-02,1021,69,1145,0,12
10-03,705,54,894,0,11
10-04,1771,153,2774,2,36
12-01,2085,136,1534,2,23
12-02,1267,110,1458,3,10
12-04,1770,101,1000,2,14
12-05,2489,142,2361,2,23
12-06,1298,91,1118,2,19
12-07,961,62,753,1,4
12-08,1140,104,1474,0,16
12-09,1648,94,1291,3,27
13-10,1649,131,2307,2,18
13-11,1033,62,1113,0,21
14-01,336,16,198,0,2
14-02,2663,110,1568,1,13
15-01,1570,95,1146,0,22
15-02,1775,105,1707,1,17
15-03,1861,115,1222,0,11
15-04,866,43,739,0,11
16-01,709,60,821,0,10
16-05,686,56,777,0,9
16-09,763,65,1404,0,13
17-06,649,49,663,0,13
18-02,1802,105,1521,1,14
18-03,716,44,998,2,12
18-04,1373,72,1341,0,19
18-05,1685,84,1995,1,11
18-07,1329,78,1022,1,10
19-03,951,68,895,0,9
19-04,2291,165,2850,2,28
19-05,1306,51,881,0,18
19-07,991,68,1150,2,8
19-09,1618,92,1336,1,24
19-11,926,69,1034,0,14
19-12,1905,124,2122,4,10
19-13,520,41,844,1,5
19-14,871,43,982,0,9
19-15,866,51,882,4,12
19-18,914,64,996,0,12
19-19,2121,110,1746,1,26
20-05,1256,73,1543,1,16
20-06A,1191,124,1978,1,21
20-06B,1065,105,1377,0,13
20-08,1289,106,1742,1,31
20-11,1102,91,1529,0,15
20-12,1032,73,1305,1,13
