id,Barbara Howe,David Price,Steve A. (Von) Loor,over,under
01-01,47,1074,205,0,6
01-02,42,1040,263,0,11
01-03,56,936,544,0,11
01-04,28,612,301,1,10
01-05,23,527,306,0,5
01-06,83,1530,378,1,8
01-07,67,1216,235,0,6
01-07A,3,148,20,1,1
01-09,29,757,151,0,5
01-10,42,865,321,0,6
01-11,44,897,816,2,16
01-12,43,943,362,0,17
01-13,46,981,161,0,9
01-14,79,2230,322,3,10
01-15,66,922,538,2,10
01-16,77,1417,500,2,14
01-17,37,473,319,2,2
01-18,67,1235,555,4,6
01-19,23,943,27,2,9
01-20,70,1493,141,1,6
01-21,106,1774,469,2,12
01-22,45,2262,68,0,11
01-23,227,2752,598,0,25
01-25,17,290,15,0,1
01-26,37,1151,52,0,8
01-27,51,1188,135,0,6
01-28,95,2374,268,0,7
01-29,40,1090,728,1,10
01-30,36,619,374,0,8
01-31,111,1545,229,0,8
01-32,67,1146,310,1,12
01-33,26,860,343,0,7
01-34,26,744,24,0,5
01-35,18,1180,32,4,10
01-36,57,1001,746,2,17
01-37,59,845,478,1,9
01-38,62,1022,350,0,16
01-39,77,1183,426,2,13
01-40,43,2140,83,3,6
01-41,52,1085,246,0,8
01-43,70,1024,360,0,8
01-44,81,1606,667,6,12
01-45,63,757,404,1,4
01-46,64,1218,156,1,6
01-48,68,1292,261,1,7
01-49,79,1287,302,0,6
01-50,34,1731,79,3,6
01-51,28,521,298,0,5
04-01,66,1022,446,1,12
04-02,67,1120,535,0,12
04-03,64,876,389,0,7
04-04,48,729,344,0,6
04-05,99,1660,743,1,7
04-06,74,1407,715,0,15
04-08,73,1228,406,1,5
04-09,50,980,627,3,9
04-10,94,1237,657,1,14
04-11,52,726,235,0,11
04-12,78,1260,690,1,8
04-13,112,1994,1098,0,23
04-14,60,800,414,0,8
04-15,87,1173,497,2,12
04-16,62,1065,445,1,6
04-17,65,902,352,0,4
04-18,55,1208,513,1,8
04-19,52,866,417,0,2
04-20,87,1372,543,1,17
04-21,66,780,221,0,3
05-01,112,1685,881,4,7
05-03,79,1541,923,1,15
05-05,132,2914,1158,2,14
05-06,93,2129,1143,4,19
05-07,132,2835,808,3,16
05-08,72,1464,415,0,6
07-01,54,795,331,1,5
07-02,43,735,417,0,11
07-03,38,735,398,0,7
07-04,125,1936,674,1,14
07-05,50,836,443,0,4
07-06,81,1581,1041,3,24
07-07,100,1615,893,0,14
07-07A,11,294,139,1,12
07-09,97,1464,656,3,16
07-10,132,2265,812,2,16
07-11,31,581,348,0,8
07-12,49,1283,518,1,12
07-13,58,1024,488,0,4
08-02,113,1807,950,2,17
08-03,139,2123,1122,2,20
08-05,52,941,648,0,8
08-06,50,1066,271,1,5
08-09,51,916,410,2,10
08-10,61,1226,562,0,10
08-11,116,1734,768,1,22
11-01,139,2101,868,1,21
11-02,121,1913,983,2,19
13-01,88,2077,400,3,10
13-02,55,841,562,1,13
13-05,39,826,239,1,6
13-06,90,1272,732,1,15
13-07,36,1113,370,2,8
13-08,55,1220,232,1,10
13-09,91,2140,463,2,14
16-02,86,2257,395,3,24
16-03,51,584,282,1,6
16-04,62,1066,763,0,18
16-05,5,72,30,0,3
16-06,34,566,240,1,0
16-07,94,1415,868,0,12
16-10,60,2416,288,1,10
16-11,29,1483,170,0,5
17-01,60,1206,395,2,9
17-02,38,467,318,0,2
17-03,136,2964,947,1,30
17-04,122,2598,1087,0,21
17-05,89,1850,553,5,15
17-07,48,2025,271,0,15
17-08,185,3564,1335,5,25
17-09,43,2029,123,1,10
17-10,29,474,240,2,4
17-11,81,2056,489,0,19
18-01,169,2128,453,0,19
18-06,103,1888,604,0,20
18-08,101,1727,888,2,19
19-16,59,960,752,0,7
19-17,115,2349,870,3,26
20-01,99,1433,696,0,17
20-03,102,1511,1000,1,19
20-04,99,1520,719,0,14
20-09,96,1217,720,0,12
20-10,89,1488,686,0,13
20-14,124,2734,1156,0,14
20-15,74,1640,569,0,11
20-16,66,1421,518,1,8
20-17,88,1595,814,2,7
