id,No,Yes,over,under
01-01,212,1084,0,36
01-02,254,1076,0,26
01-03,407,1094,0,46
01-04,210,716,0,26
01-05,215,629,0,17
01-06,375,1558,0,67
01-07,244,1240,0,40
01-07A,35,127,0,11
01-09,151,772,0,19
01-10,253,957,1,23
01-11,457,1272,1,45
01-12,258,1078,0,29
01-13,173,1001,1,22
01-14,384,2222,0,38
01-15,429,1044,2,63
01-16,507,1457,1,45
01-17,218,580,0,35
01-18,575,1231,2,59
01-19,207,776,2,19
01-20,336,1335,0,40
01-21,573,1731,1,58
01-22,478,1850,2,56
01-23,650,2764,1,187
01-25,56,259,0,8
01-26,248,979,0,21
01-27,213,1148,0,19
01-28,621,2078,2,43
01-29,562,1267,1,39
01-30,280,724,0,33
01-31,376,1447,1,69
01-32,400,1083,0,53
01-33,266,945,0,25
01-34,181,605,0,13
01-35,252,970,1,21
01-36,481,1262,1,79
01-37,390,974,0,28
01-38,466,939,1,44
01-39,486,1169,1,45
01-40,538,1698,0,39
01-41,289,1066,0,36
01-42,837,1190,1,50
01-43,443,975,1,43
01-44,765,1544,4,59
01-45,448,762,0,19
01-46,377,1031,1,36
01-47,601,985,1,58
01-48,349,1249,0,31
01-49,389,1237,1,47
01-50,411,1404,1,37
01-51,299,529,0,24
02-01,754,1598,2,56
02-02,1550,2517,1,99
02-03,780,1442,1,52
02-04,639,1105,0,56
02-05,253,522,0,23
02-06,743,1190,1,65
03-00,1042,2025,1,86
04-01,449,1031,2,65
04-02,535,1159,0,40
04-03,396,910,0,30
04-04,378,722,0,27
04-05,639,1803,1,67
04-06,682,1464,2,63
04-07,697,1399,1,99
04-08,386,1267,1,59
04-09,467,1156,1,45
04-10,616,1337,1,49
04-11,306,681,1,36
04-12,610,1360,0,67
04-13,900,2231,1,95
04-14,425,815,1,41
04-15,472,1257,0,42
04-16,454,1087,0,38
04-17,330,965,0,28
04-18,394,1341,0,50
04-19,342,966,1,28
04-20,581,1386,1,52
04-21,294,744,1,31
05-01,781,1828,0,80
05-03,717,1738,0,104
05-05,1163,2916,0,141
05-06,952,2343,2,91
05-07,906,2759,2,127
05-08,485,1420,0,52
06-04,884,1520,2,84
06-05,952,1319,2,59
06-06,1193,2370,1,95
06-07,836,1413,0,74
06-08,594,887,0,42
06-09,1383,2143,0,108
06-10,931,1125,2,57
07-01,309,850,0,27
07-02,400,761,1,44
07-03,327,819,0,32
07-04,753,1933,2,62
07-05,446,854,1,32
07-06,878,1786,0,66
07-07,821,1727,4,70
07-07A,141,282,0,34
07-09,610,1574,0,52
07-10,837,2287,1,102
07-11,319,627,0,22
07-12,519,1290,1,53
07-13,545,994,1,34
08-02,936,1880,3,70
08-03,1106,2212,1,87
08-04,502,852,0,35
08-05,510,1089,1,49
08-06,381,964,0,48
08-07,653,1264,0,50
08-08,1037,2080,2,90
08-09,428,922,1,38
08-10,545,1265,0,49
08-11,824,1737,0,80
09-01,700,634,1,83
09-02,825,1060,1,39
09-03,976,921,1,35
10-01,517,342,0,30
10-02,958,1200,2,87
10-03,646,947,5,66
10-04,1852,2754,2,128
11-01,755,2273,0,102
11-02,836,2108,0,94
12-01,1352,2312,2,114
12-02,1014,1742,2,90
12-04,1248,1540,1,98
12-05,1651,3245,1,120
12-06,873,1565,0,90
12-07,704,1021,2,54
12-08,973,1656,0,105
12-09,1199,1754,1,109
13-01,775,1717,1,85
13-02,477,962,1,32
13-05,345,744,0,22
13-06,646,1405,1,58
13-07,512,974,0,43
13-08,462,1011,1,44
13-09,800,1818,2,90
13-10,1200,2772,1,134
13-11,766,1400,1,62
14-01,252,276,0,24
14-02,1658,2541,4,152
15-01,1139,1593,3,98
15-02,1447,2049,2,107
15-03,1361,1755,3,90
15-04,699,905,1,54
16-01,596,951,1,52
16-02,852,1837,0,76
16-03,336,569,1,18
16-04,670,1177,0,62
16-05,621,975,1,41
16-06,288,531,0,22
16-07,866,1464,1,58
16-09,792,1391,0,62
16-10,764,1943,1,67
16-11,504,1149,1,33
17-01,534,1095,1,42
17-02,346,455,0,24
17-03,1251,2703,1,123
17-04,1381,2337,2,108
17-05,858,1595,3,56
17-06,593,734,1,46
17-07,691,1617,2,49
17-08,1628,3305,4,177
17-09,599,1552,0,55
17-10,291,433,0,25
17-11,773,1796,2,74
18-01,625,2064,0,80
18-02,1216,2129,2,96
18-03,495,1230,1,46
18-04,1089,1641,1,74
18-05,1171,2511,2,92
18-06,656,1871,1,87
18-07,977,1408,0,55
18-08,765,1889,1,82
19-03,699,1141,1,82
19-04,1776,3383,0,177
19-05,894,1283,1,78
19-07,748,1384,1,86
19-09,1305,1665,1,100
19-11,658,1296,0,89
19-12,1304,2700,4,157
19-13,423,933,1,54
19-14,579,1255,1,70
19-15,614,1135,1,65
19-16,680,1055,0,43
19-17,1070,2197,1,95
19-18,755,1168,0,63
19-19,1406,2467,0,131
20-01,697,1484,1,63
20-03,750,1798,1,84
20-04,627,1667,3,55
20-05,877,1921,0,91
20-06A,964,2249,0,102
20-06B,743,1752,1,64
20-08,965,2116,2,86
20-09,602,1385,1,57
20-10,558,1661,0,57
20-11,784,1872,5,76
20-12,790,1571,0,63
20-14,1109,2833,0,86
20-15,558,1675,2,59
20-16,518,1436,1,59
20-17,668,1766,0,72
