id,James West,under
01-01,1121,211
01-02,1068,288
01-03,1010,537
01-04,657,295
01-05,556,305
01-06,1598,402
01-07,1276,248
01-07A,150,23
01-09,766,176
01-10,896,338
01-11,1000,775
01-12,995,370
01-13,1010,187
01-14,2259,385
01-15,992,546
01-16,1521,489
01-17,510,323
01-18,1286,581
01-19,950,54
01-20,1530,181
01-21,1891,472
01-22,2280,106
01-23,3106,496
01-25,301,22
01-26,1139,109
01-27,1218,162
01-28,2414,330
01-29,1153,716
01-30,654,383
01-31,1629,264
01-32,1212,324
01-33,907,329
01-34,756,43
01-35,1187,57
01-36,1150,673
01-37,932,460
01-38,1086,364
01-39,1276,425
01-40,2142,133
01-41,1125,266
01-42,1161,917
01-43,1108,354
01-44,1706,666
01-45,819,410
01-46,1254,191
01-47,1003,642
01-48,1320,309
01-49,1365,309
01-50,1733,120
01-51,568,284
02-01,1404,1006
02-02,2242,1925
02-03,1177,1098
02-04,931,869
02-05,447,351
02-06,1014,985
03-00,1929,1225
04-01,1085,462
04-02,1221,513
04-03,952,384
04-04,770,357
04-05,1755,755
04-06,1471,740
04-07,1221,975
04-08,1316,397
04-09,1073,596
04-10,1341,662
04-11,767,257
04-12,1360,677
04-13,2161,1066
04-14,842,440
04-15,1261,510
04-16,1143,436
04-17,982,341
04-18,1286,499
04-19,895,442
04-20,1454,566
04-21,838,232
05-01,1846,843
05-03,1642,917
05-05,3116,1104
05-06,2273,1115
05-07,3017,777
05-08,1549,408
06-04,1728,762
06-05,1241,1091
06-06,2402,1257
06-07,1433,890
06-08,1060,463
06-09,2189,1445
06-10,1179,936
07-01,836,350
07-02,782,424
07-03,771,407
07-04,2063,687
07-05,914,419
07-06,1690,1040
07-07,1723,899
07-07A,276,181
07-09,1549,687
07-10,2415,812
07-11,619,349
07-12,1329,534
07-13,1088,486
08-02,1938,951
08-03,2363,1043
08-04,805,584
08-05,1020,629
08-06,1135,258
08-07,1100,867
08-08,2080,1129
08-09,995,394
08-10,1324,535
08-11,1880,761
09-01,760,658
09-02,1287,638
09-03,1032,901
10-01,368,521
10-02,1370,877
10-03,1077,587
10-04,3174,1562
11-01,2293,837
11-02,2042,996
12-01,1891,1889
12-02,1796,1052
12-04,1372,1515
12-05,2897,2120
12-06,1400,1128
12-07,935,846
12-08,1750,984
12-09,1666,1397
13-01,2155,423
13-02,930,542
13-05,873,238
13-06,1405,705
13-07,1196,333
13-08,1275,243
13-09,2236,474
13-10,2682,1425
13-11,1316,913
14-01,257,295
14-02,2036,2319
15-01,1499,1334
15-02,2081,1524
15-03,1620,1589
15-04,926,733
16-01,1007,593
16-02,2334,431
16-03,648,276
16-04,1191,718
16-05,1007,631
16-06,604,237
16-07,1553,836
16-09,1575,670
16-10,2472,303
16-11,1489,198
17-01,1287,385
17-02,531,294
17-03,3108,970
17-04,2784,1044
17-05,1935,577
17-06,809,565
17-07,2092,267
17-08,3785,1329
17-09,2038,168
17-10,507,242
17-11,2165,480
18-01,2334,435
18-02,1844,1599
18-03,1138,634
18-04,1597,1208
18-05,2310,1466
18-06,2012,603
18-07,1303,1137
18-08,1880,857
19-03,1121,802
19-04,3342,1994
19-05,1112,1144
19-07,1345,874
19-09,1692,1379
19-11,1240,803
19-12,2507,1658
19-13,958,453
19-14,1166,739
19-15,1060,755
19-16,1084,694
19-17,2529,834
19-18,1188,798
19-19,2201,1803
20-01,1565,680
20-03,1685,948
20-04,1653,699
20-05,1764,1125
20-06A,2231,1084
20-06B,1623,937
20-08,2039,1130
20-09,1354,691
20-10,1567,709
20-11,1776,961
20-12,1518,906
20-14,2923,1105
20-15,1757,537
20-16,1537,477
20-17,1759,747
