id,Donald Mial,Heather Scott,Jim Thompson,over,under
09-01,332,441,323,0,311
09-02,711,570,344,2,285
09-03,544,524,598,4,252
10-01,198,221,247,0,214
10-02,673,702,497,2,356
10-03,606,471,340,4,232
10-04,1688,1457,862,8,685
17-02,243,273,157,3,143
17-04,1506,1193,619,4,488
19-03,380,657,507,2,359
19-04,1339,1847,1238,7,867
19-05,388,742,722,1,385
19-07,617,716,472,5,395
19-09,732,998,758,9,558
19-11,473,726,468,3,358
19-12,1018,1414,1059,8,627
19-15,133,214,203,3,111
19-16,576,575,327,6,275
19-17,1132,1315,493,4,394
19-18,448,693,496,2,338
19-19,829,1414,1047,8,688
