id,Bill Fletcher,over,under
04-01,858,0,644
04-02,939,0,729
04-03,696,2,603
04-04,598,0,507
04-05,1314,0,1141
04-06,1171,0,984
04-07,1135,0,1002
04-08,896,0,777
04-09,881,1,737
04-10,1043,0,907
04-11,550,0,445
04-12,1039,0,928
04-13,1659,2,1422
04-14,658,0,586
04-15,940,0,783
04-16,861,1,678
04-17,696,1,594
04-18,917,0,823
04-19,661,0,633
04-20,1111,0,841
04-21,543,1,493
05-01,607,0,533
05-03,195,1,166
05-06,1187,1,1076
18-03,915,0,831
18-08,1541,0,1114
20-04,1277,0,1000
20-10,1213,1,990
