id,No,Yes,over,under
01-01,295,998,0,39
01-02,289,1028,0,39
01-03,467,1018,1,61
01-04,264,653,0,35
01-05,261,584,0,16
01-06,495,1414,3,88
01-07,349,1121,1,53
01-07A,40,121,0,12
01-09,223,697,0,22
01-10,336,868,0,30
01-11,534,1178,2,61
01-12,390,926,0,49
01-13,239,933,0,25
01-14,506,2084,3,51
01-15,512,951,2,73
01-16,528,1426,2,54
01-17,240,547,0,46
01-18,623,1174,0,70
01-19,192,795,0,17
01-20,388,1275,2,46
01-21,667,1633,3,60
01-22,462,1868,1,55
01-23,815,2566,5,216
01-25,59,256,0,8
01-26,264,951,2,31
01-27,276,1075,1,28
01-28,661,2026,3,54
01-29,624,1179,5,61
01-30,345,649,0,43
01-31,435,1371,1,86
01-32,432,1042,1,61
01-33,314,885,1,36
01-34,196,590,0,13
01-35,248,968,1,27
01-36,591,1148,0,84
01-37,457,904,0,31
01-38,480,924,2,44
01-39,576,1074,1,50
01-40,518,1714,2,41
01-41,332,1014,1,44
01-42,894,1133,1,50
01-43,467,941,1,53
01-44,811,1496,3,62
01-45,454,748,1,26
01-46,368,1036,1,40
01-47,638,944,1,62
01-48,404,1181,1,43
01-49,433,1183,1,57
01-50,391,1425,2,35
01-51,317,512,0,23
02-01,859,1490,1,60
02-02,1727,2322,1,117
02-03,885,1329,1,60
02-04,695,1038,0,67
02-05,284,491,0,23
02-06,800,1129,2,68
03-00,1121,1946,2,85
04-01,444,1028,1,74
04-02,549,1141,1,43
04-03,401,898,0,37
04-04,391,696,1,39
04-05,745,1675,0,90
04-06,698,1445,2,66
04-07,708,1380,3,105
04-08,454,1189,0,70
04-09,562,1052,1,54
04-10,673,1266,0,64
04-11,331,655,1,37
04-12,620,1346,0,71
04-13,1020,2096,1,110
04-14,433,808,0,41
04-15,547,1171,2,51
04-16,486,1050,1,42
04-17,392,896,1,34
04-18,489,1232,0,64
04-19,398,899,1,39
04-20,617,1338,4,61
04-21,301,727,3,39
05-01,866,1728,0,95
05-03,820,1617,1,121
05-05,1339,2722,1,158
05-06,1075,2204,2,107
05-07,1026,2631,4,133
05-08,554,1338,0,65
06-04,920,1483,0,87
06-05,1006,1257,3,66
06-06,1346,2208,1,104
06-07,847,1395,0,81
06-08,615,861,0,47
06-09,1467,2037,0,130
06-10,977,1066,5,67
07-01,354,801,1,30
07-02,414,743,1,48
07-03,375,762,0,41
07-04,912,1762,2,74
07-05,487,815,1,30
07-06,962,1694,0,74
07-07,917,1618,2,85
07-07A,103,324,0,30
07-09,705,1465,0,66
07-10,1013,2088,0,126
07-11,365,577,0,26
07-12,579,1219,2,63
07-13,579,955,0,40
08-02,1029,1786,0,74
08-03,1245,2063,1,97
08-04,557,786,0,46
08-05,602,988,1,58
08-06,405,934,1,53
08-07,753,1151,0,63
08-08,1183,1921,2,103
08-09,507,837,2,43
08-10,657,1146,0,56
08-11,913,1638,0,90
09-01,691,642,2,83
09-02,858,1023,1,43
09-03,970,919,0,44
10-01,522,332,1,34
10-02,978,1172,2,95
10-03,631,954,3,76
10-04,1884,2694,1,157
11-01,942,2072,0,116
11-02,953,1982,1,102
12-01,1448,2203,3,126
12-02,1058,1687,1,102
12-04,1272,1519,1,95
12-05,1912,2951,4,150
12-06,910,1522,2,94
12-07,731,991,2,57
12-08,996,1625,0,113
12-09,1278,1668,0,117
13-01,807,1679,2,90
13-02,553,877,0,42
13-05,366,721,0,24
13-06,703,1339,1,67
13-07,525,954,3,47
13-08,479,999,1,39
13-09,844,1783,3,80
13-10,1389,2545,5,168
13-11,874,1286,0,69
14-01,261,263,0,28
14-02,1826,2343,2,184
15-01,1167,1556,1,109
15-02,1436,2054,3,112
15-03,1412,1694,3,100
15-04,707,896,1,55
16-01,634,906,2,58
16-02,846,1839,3,77
16-03,353,551,0,20
16-04,658,1185,1,65
16-05,605,985,1,47
16-06,281,540,0,20
16-07,871,1454,1,63
16-09,836,1350,1,58
16-10,788,1920,6,61
16-11,470,1180,2,35
17-01,569,1059,0,44
17-02,374,426,0,25
17-03,1303,2644,2,129
17-04,1434,2274,1,119
17-05,866,1585,0,61
17-06,611,703,0,60
17-07,686,1623,0,50
17-08,1685,3261,2,166
17-09,593,1555,0,58
17-10,290,427,0,32
17-11,828,1738,3,76
18-01,701,1974,0,94
18-02,1310,2033,1,99
18-03,526,1190,3,53
18-04,1102,1626,2,75
18-05,1228,2439,3,106
18-06,780,1737,1,97
18-07,958,1424,3,55
18-08,803,1840,0,94
19-03,741,1081,1,100
19-04,1908,3231,1,196
19-05,960,1212,1,83
19-07,850,1273,1,95
19-09,1364,1598,1,108
19-11,707,1238,2,96
19-12,1485,2509,3,168
19-13,469,891,0,51
19-14,686,1142,0,77
19-15,650,1090,2,73
19-16,689,1042,0,47
19-17,1143,2117,2,101
19-18,825,1087,1,73
19-19,1556,2295,3,150
20-01,749,1431,0,65
20-03,816,1725,1,91
20-04,704,1572,6,70
20-05,984,1802,2,101
20-06A,1048,2151,2,114
20-06B,817,1664,2,77
20-08,1024,2044,2,99
20-09,644,1338,1,62
20-10,673,1527,0,76
20-11,913,1728,2,94
20-12,848,1492,2,82
20-14,1364,2564,2,98
20-15,694,1523,3,74
20-16,607,1336,1,70
20-17,830,1583,2,91
