id,Greg Jones,Sig Hutchinson,Tim Jowers,over,under
01-01,218,1043,38,0,33
01-02,273,1012,37,0,34
01-03,568,910,34,1,34
01-04,322,586,19,0,25
01-05,318,516,11,0,16
01-06,388,1506,59,2,45
01-07,253,1184,55,0,32
01-07A,24,139,6,0,4
01-09,168,742,18,0,14
01-10,347,839,23,0,25
01-11,817,885,26,0,47
01-12,392,899,41,0,33
01-13,172,966,35,0,24
01-14,321,2203,76,0,44
01-15,558,896,47,0,37
01-16,524,1380,62,1,43
01-17,328,469,17,0,19
01-18,588,1194,54,0,31
01-19,35,938,19,1,11
01-20,144,1483,60,0,24
01-21,490,1749,82,0,42
01-22,84,2230,44,1,27
01-23,628,2665,204,1,104
01-25,17,280,16,1,9
01-26,60,1138,31,0,19
01-27,142,1172,46,1,19
01-28,290,2334,77,2,41
01-29,750,1056,26,0,37
01-30,381,611,24,0,21
01-31,245,1504,109,1,34
01-32,333,1101,66,0,36
01-33,347,834,28,0,27
01-34,33,733,23,1,9
01-35,44,1165,14,0,21
01-36,775,963,43,1,41
01-37,495,824,51,0,22
01-38,379,986,52,0,33
01-39,447,1166,61,0,27
01-40,106,2105,40,2,22
01-41,253,1048,52,0,38
01-42,982,1015,43,1,37
01-43,369,1016,54,0,23
01-44,699,1549,60,0,64
01-45,421,734,50,0,24
01-46,193,1194,42,2,14
01-47,696,872,49,1,27
01-48,290,1249,50,0,40
01-49,327,1250,71,0,26
01-50,103,1679,42,3,26
01-51,308,509,25,0,10
02-01,1053,1220,98,1,38
02-02,2031,1927,119,1,89
02-03,1173,1004,66,1,31
02-04,904,795,56,0,45
02-05,371,393,23,0,11
02-06,1071,860,31,0,37
03-00,1374,1603,105,2,70
04-01,497,972,44,0,34
04-02,581,1068,59,0,26
04-03,418,842,54,0,22
04-04,374,687,40,2,24
04-05,795,1562,101,0,52
04-06,754,1361,47,0,49
04-07,1071,1039,45,1,40
04-08,425,1201,59,1,27
04-09,665,931,41,0,32
04-10,702,1171,86,0,44
04-11,260,706,37,0,21
04-12,725,1214,59,1,38
04-13,1158,1895,94,2,78
04-14,448,758,50,0,26
04-15,518,1129,84,1,39
04-16,473,1016,59,0,31
04-17,370,870,59,0,24
04-18,532,1160,55,0,38
04-19,447,810,52,0,28
04-20,588,1299,89,0,44
04-21,239,773,46,1,11
05-01,934,1600,101,0,54
05-03,991,1463,56,0,49
05-05,1201,2825,117,1,76
05-06,1205,2023,100,0,60
05-07,852,2736,141,2,63
05-08,437,1420,65,1,34
06-04,881,1444,100,2,63
06-05,1187,1016,71,0,58
06-06,1446,2013,117,1,82
06-07,951,1261,65,0,46
06-08,517,911,56,0,39
06-09,1619,1808,115,0,92
06-10,1033,968,73,2,39
07-01,352,776,39,0,19
07-02,440,702,32,0,32
07-03,432,686,26,1,33
07-04,710,1904,106,0,30
07-05,464,800,46,0,23
07-06,1104,1517,52,0,57
07-07,921,1551,91,1,58
07-07A,168,252,7,0,30
07-09,697,1419,72,1,47
07-10,845,2187,120,2,73
07-11,369,570,12,0,17
07-12,540,1243,39,0,41
07-13,513,978,49,0,34
08-02,993,1746,97,0,53
08-03,1154,2063,125,0,64
08-04,617,684,54,1,33
08-05,676,891,48,0,34
08-06,279,1037,51,0,26
08-07,929,915,81,5,37
08-08,1224,1795,110,0,80
08-09,431,872,53,0,33
08-10,616,1165,43,1,34
08-11,803,1708,85,1,44
09-01,773,584,32,1,28
09-02,734,1102,56,1,32
09-03,1052,812,44,0,25
10-01,593,275,13,1,7
10-02,1036,1112,56,0,43
10-03,704,888,49,0,23
10-04,1775,2802,104,1,54
11-01,911,2034,115,1,69
11-02,1013,1872,78,1,74
12-01,1973,1609,126,0,72
12-02,1214,1471,110,1,52
12-04,1748,994,82,1,62
12-05,2373,2412,133,2,97
12-06,1283,1115,79,1,50
12-07,924,771,52,0,34
12-08,1092,1494,93,2,53
12-09,1598,1329,70,0,66
13-01,418,2043,78,1,38
13-02,576,814,45,0,37
13-05,265,799,31,0,16
13-06,753,1254,68,0,35
13-07,392,1100,23,2,12
13-08,262,1200,38,1,17
13-09,494,2116,67,0,33
13-10,1468,2468,102,5,64
13-11,973,1149,63,1,43
14-01,320,197,23,0,12
14-02,2567,1568,129,1,90
15-01,1529,1158,92,0,54
15-02,1733,1692,104,1,75
