id,Frann L. Sarpolus,Matt Calabria,over,under
01-01,237,1059,2,34
01-02,299,1013,0,44
01-03,590,904,0,53
01-04,328,587,0,37
01-05,326,506,1,28
01-06,427,1507,0,66
01-07,268,1211,3,42
01-07A,27,142,0,4
01-09,175,748,0,19
01-10,373,827,0,34
01-11,847,857,0,71
01-12,411,903,0,51
01-13,183,973,0,41
01-14,361,2214,1,68
01-15,570,916,1,51
01-16,527,1422,1,60
01-17,343,461,0,29
01-18,593,1234,0,40
01-19,37,948,0,19
01-20,168,1511,0,32
01-21,512,1786,0,65
01-22,95,2252,0,39
01-23,686,2793,1,122
01-25,19,293,0,11
01-26,65,1157,0,26
01-27,158,1192,0,30
01-28,310,2370,1,63
01-29,768,1051,0,50
01-30,393,609,0,35
01-31,273,1572,2,46
01-32,343,1144,0,49
01-33,355,844,0,37
01-34,42,742,0,15
01-35,42,1175,1,26
01-36,786,980,1,56
01-37,510,847,0,35
01-38,387,1018,0,45
01-39,473,1190,0,38
01-40,116,2118,4,37
01-41,262,1074,0,55
01-42,1015,1015,0,48
01-43,387,1040,2,33
01-44,704,1595,0,73
01-45,441,753,0,35
01-46,191,1226,0,28
01-47,719,872,1,53
01-48,303,1275,0,51
01-49,351,1280,0,43
01-50,102,1714,1,36
01-51,320,517,0,15
02-01,1110,1237,1,62
02-02,2089,1960,1,117
02-03,1215,1008,0,52
02-04,949,795,0,56
02-05,382,400,0,16
02-06,1078,883,0,38
03-00,1399,1665,1,89
04-01,479,1027,1,40
04-02,578,1117,1,38
04-03,428,877,1,30
04-04,375,724,0,28
04-05,811,1634,0,65
04-06,758,1390,0,63
04-07,1069,1073,0,54
04-08,447,1229,1,36
04-09,669,961,1,38
04-10,718,1219,0,66
04-11,265,734,0,25
04-12,746,1245,0,46
04-13,1185,1951,0,91
04-14,441,811,2,28
04-15,538,1181,0,52
04-16,491,1055,0,33
04-17,378,904,0,41
04-18,534,1201,2,48
04-19,442,857,0,38
04-20,597,1364,1,58
04-21,241,810,0,19
05-01,940,1684,0,65
05-03,998,1500,0,61
05-05,1221,2905,0,94
05-06,1234,2079,2,73
05-07,873,2842,2,77
05-08,452,1459,0,46
06-04,910,1517,0,63
06-05,1198,1065,0,69
06-06,1449,2121,2,87
06-07,964,1302,1,56
06-08,529,940,0,54
06-09,1632,1892,2,108
06-10,1064,1000,3,48
07-01,376,790,0,20
07-02,448,721,0,37
07-03,432,708,0,38
07-04,758,1945,0,47
07-05,485,816,0,32
07-06,1119,1528,0,83
07-07,950,1593,0,79
07-07A,162,256,0,39
07-09,731,1447,3,55
07-10,896,2238,0,93
07-11,370,573,1,24
07-12,550,1251,1,61
07-13,547,980,1,46
08-02,1024,1791,1,73
08-03,1202,2104,0,100
08-04,655,698,1,35
08-05,699,905,0,45
08-06,298,1064,0,31
08-07,972,940,0,55
08-08,1281,1829,0,99
08-09,447,899,0,43
08-10,612,1201,0,46
08-11,841,1733,0,67
09-01,747,626,0,45
09-02,729,1149,0,47
09-03,1024,867,0,42
10-01,568,305,0,16
10-02,1017,1166,1,63
10-03,697,929,0,38
10-04,1769,2872,2,93
11-01,939,2101,0,90
11-02,1025,1912,1,100
12-01,1968,1727,0,85
12-02,1225,1557,0,66
12-04,1746,1077,1,63
12-05,2331,2588,1,97
12-06,1254,1209,1,64
12-07,939,792,0,50
12-08,1096,1570,2,66
12-09,1586,1405,0,72
13-01,441,2081,1,55
13-02,606,816,0,50
13-05,266,818,0,27
13-06,780,1279,1,50
13-07,396,1111,1,21
13-08,270,1227,1,20
13-09,505,2147,1,57
13-10,1581,2415,1,110
13-11,1018,1145,0,66
14-01,330,204,0,18
14-02,2597,1627,1,130
15-01,1542,1226,3,62
15-02,1746,1766,1,92
15-03,1824,1320,2,63
15-04,845,774,0,40
16-01,697,862,3,38
16-02,447,2266,1,51
16-03,318,582,0,24
16-04,807,1054,1,47
16-05,719,888,0,31
16-06,278,551,0,12
16-07,925,1419,1,44
16-09,767,1431,0,47
16-10,318,2433,0,24
16-11,207,1459,0,21
17-01,435,1203,0,34
17-02,345,456,0,24
17-03,1036,2936,1,105
17-04,1142,2608,2,76
17-05,595,1850,5,62
17-06,657,678,0,39
17-07,292,2020,0,47
17-08,1447,3557,0,110
17-09,145,2024,0,37
17-10,247,479,1,22
17-11,531,2053,2,59
18-01,528,2160,2,79
18-02,1740,1606,1,96
18-03,674,1047,0,51
18-04,1335,1394,1,75
18-05,1605,2071,4,96
18-06,650,1891,0,74
18-07,1272,1095,0,73
18-08,933,1721,1,82
19-03,935,937,1,50
19-04,2293,2930,2,111
19-05,1267,916,1,72
19-07,995,1150,0,74
19-09,1589,1389,1,92
19-11,891,1075,1,76
19-12,1869,2192,1,103
19-13,506,863,0,42
19-14,857,1008,0,40
19-15,839,916,4,56
19-16,795,945,0,38
19-17,933,2368,1,61
19-18,902,1024,1,59
19-19,2078,1816,1,109
20-01,763,1436,0,46
20-03,1044,1490,0,99
20-04,787,1510,1,54
20-05,1195,1593,1,100
20-06A,1202,2002,3,108
20-06B,1079,1413,3,65
20-08,1291,1774,0,104
20-09,792,1184,0,69
20-10,764,1441,0,71
20-11,1106,1554,0,77
20-12,1029,1337,0,58
20-14,1250,2693,0,85
20-15,627,1627,0,40
20-16,543,1424,0,47
20-17,876,1575,0,55
