id,Jessica Holmes,under
01-01,1107,225
01-02,1068,288
01-03,1014,533
01-04,650,302
01-05,556,305
01-06,1593,407
01-07,1266,258
01-07A,149,24
01-09,760,182
01-10,896,338
01-11,969,806
01-12,986,379
01-13,1003,194
01-14,2252,392
01-15,1006,532
01-16,1510,500
01-17,514,319
01-18,1298,569
01-19,942,62
01-20,1528,183
01-21,1899,464
01-22,2286,100
01-23,3097,505
01-25,298,25
01-26,1144,104
01-27,1214,166
01-28,2422,322
01-29,1138,731
01-30,658,379
01-31,1643,250
01-32,1212,324
01-33,895,341
01-34,753,46
01-35,1181,63
01-36,1148,675
01-37,934,458
01-38,1085,365
01-39,1287,414
01-40,2126,149
01-41,1127,264
01-42,1171,907
01-43,1118,344
01-44,1720,652
01-45,810,419
01-46,1261,184
01-47,1001,644
01-48,1321,308
01-49,1382,292
01-50,1743,110
01-51,571,281
02-01,1409,1001
02-02,2223,1944
02-03,1188,1087
02-04,942,858
02-05,450,348
02-06,1020,979
03-00,1940,1214
04-01,1088,459
04-02,1216,518
04-03,962,374
04-04,778,349
04-05,1752,758
04-06,1474,737
04-07,1227,969
04-08,1308,405
04-09,1091,578
04-10,1344,659
04-11,774,250
04-12,1367,670
04-13,2199,1028
04-14,852,430
04-15,1266,505
04-16,1147,432
04-17,988,335
04-18,1294,491
04-19,916,421
04-20,1466,554
04-21,845,225
05-01,1863,826
05-03,1643,916
05-05,3126,1094
05-06,2307,1081
05-07,3033,761
05-08,1566,391
06-04,1731,759
06-05,1257,1075
06-06,2394,1265
06-07,1444,879
06-08,1056,467
06-09,2190,1444
06-10,1171,944
07-01,852,334
07-02,783,423
07-03,780,398
07-04,2073,677
07-05,910,423
07-06,1705,1025
07-07,1734,888
07-07A,286,171
07-09,1562,674
07-10,2411,816
07-11,626,342
07-12,1324,539
07-13,1086,488
08-02,1935,954
08-03,2367,1039
08-04,804,585
08-05,1025,624
08-06,1130,263
08-07,1101,866
08-08,2081,1128
08-09,999,390
08-10,1322,537
08-11,1893,748
09-01,766,652
09-02,1306,619
09-03,1036,897
10-01,376,513
10-02,1371,876
10-03,1102,562
10-04,3186,1550
11-01,2296,834
11-02,2048,990
12-01,1909,1871
12-02,1779,1069
12-04,1387,1500
12-05,2885,2132
12-06,1400,1128
12-07,945,836
12-08,1750,984
12-09,1674,1389
13-01,2177,401
13-02,928,544
13-05,872,239
13-06,1409,701
13-07,1198,331
13-08,1279,239
13-09,2231,479
13-10,2683,1424
13-11,1341,888
14-01,259,293
14-02,2048,2307
15-01,1500,1333
15-02,2094,1511
15-03,1624,1585
15-04,924,735
16-01,1001,599
16-02,2343,422
16-03,648,276
16-04,1188,721
16-05,1012,626
16-06,608,233
16-07,1570,819
16-09,1591,654
16-10,2489,286
16-11,1497,190
17-01,1281,391
17-02,527,298
17-03,3140,938
17-04,2790,1038
17-05,1941,571
17-06,809,565
17-07,2101,258
17-08,3787,1327
17-09,2042,164
17-10,518,231
17-11,2165,480
18-01,2333,436
18-02,1847,1596
18-03,1152,620
18-04,1601,1204
18-05,2313,1463
18-06,2008,607
18-07,1295,1145
18-08,1887,850
19-03,1120,803
19-04,3353,1983
19-05,1118,1138
19-07,1347,872
19-09,1706,1365
19-11,1246,797
19-12,2526,1639
19-13,963,448
19-14,1174,731
19-15,1047,768
19-16,1088,690
19-17,2561,802
19-18,1207,779
19-19,2216,1788
20-01,1579,666
20-03,1704,929
20-04,1670,682
20-05,1761,1128
20-06A,2270,1045
20-06B,1632,928
20-08,2047,1122
20-09,1354,691
20-10,1589,687
20-11,1774,963
20-12,1538,886
20-14,2936,1092
20-15,1769,525
20-16,1547,467
20-17,1778,728
