id,Kim Coley,Susan P. Evans,over,under
01-01,249,1047,0,36
01-02,314,999,2,41
01-03,637,859,0,51
01-04,348,565,1,38
01-05,351,481,0,29
01-06,446,1496,0,58
01-07,292,1189,1,42
01-07A,18,147,1,7
01-09,186,735,0,21
01-10,400,796,0,38
01-11,924,780,0,71
01-12,440,869,1,55
01-13,199,960,0,38
01-14,391,2185,0,68
01-15,607,886,0,45
01-16,589,1370,0,51
01-17,366,440,2,25
01-18,643,1181,1,42
01-19,38,955,0,11
01-20,200,1478,0,33
01-21,554,1749,0,60
01-22,110,2245,0,31
01-23,750,2732,0,120
01-25,18,299,0,6
01-26,81,1144,0,23
01-27,180,1174,0,26
01-28,333,2353,0,58
01-29,817,1000,0,52
01-30,423,570,1,43
01-31,309,1533,1,50
01-32,368,1125,0,43
01-33,385,814,0,37
01-34,38,746,0,15
01-35,38,1181,1,24
01-36,867,911,0,45
01-37,566,794,0,32
01-38,406,1003,0,41
01-39,487,1173,0,41
01-40,130,2120,1,24
01-41,289,1053,0,49
01-42,1047,983,1,47
01-43,412,1018,1,31
01-44,733,1569,0,70
01-45,474,722,0,33
01-46,201,1215,1,28
01-47,763,840,0,42
01-48,337,1255,0,37
01-49,377,1268,0,29
01-50,116,1709,0,28
01-51,333,506,0,13
02-01,1153,1209,0,48
02-02,2157,1900,1,109
02-03,1260,963,2,50
02-04,985,760,1,54
02-05,402,381,0,15
02-06,1124,825,0,50
03-00,1466,1596,1,91
04-01,523,987,1,36
04-02,621,1083,1,29
04-03,438,875,1,22
04-04,397,706,0,24
04-05,871,1580,0,59
04-06,794,1363,0,54
04-07,1124,1030,0,42
04-08,474,1199,0,40
04-09,690,947,1,31
04-10,750,1194,0,59
04-11,284,718,1,21
04-12,783,1212,0,42
04-13,1223,1915,0,89
04-14,482,774,0,26
04-15,554,1169,0,48
04-16,504,1047,1,27
04-17,404,884,0,35
04-18,578,1155,0,52
04-19,477,818,0,42
04-20,630,1339,1,50
04-21,259,794,1,16
05-01,996,1640,0,53
05-03,1051,1462,0,46
05-05,1284,2849,1,86
05-06,1284,2032,0,72
05-07,928,2797,1,68
05-08,489,1416,0,52
06-04,965,1456,0,69
06-05,1261,1004,0,67
06-06,1545,2009,2,103
06-07,1002,1278,0,43
06-08,589,884,1,49
06-09,1705,1821,1,107
06-10,1109,951,1,54
07-01,390,771,0,25
07-02,472,694,0,40
07-03,462,674,0,42
07-04,793,1905,0,52
07-05,503,803,0,27
07-06,1177,1473,1,79
07-07,1013,1533,0,76
07-07A,173,253,0,31
07-09,756,1414,0,66
07-10,948,2194,0,85
07-11,399,547,0,22
07-12,593,1211,1,58
07-13,554,987,1,32
08-02,1089,1731,3,66
08-03,1259,2061,0,86
08-04,672,686,0,31
08-05,721,884,0,44
08-06,328,1039,1,25
08-07,999,916,0,52
08-08,1337,1777,0,95
08-09,458,886,2,43
08-10,645,1167,0,47
08-11,889,1686,3,63
09-01,765,611,1,41
09-02,732,1146,1,46
09-03,1064,843,0,26
10-01,585,286,0,18
10-02,1046,1152,1,48
10-03,712,912,1,39
10-04,1816,2828,0,92
11-01,1005,2037,2,86
11-02,1084,1862,2,90
12-01,2151,1539,0,90
12-02,1285,1494,0,69
12-04,1814,998,1,74
12-05,2546,2349,0,122
12-06,1342,1121,0,65
12-07,960,766,1,54
12-08,1158,1509,0,67
12-09,1682,1310,1,70
13-01,467,2072,0,39
13-02,626,791,0,55
13-05,277,805,1,28
13-06,816,1243,0,51
13-07,428,1081,0,20
13-08,281,1218,0,19
13-09,551,2127,1,31
13-10,1679,2314,0,114
13-11,1052,1119,0,58
14-01,334,198,0,20
14-02,2664,1571,0,120
15-01,1598,1165,0,70
15-02,1803,1703,1,98
15-03,1896,1234,0,79
15-04,881,733,0,45
16-01,726,833,0,41
16-02,456,2259,1,49
16-03,328,577,0,19
16-04,835,1034,0,40
16-05,737,869,0,32
16-06,281,552,0,8
16-07,971,1373,1,44
16-09,797,1406,0,42
16-10,335,2416,0,24
16-11,217,1444,0,26
17-01,458,1185,0,29
17-02,361,441,1,22
17-03,1088,2898,0,92
17-04,1193,2572,0,63
17-05,623,1823,3,63
17-06,669,673,0,32
17-07,313,2010,0,36
17-08,1504,3500,1,109
17-09,153,2023,1,29
17-10,260,469,1,19
17-11,551,2043,2,49
18-01,589,2113,1,66
18-02,1830,1525,0,88
18-03,704,1025,0,43
18-04,1384,1361,1,59
18-05,1739,1973,0,64
18-06,705,1839,0,71
18-07,1329,1056,1,54
18-08,991,1681,2,63
19-03,965,906,0,52
19-04,2377,2854,1,104
19-05,1317,867,0,72
19-07,1026,1127,0,66
19-09,1639,1353,0,79
19-11,929,1045,1,68
19-12,1901,2161,0,103
19-13,527,847,1,36
19-14,873,996,1,35
19-15,873,877,3,62
19-16,813,936,0,29
19-17,970,2342,1,50
19-18,947,985,0,54
19-19,2147,1746,0,111
20-01,792,1413,2,38
20-03,1092,1470,1,70
20-04,833,1472,1,46
20-05,1259,1555,1,74
20-06A,1255,1966,1,93
20-06B,1133,1359,0,68
20-08,1393,1692,3,81
20-09,810,1186,1,48
20-10,814,1407,1,54
20-11,1154,1515,0,68
20-12,1049,1327,2,46
20-14,1323,2638,2,65
20-15,645,1611,0,38
20-16,577,1400,0,37
20-17,909,1550,0,47
