id,David Blackwelder,Greg Ford,over,under
01-01,255,1033,5,39
01-02,326,981,1,48
01-03,637,847,1,62
01-04,345,567,2,38
01-05,353,474,1,33
01-06,444,1470,4,82
01-07,298,1177,2,47
01-07A,26,139,0,8
01-09,183,729,0,30
01-10,402,792,3,37
01-11,911,781,0,83
01-12,442,866,0,57
01-13,194,954,1,48
01-14,409,2155,2,78
01-15,618,878,1,41
01-16,591,1353,1,65
01-17,360,439,2,32
01-18,643,1173,1,50
01-19,46,941,3,14
01-20,186,1480,2,43
01-21,562,1730,0,71
01-22,123,2225,3,35
01-23,767,2691,3,141
01-25,24,288,0,11
01-26,96,1120,1,31
01-27,186,1167,0,27
01-28,358,2307,6,73
01-29,817,980,2,70
01-30,422,567,0,48
01-31,316,1517,3,57
01-32,368,1117,1,50
01-33,373,818,2,43
01-34,43,742,0,14
01-35,40,1173,3,28
01-36,861,906,2,54
01-37,565,787,1,39
01-38,407,1002,1,40
01-39,501,1152,2,46
01-40,142,2082,6,45
01-41,296,1039,1,55
01-42,1033,981,1,63
01-43,417,1011,2,32
01-44,746,1554,1,71
01-45,471,724,0,34
01-46,200,1206,1,38
01-47,748,842,2,53
01-48,337,1239,3,50
01-49,373,1258,1,42
01-50,119,1696,1,37
01-51,344,488,1,19
02-01,1161,1195,1,53
02-02,2161,1884,4,118
02-03,1260,960,0,55
02-04,962,777,1,60
02-05,396,381,1,20
02-06,1109,833,2,55
03-00,1459,1589,5,101
04-01,526,976,0,45
04-02,619,1070,0,45
04-03,449,847,1,39
04-04,391,703,1,32
04-05,876,1557,2,75
04-06,802,1327,2,80
04-07,1115,1013,0,68
04-08,479,1193,2,39
04-09,701,923,0,45
04-10,768,1164,2,69
04-11,290,706,0,28
04-12,782,1203,2,50
04-13,1242,1871,2,112
04-14,478,766,1,37
04-15,561,1151,4,55
04-16,517,1026,0,36
04-17,412,864,2,45
04-18,590,1141,1,53
04-19,493,799,1,44
04-20,642,1315,4,59
04-21,265,786,0,19
05-01,1014,1598,0,77
05-03,1051,1439,4,65
05-05,1295,2828,2,95
05-06,1268,2023,3,94
05-07,945,2753,2,94
05-08,476,1420,1,60
06-04,951,1457,0,82
06-05,1264,983,4,81
06-06,1524,2016,5,114
06-07,1001,1247,2,73
06-08,561,898,1,63
06-09,1689,1811,8,126
06-10,1103,951,0,61
07-01,401,756,0,29
07-02,473,682,0,51
07-03,470,657,0,51
07-04,815,1876,3,56
07-05,507,791,0,35
07-06,1175,1450,4,101
07-07,1016,1509,1,96
07-07A,172,245,0,40
07-09,760,1399,3,74
07-10,942,2178,2,105
07-11,385,549,3,31
07-12,581,1216,0,66
07-13,560,962,3,49
08-02,1076,1726,3,84
08-03,1260,2048,1,97
08-04,671,685,1,32
08-05,723,868,1,57
08-06,324,1035,1,33
08-07,995,920,0,52
08-08,1345,1765,5,94
08-09,463,877,3,46
08-10,652,1153,3,51
08-11,878,1678,6,79
09-01,750,614,1,53
09-02,736,1135,0,54
09-03,1047,846,1,39
10-01,580,286,0,23
10-02,1048,1140,1,58
10-03,710,910,0,44
10-04,1818,2808,5,105
11-01,994,2037,3,96
11-02,1101,1834,1,102
12-01,2134,1535,2,109
12-02,1289,1478,2,79
12-04,1792,1002,2,91
12-05,2549,2323,3,142
12-06,1324,1120,4,80
12-07,966,756,2,57
12-08,1146,1498,0,90
12-09,1655,1321,1,86
13-01,476,2047,3,52
13-02,634,787,0,51
13-05,281,802,0,28
13-06,825,1230,0,55
13-07,424,1068,1,36
13-08,295,1162,2,59
13-09,548,2089,1,72
13-10,1674,2293,4,136
13-11,1045,1108,1,75
14-01,336,195,1,20
14-02,2659,1561,0,135
15-01,1597,1158,0,78
15-02,1820,1669,4,112
15-03,1885,1239,1,84
15-04,863,737,0,59
16-01,723,839,0,38
16-02,478,2214,4,69
16-03,328,569,1,26
16-04,825,1020,0,64
16-05,727,864,1,46
16-06,291,536,0,14
16-07,975,1347,2,65
16-09,781,1397,1,66
16-10,359,2365,3,48
16-11,216,1432,0,39
17-01,448,1179,3,42
17-02,358,438,0,29
17-03,1071,2867,4,136
17-04,1228,2472,6,122
17-05,631,1784,3,94
17-06,676,644,0,54
17-07,333,1949,5,72
17-08,1522,3448,1,143
17-09,160,2004,2,40
17-10,263,460,1,25
17-11,575,2002,3,65
18-01,596,2097,2,74
18-02,1823,1507,3,110
18-03,705,1013,0,54
18-04,1393,1313,3,96
18-05,1716,1954,2,104
18-06,720,1813,4,78
18-07,1330,1033,0,77
18-08,1012,1630,0,95
19-03,981,889,2,51
19-04,2381,2829,1,125
19-05,1311,872,2,71
19-07,1022,1131,2,64
19-09,1622,1355,2,92
19-11,930,1037,1,75
19-12,1921,2132,1,111
19-13,529,834,1,47
19-14,869,991,3,42
19-15,860,896,2,57
19-16,826,904,1,47
19-17,997,2288,4,74
19-18,956,970,1,59
19-19,2150,1735,4,115
20-01,791,1396,1,57
20-03,1096,1431,0,106
20-04,827,1459,1,65
20-05,1264,1519,1,105
20-06A,1243,1947,1,124
20-06B,1127,1353,3,77
20-08,1318,1733,2,116
20-09,816,1157,1,71
20-10,805,1395,0,76
20-11,1134,1506,5,92
20-12,1066,1295,2,61
20-14,1319,2608,4,97
20-15,658,1596,2,38
20-16,562,1405,1,46
20-17,940,1492,1,73
