id,Alex Moore,Vickie Adamson,over,under
01-01,240,1052,0,40
01-02,296,1011,0,49
01-03,609,863,1,74
01-04,343,565,1,43
01-05,344,477,1,39
01-06,428,1489,0,83
01-07,279,1197,0,48
01-07A,22,145,0,6
01-09,185,730,0,27
01-10,396,795,0,43
01-11,900,771,0,104
01-12,418,884,0,63
01-13,184,968,0,45
01-14,378,2188,1,77
01-15,581,894,0,63
01-16,559,1385,1,65
01-17,349,450,0,34
01-18,599,1203,1,64
01-19,32,957,1,14
01-20,176,1499,1,35
01-21,512,1771,1,79
01-22,85,2266,1,34
01-23,695,2759,3,145
01-25,20,297,0,6
01-26,73,1143,0,32
01-27,171,1181,0,28
01-28,311,2368,1,64
01-29,808,989,0,72
01-30,418,573,1,45
01-31,281,1555,0,57
01-32,347,1137,0,52
01-33,369,821,0,46
01-34,32,750,1,16
01-35,34,1187,0,23
01-36,841,917,2,63
01-37,538,806,0,48
01-38,389,1017,0,44
01-39,471,1185,0,45
01-40,108,2133,0,34
01-41,281,1057,1,52
01-42,1017,998,1,62
01-43,399,1025,1,37
01-44,709,1576,2,85
01-45,456,730,1,42
01-46,188,1226,2,29
01-47,746,840,1,58
01-48,309,1261,1,58
01-49,342,1287,0,45
01-50,104,1718,2,29
01-51,329,499,1,23
02-01,1141,1195,1,73
02-02,2107,1919,3,138
02-03,1221,974,2,78
02-04,964,772,0,64
02-05,390,382,0,26
02-06,1093,843,0,63
03-00,1420,1623,1,110
04-01,503,1000,1,43
04-02,588,1096,0,50
04-03,426,867,0,43
04-04,371,714,0,42
04-05,815,1615,1,79
04-06,760,1366,2,83
04-07,1092,1032,0,72
04-08,445,1221,1,46
04-09,671,955,0,43
04-10,720,1210,1,72
04-11,271,726,0,27
04-12,749,1228,1,59
04-13,1176,1924,3,124
04-14,461,780,0,41
04-15,535,1177,0,59
04-16,486,1046,0,47
04-17,379,902,0,42
04-18,555,1167,2,61
04-19,446,839,0,52
04-20,589,1365,0,66
04-21,248,801,0,21
05-01,958,1648,0,83
05-03,1007,1490,0,62
05-05,1236,2890,0,94
05-06,1231,2055,0,102
05-07,887,2816,3,88
05-08,457,1440,0,60
06-04,925,1474,1,90
06-05,1224,1010,1,97
06-06,1462,2073,3,121
06-07,984,1260,0,79
06-08,552,908,0,63
06-09,1656,1852,0,126
06-10,1063,977,1,74
07-01,364,789,1,32
07-02,450,708,1,47
07-03,446,675,1,56
07-04,759,1926,0,65
07-05,482,809,1,41
07-06,1145,1472,0,113
07-07,974,1547,1,100
07-07A,167,246,0,44
07-09,740,1420,0,76
07-10,888,2231,1,107
07-11,390,547,1,30
07-12,561,1237,1,64
07-13,533,996,0,45
08-02,1046,1763,1,79
08-03,1228,2095,1,82
08-04,660,690,1,38
08-05,702,894,0,53
08-06,305,1063,0,25
08-07,975,926,0,66
08-08,1283,1810,3,113
08-09,447,897,1,44
08-10,632,1174,0,53
08-11,835,1726,1,79
09-01,752,618,0,48
09-02,716,1144,0,65
09-03,1033,866,0,34
10-01,574,284,0,31
10-02,1020,1168,0,59
10-03,693,923,0,48
10-04,1770,2856,2,108
11-01,949,2074,3,104
11-02,1069,1871,1,97
12-01,2066,1592,2,120
12-02,1260,1499,0,89
12-04,1745,1042,1,99
12-05,2496,2367,1,153
12-06,1300,1139,0,89
12-07,948,772,0,61
12-08,1108,1529,1,96
12-09,1620,1337,2,104
13-01,435,2095,0,48
13-02,623,792,1,56
13-05,276,805,0,30
13-06,790,1259,1,60
13-07,413,1086,2,28
13-08,270,1223,1,24
13-09,516,2133,0,61
13-10,1623,2327,3,154
13-11,1019,1130,0,80
14-01,328,200,0,24
14-02,2597,1609,1,148
15-01,1571,1173,1,88
15-02,1767,1716,1,121
15-03,1844,1262,1,102
15-04,856,743,1,59
16-01,719,836,0,45
16-02,450,2244,1,70
16-03,307,589,0,28
16-04,815,1023,1,70
16-05,714,878,1,45
16-06,271,553,0,17
16-07,933,1396,0,60
16-09,751,1432,1,61
16-10,313,2429,0,33
16-11,208,1450,0,29
17-01,426,1203,1,42
17-02,355,445,0,25
17-03,1012,2940,0,126
17-04,1162,2578,0,88
17-05,599,1835,3,75
17-06,674,659,1,40
17-07,298,2015,0,46
17-08,1438,3539,0,137
17-09,144,2023,2,37
17-10,253,468,0,28
17-11,538,2045,2,60
18-01,533,2155,1,80
18-02,1773,1545,1,124
18-03,693,1021,0,58
18-04,1342,1368,0,95
18-05,1667,1996,2,111
18-06,665,1868,1,81
18-07,1312,1038,0,90
18-08,950,1686,0,101
19-03,941,914,1,67
19-04,2304,2897,0,135
19-05,1290,880,0,86
19-07,997,1141,0,81
19-09,1596,1369,1,105
19-11,899,1056,0,88
19-12,1888,2136,1,140
19-13,513,845,0,53
19-14,854,1004,0,47
19-15,853,892,4,66
19-16,790,945,0,43
19-17,928,2359,1,75
19-18,897,1022,0,67
19-19,2081,1791,2,130
20-01,765,1422,0,58
20-03,1050,1476,1,106
20-04,776,1506,0,70
20-05,1250,1537,0,102
20-06A,1207,1971,1,136
20-06B,1087,1390,0,83
20-08,1312,1742,1,114
20-09,783,1186,0,76
20-10,778,1404,1,93
20-11,1099,1540,0,98
20-12,1031,1326,1,66
20-14,1286,2650,0,92
20-15,623,1631,0,40
20-16,536,1427,2,49
20-17,880,1559,0,67
