id,Roxie Cash,Shaun Pollenz,over,under
01-42,1105,631,2,328
01-43,629,573,1,240
01-44,1033,946,6,364
01-45,565,462,1,191
01-47,924,483,1,227
02-01,1150,867,1,379
02-02,1959,1423,6,751
02-03,1159,719,1,373
02-04,888,588,0,312
02-05,356,282,1,154
02-06,1136,566,2,286
07-05,653,470,2,196
07-13,702,593,0,267
13-02,670,556,1,230
13-05,426,494,1,178
13-06,1011,813,3,264
13-07,595,695,6,215
13-08,598,696,3,204
13-09,948,1375,3,365
13-10,1522,2025,4,523
13-11,1023,817,2,369
14-01,222,165,1,158
14-02,2102,1338,0,874
19-13,526,615,0,256
19-14,826,747,0,307
19-15,476,424,1,229
