id,Christine Kushner,over,under
01-01,958,0,342
01-02,907,0,428
01-03,947,1,569
01-04,598,1,329
01-05,540,0,310
01-06,1341,0,633
01-07,996,1,500
01-07A,110,1,61
01-09,699,0,228
01-10,835,0,381
01-11,988,0,741
01-12,921,1,425
01-15,924,1,577
01-16,1329,0,651
01-17,480,0,321
01-18,1167,0,646
01-29,1126,0,681
01-30,625,0,380
01-33,826,1,383
01-36,1108,0,680
01-37,890,0,471
01-38,975,0,435
01-39,1141,2,519
01-46,1043,1,364
01-51,522,0,304
07-01,729,2,433
07-03,757,0,385
07-04,1856,1,837
07-09,1408,0,783
07-11,595,0,355
11-01,1992,1,1062
11-02,1844,0,1131
13-01,1792,3,711
