id,Bob Melone,John M. Crowe,Lindsay Mahaffey,over,under
03-00,850,108,1699,5,480
06-04,593,125,1316,4,435
06-05,834,90,965,3,417
06-06,1140,127,1835,3,536
06-08,329,84,805,3,290
06-09,1386,103,1609,7,507
06-10,756,103,907,3,339
12-09,1021,192,1260,1,560
18-05,1131,131,1903,2,582
20-01,542,92,1309,4,283
20-03,644,107,1449,0,407
20-05,885,102,1370,2,515
20-06A,775,105,1865,3,548
20-06B,738,91,1346,2,364
20-08,844,104,1647,5,547
20-09,463,71,1171,3,330
20-11,793,95,1433,6,401
20-12,667,96,1261,6,383
20-14,1103,142,2285,10,473
20-15,363,67,1205,5,312
20-16,217,63,801,2,197
20-17,628,105,1332,3,427
