id,Donnie Harrison,Gerald M. Baker,over,under
01-01,327,982,0,23
01-02,442,875,1,38
01-03,847,673,1,26
01-04,446,481,0,25
01-05,475,372,0,14
01-06,610,1349,1,40
01-07,395,1085,0,44
01-07A,26,141,0,6
01-09,272,652,1,17
01-10,544,666,0,24
01-11,1166,565,1,43
01-12,591,742,0,32
01-13,284,890,0,23
01-14,534,2055,1,54
01-15,772,740,0,26
01-16,815,1160,1,34
01-17,447,363,1,22
01-18,822,1020,1,24
01-19,56,933,0,15
01-20,237,1444,0,30
01-21,694,1618,1,50
01-22,210,2159,0,17
01-23,777,2717,2,106
01-25,24,295,0,4
01-26,130,1096,0,22
01-27,262,1096,1,21
01-28,458,2246,2,38
01-29,1075,761,2,31
01-30,567,450,0,20
01-31,353,1495,1,44
01-32,478,1037,2,19
01-33,543,665,1,27
01-34,63,725,0,11
01-35,74,1156,0,14
01-36,987,803,1,32
01-37,731,639,1,21
01-38,521,896,2,31
01-39,640,1034,0,27
01-40,194,2056,0,25
01-41,401,957,1,32
01-42,1229,816,2,31
01-43,517,924,0,21
01-44,945,1380,0,47
01-45,597,610,1,21
01-46,254,1171,1,19
01-47,937,679,0,29
01-48,474,1124,0,31
01-49,422,1227,1,24
01-50,169,1666,1,17
01-51,444,394,0,14
02-01,1403,964,0,43
02-02,2510,1577,2,78
02-03,1498,744,3,30
02-04,1140,627,0,33
02-05,478,305,1,14
02-06,1295,663,1,40
03-00,1681,1413,1,59
04-01,680,830,3,34
04-02,783,924,0,27
04-03,542,777,2,15
04-04,476,637,0,14
04-05,1119,1345,1,45
04-06,1058,1110,0,43
04-07,1333,813,0,50
04-08,570,1116,1,26
04-09,794,843,0,32
04-10,910,1050,0,43
04-11,356,646,0,22
04-12,969,1036,0,32
04-13,1482,1669,1,75
04-14,602,663,0,17
04-15,692,1042,0,37
04-16,627,926,0,26
04-17,514,782,2,25
04-18,728,1019,0,38
04-19,603,711,0,23
04-20,796,1179,0,45
04-21,309,748,0,13
05-01,1157,1489,1,42
05-03,1190,1324,0,45
05-05,1415,2732,0,73
05-06,1464,1862,1,61
05-07,1048,2664,2,80
05-08,562,1355,1,39
06-04,1100,1329,2,59
06-05,1474,813,0,45
06-06,1750,1826,0,83
06-07,1150,1132,0,41
06-08,680,799,0,44
06-09,1941,1617,2,74
06-10,1221,867,0,27
07-01,481,684,0,21
07-02,586,590,1,29
07-03,617,538,0,23
07-04,1037,1674,2,37
07-05,628,683,0,22
07-06,1512,1167,0,51
07-07,1261,1317,1,43
07-07A,259,183,0,15
07-09,932,1259,2,43
07-10,1161,1997,0,69
07-11,505,452,1,10
07-12,757,1068,1,37
07-13,699,851,2,22
08-02,1399,1441,1,48
08-03,1471,1865,0,70
08-04,797,565,1,26
08-05,892,732,0,25
08-06,377,993,0,23
08-07,1181,748,1,37
08-08,1614,1528,3,64
08-09,571,796,0,22
08-10,785,1057,0,17
08-11,1050,1537,0,54
09-01,861,532,2,23
09-02,863,1039,1,22
09-03,1203,709,2,19
10-01,650,233,0,6
10-02,1199,1021,0,27
10-03,828,815,0,21
10-04,2160,2523,3,50
11-01,1211,1849,1,69
11-02,1407,1570,2,59
12-01,2429,1288,0,63
12-02,1449,1350,4,45
12-04,2020,817,0,50
12-05,2901,2031,0,85
12-06,1553,933,0,42
12-07,1138,626,0,17
12-08,1328,1362,1,43
12-09,1903,1090,1,69
13-01,537,2012,1,28
13-02,749,694,1,28
13-05,325,773,0,13
13-06,976,1091,1,42
13-07,516,993,1,19
13-08,329,1171,0,18
13-09,655,2013,1,41
13-10,1986,2041,0,80
13-11,1258,927,1,43
14-01,379,163,0,10
14-02,2951,1319,2,83
15-01,1868,933,0,32
15-02,2175,1377,2,51
15-03,2195,971,3,40
15-04,1086,548,2,23
16-01,870,709,2,19
16-02,631,2110,0,24
16-03,413,501,0,10
16-04,1096,796,1,16
16-05,909,704,2,23
16-06,372,460,0,9
16-07,1276,1082,4,27
16-09,1004,1205,1,35
16-10,454,2294,0,27
16-11,263,1411,2,11
17-01,539,1114,0,19
17-02,422,394,0,9
17-03,1301,2711,2,64
17-04,1458,2328,0,42
17-05,740,1723,2,47
17-06,778,578,1,17
17-07,420,1906,1,32
17-08,1848,3199,3,64
17-09,211,1969,1,25
17-10,315,425,0,9
17-11,693,1918,0,34
18-01,700,2010,3,56
18-02,2149,1225,3,66
18-03,878,858,0,36
18-04,1694,1075,2,34
18-05,2046,1672,1,57
18-06,847,1709,2,57
18-07,1602,805,0,33
18-08,1190,1486,2,59
19-03,1085,799,1,38
19-04,2697,2569,2,68
19-05,1461,740,0,55
19-07,1093,1067,0,59
19-09,1848,1177,0,46
19-11,1082,909,1,51
19-12,2149,1924,0,92
19-13,604,774,0,33
19-14,962,915,0,28
19-15,992,792,2,29
19-16,935,829,0,14
19-17,1140,2168,2,53
19-18,1061,886,1,38
19-19,2380,1544,3,77
20-01,928,1284,0,33
20-03,1330,1238,2,63
20-04,973,1339,0,40
20-05,1493,1316,1,79
20-06A,1467,1759,1,88
20-06B,1325,1190,1,44
20-08,1593,1502,0,74
20-09,1007,991,3,44
20-10,974,1252,0,50
20-11,1356,1328,2,51
20-12,1216,1162,1,45
20-14,1535,2428,0,65
20-15,732,1527,1,34
20-16,626,1348,0,40
20-17,1039,1416,1,50
