id,Blair Williams,Jennifer Knox,over,under
01-01,1009,294,0,29
01-02,931,387,0,38
01-03,738,773,0,36
01-04,489,431,0,32
01-05,409,426,0,26
01-06,1390,540,0,70
01-07,1100,377,1,46
01-07A,146,21,0,6
01-09,679,239,0,24
01-10,718,487,0,29
01-11,695,1022,0,58
01-12,814,513,0,38
01-13,906,248,0,43
01-14,2082,496,0,66
01-15,856,644,0,38
01-16,1285,660,0,65
01-17,399,402,0,32
01-18,1089,738,1,39
01-19,944,38,0,22
01-20,1430,246,0,35
01-21,1661,627,1,74
01-22,2225,133,0,28
01-23,2670,815,0,117
01-25,294,25,0,4
01-26,1101,110,1,36
01-27,1111,240,0,29
01-28,2274,412,0,58
01-29,873,946,0,50
01-30,535,470,0,32
01-31,1475,362,2,54
01-32,1076,422,0,38
01-33,748,456,0,32
01-34,741,44,0,14
01-35,1172,44,1,27
01-36,804,971,0,48
01-37,739,623,0,30
01-38,959,451,2,38
01-39,1118,542,1,40
01-40,2109,139,0,27
01-41,1010,332,0,49
01-42,911,1116,1,50
01-43,973,458,1,30
01-44,1510,788,0,74
01-45,696,501,0,32
01-46,1217,208,0,20
01-47,770,829,1,45
01-48,1208,387,0,34
01-49,1232,406,0,36
01-50,1712,118,0,23
01-51,467,368,0,17
02-01,1115,1232,0,63
02-02,1782,2275,1,109
02-03,890,1326,1,58
02-04,713,1032,0,55
02-05,365,414,0,19
02-06,779,1171,1,48
03-00,1507,1547,1,99
04-01,941,569,1,36
04-02,1044,653,0,37
04-03,823,485,0,28
04-04,698,404,1,24
04-05,1472,970,0,68
04-06,1278,860,0,73
04-07,953,1185,0,58
04-08,1152,523,0,38
04-09,890,739,0,40
04-10,1121,828,0,54
04-11,680,316,0,28
04-12,1143,850,0,44
04-13,1792,1340,0,95
04-14,732,522,0,28
04-15,1103,615,0,53
04-16,990,556,1,32
04-17,834,455,1,33
04-18,1087,637,0,61
04-19,776,525,0,36
04-20,1255,708,0,57
04-21,773,280,0,17
05-01,1560,1066,1,62
05-03,1385,1108,0,66
05-05,2769,1370,0,81
05-06,1973,1344,0,71
05-07,2698,1007,1,88
05-08,1388,517,0,52
06-04,1408,1014,0,68
06-05,925,1331,1,75
06-06,1918,1640,1,100
06-07,1217,1034,1,71
06-08,852,617,0,54
06-09,1692,1833,0,109
06-10,919,1147,1,48
07-01,744,419,0,23
07-02,651,518,0,37
07-03,619,520,0,39
07-04,1798,899,1,52
07-05,753,548,0,32
07-06,1352,1291,1,86
07-07,1442,1110,2,68
07-07A,233,197,0,27
07-09,1305,873,0,58
07-10,2084,1057,0,86
07-11,522,424,0,22
07-12,1154,651,1,57
07-13,934,596,0,44
08-02,1624,1181,0,84
08-03,1975,1356,0,75
08-04,636,719,0,34
08-05,818,794,0,37
08-06,1012,351,0,30
08-07,857,1058,0,52
08-08,1686,1430,0,93
08-09,835,511,2,41
08-10,1107,705,0,47
08-11,1621,946,1,73
09-01,604,764,0,50
09-02,1113,771,1,40
09-03,820,1084,0,29
10-01,279,592,0,18
10-02,1113,1080,0,54
10-03,876,749,1,38
10-04,2743,1908,0,85
11-01,1925,1123,1,81
11-02,1742,1210,2,84
12-01,1462,2215,0,103
12-02,1423,1351,3,71
12-04,957,1858,0,72
12-05,2249,2626,0,142
12-06,1056,1392,0,80
12-07,728,1018,0,35
12-08,1460,1204,1,69
12-09,1225,1747,2,89
13-01,2043,495,1,39
13-02,747,681,0,44
13-05,793,292,1,25
13-06,1177,872,1,60
13-07,1062,444,0,23
13-08,1202,295,0,21
13-09,2083,578,0,49
13-10,2215,1799,1,92
13-11,1033,1149,0,47
14-01,188,350,0,14
14-02,1480,2755,0,120
15-01,1116,1653,1,63
15-02,1588,1917,2,98
15-03,1164,1961,0,84
15-04,706,912,0,41
16-01,811,757,1,31
16-02,2208,497,1,59
16-03,557,345,0,22
16-04,961,906,0,42
16-05,831,764,1,42
16-06,521,309,0,11
16-07,1286,1055,0,48
16-09,1356,848,1,40
16-10,2380,362,0,33
16-11,1426,237,0,24
17-01,1177,467,0,28
17-02,427,380,0,18
17-03,2815,1165,0,98
17-04,2474,1280,0,74
17-05,1793,655,2,62
17-06,654,685,0,35
17-07,1971,351,0,37
17-08,3400,1598,2,114
17-09,1995,180,1,30
17-10,461,271,0,17
17-11,2000,598,0,47
18-01,2054,646,1,68
18-02,1413,1938,0,92
18-03,959,763,0,50
18-04,1264,1454,1,86
18-05,1862,1829,1,84
18-06,1749,789,0,77
18-07,970,1402,0,68
18-08,1592,1067,0,78
19-03,850,1021,1,51
19-04,2794,2447,1,94
19-05,812,1381,0,63
19-07,1080,1073,0,66
19-09,1296,1681,1,93
19-11,997,981,0,65
19-12,2086,1976,0,103
19-13,822,552,1,36
19-14,951,917,0,37
19-15,853,913,3,46
19-16,924,830,0,24
19-17,2267,1040,0,56
19-18,955,976,0,55
19-19,1668,2237,0,99
20-01,1353,844,2,46
20-03,1357,1195,0,81
20-04,1385,907,1,59
20-05,1456,1348,1,84
20-06A,1850,1350,0,115
20-06B,1292,1196,0,72
20-08,1633,1428,0,108
20-09,1110,877,0,58
20-10,1335,874,0,67
20-11,1415,1240,1,81
20-12,1242,1126,0,56
20-14,2509,1424,0,95
20-15,1568,684,0,42
20-16,1347,625,0,42
20-17,1461,988,0,57
