id,No,Yes,over,under
01-01,261,1030,2,39
01-02,276,1042,1,37
01-03,432,1061,5,49
01-04,252,667,1,32
01-05,242,609,0,10
01-06,464,1444,2,90
01-07,303,1165,4,52
01-07A,46,113,0,14
01-09,168,753,0,21
01-10,284,926,0,24
01-11,503,1214,5,53
01-12,328,1004,2,31
01-13,222,951,2,22
01-14,470,2129,2,43
01-15,508,965,1,64
01-16,532,1425,5,48
01-17,240,552,1,40
01-18,646,1159,3,59
01-19,170,805,1,28
01-20,346,1319,0,46
01-21,606,1685,5,67
01-22,473,1861,2,50
01-23,718,2673,7,204
01-25,57,258,1,7
01-26,246,964,1,37
01-27,258,1088,5,29
01-28,624,2066,5,49
01-29,575,1236,5,53
01-30,317,679,1,40
01-31,400,1409,5,79
01-32,435,1043,1,57
01-33,284,917,3,32
01-34,167,616,1,15
01-35,248,966,6,24
01-36,534,1212,2,75
01-37,425,934,4,29
01-38,465,946,2,37
01-39,532,1115,4,50
01-40,505,1727,2,41
01-41,304,1044,2,41
01-42,843,1184,2,49
01-43,473,935,4,50
01-44,785,1521,6,60
01-45,462,744,1,22
01-46,371,1039,1,34
01-47,623,966,3,53
01-48,405,1180,5,39
01-49,420,1197,0,57
01-50,386,1422,4,41
01-51,306,523,1,22
02-01,834,1520,0,56
02-02,1625,2434,5,103
02-03,909,1311,2,53
02-04,704,1030,1,65
02-05,289,489,0,20
02-06,768,1171,2,58
03-00,1006,2073,2,73
04-01,438,1026,3,80
04-02,540,1146,3,45
04-03,407,887,4,38
04-04,380,712,0,35
04-05,735,1700,3,72
04-06,699,1443,3,66
04-07,709,1385,3,99
04-08,423,1218,4,68
04-09,540,1076,1,52
04-10,636,1304,1,62
04-11,313,673,0,38
04-12,640,1320,4,73
04-13,941,2178,5,103
04-14,427,809,3,43
04-15,525,1194,2,50
04-16,490,1047,1,41
04-17,374,916,3,30
04-18,460,1261,4,60
04-19,388,916,0,33
04-20,595,1365,4,56
04-21,287,747,1,35
05-01,803,1791,5,90
05-03,778,1676,2,103
05-05,1220,2842,6,152
05-06,989,2290,5,104
05-07,930,2724,4,136
05-08,496,1392,5,64
06-04,841,1572,5,72
06-05,943,1316,7,66
06-06,1138,2420,4,97
06-07,835,1402,2,84
06-08,548,936,0,39
06-09,1245,2283,3,103
06-10,888,1163,3,61
07-01,354,801,3,28
07-02,379,785,0,42
07-03,360,783,4,31
07-04,849,1824,5,72
07-05,443,864,0,26
07-06,915,1755,1,59
07-07,854,1690,5,73
07-07A,108,320,1,28
07-09,699,1478,1,58
07-10,929,2183,2,113
07-11,351,590,0,27
07-12,536,1273,2,52
07-13,561,982,0,31
08-02,1001,1820,3,65
08-03,1169,2133,1,103
08-04,539,812,3,35
08-05,582,1022,2,43
08-06,378,965,1,49
08-07,713,1191,2,61
08-08,1062,2052,4,91
08-09,453,894,1,41
08-10,569,1232,3,55
08-11,844,1710,5,82
09-01,655,686,0,77
09-02,865,1016,0,44
09-03,959,937,2,35
10-01,519,340,0,30
10-02,960,1202,2,83
10-03,637,954,2,71
10-04,1858,2730,6,142
11-01,863,2166,3,98
11-02,931,2008,6,93
12-01,1404,2253,4,119
12-02,986,1762,3,97
12-04,1223,1566,4,94
12-05,1752,3110,9,146
12-06,860,1572,3,93
12-07,770,947,4,60
12-08,965,1676,1,92
12-09,1163,1790,3,107
13-01,758,1730,3,87
13-02,529,908,1,34
13-05,344,737,0,30
13-06,697,1355,2,56
13-07,529,947,2,51
13-08,472,1007,1,38
13-09,809,1816,5,80
13-10,1243,2726,7,131
13-11,830,1338,2,59
14-01,251,272,0,29
14-02,1756,2426,5,168
15-01,1164,1559,5,105
15-02,1434,2049,8,114
15-03,1389,1719,1,100
15-04,700,899,1,59
16-01,627,903,1,69
16-02,826,1858,3,78
16-03,351,553,3,17
16-04,692,1160,1,56
16-05,638,945,2,53
16-06,280,539,1,21
16-07,900,1435,0,54
16-09,801,1383,3,58
16-10,753,1958,7,57
16-11,455,1196,3,33
17-01,562,1070,2,38
17-02,357,449,0,19
17-03,1258,2695,3,122
17-04,1417,2296,6,109
17-05,841,1611,1,59
17-06,605,722,0,47
17-07,695,1616,4,44
17-08,1634,3314,7,159
17-09,594,1557,4,51
17-10,296,428,1,24
17-11,823,1745,4,73
18-01,652,2015,6,96
18-02,1289,2050,5,99
18-03,542,1170,1,59
18-04,1116,1602,3,84
18-05,1178,2481,10,107
18-06,688,1834,1,92
18-07,993,1380,3,64
18-08,790,1861,2,84
19-03,716,1111,5,91
19-04,1855,3292,6,183
19-05,956,1218,6,76
19-07,778,1350,5,86
19-09,1358,1611,3,99
19-11,696,1258,4,85
19-12,1425,2584,4,152
19-13,449,912,2,48
19-14,632,1194,3,76
19-15,650,1094,1,70
19-16,688,1046,1,43
19-17,1105,2161,1,96
19-18,752,1167,7,60
19-19,1471,2392,7,134
20-01,700,1484,4,57
20-03,819,1728,4,82
20-04,656,1625,4,67
20-05,948,1841,5,95
20-06A,979,2232,2,102
20-06B,771,1715,1,73
20-08,979,2098,6,86
20-09,600,1386,4,55
20-10,611,1591,3,71
20-11,812,1844,4,77
20-12,830,1522,1,71
20-14,1186,2747,6,89
20-15,576,1645,3,70
20-16,538,1412,1,63
20-17,740,1680,4,82
