id,David P. Adams,Ian McMillan,Jennifer (Jenna) Austin Wadsworth,Jonathan Garza,Nervahna Crew,over,under
01-01,113,278,777,124,563,0,778
01-02,135,360,758,146,429,4,863
01-03,262,405,611,256,232,0,1310
01-04,144,248,410,135,192,0,761
01-05,159,230,329,153,153,0,690
01-06,196,569,1095,228,556,2,1316
01-07,99,531,710,138,375,0,1171
01-07A,28,30,87,21,67,2,109
01-09,83,215,567,56,404,0,546
01-10,187,341,637,157,314,2,818
01-11,406,447,633,337,231,2,1461
01-12,175,313,680,151,355,0,1037
01-13,97,349,633,127,344,2,822
01-14,185,713,1542,212,986,2,1620
01-15,287,342,642,262,340,2,1174
01-16,328,532,979,303,575,2,1289
01-17,156,223,344,131,166,2,635
01-18,340,377,812,362,514,6,1305
01-19,99,150,549,107,518,0,574
01-20,116,317,855,178,652,0,1273
01-21,269,437,1256,336,822,0,1582
01-22,194,286,1293,209,1366,10,1391
01-23,260,810,1855,430,1260,6,2533
01-25,24,57,166,30,126,0,239
01-26,90,229,628,118,549,2,863
01-27,92,366,775,125,484,0,903
01-28,223,590,1458,273,1133,10,1771
01-29,430,407,784,376,404,6,1301
01-30,172,246,429,167,263,4,790
01-31,154,417,983,209,644,2,1342
01-32,187,358,784,222,471,2,1031
01-33,169,333,615,148,315,2,871
01-34,66,137,412,83,369,0,525
01-35,127,164,625,109,616,6,827
01-36,364,390,723,320,353,4,1470
01-37,230,340,612,214,340,4,1029
01-38,218,313,707,230,495,2,916
01-39,233,428,820,257,522,8,1124
01-40,191,307,1242,217,1200,6,1374
01-41,133,338,721,165,494,4,894
01-42,547,417,739,595,413,8,1419
01-43,219,340,719,214,433,2,986
01-44,391,523,1136,405,695,6,1563
01-45,241,293,539,241,295,2,832
01-46,165,189,752,198,652,2,916
01-47,437,351,623,439,295,2,1123
01-48,192,412,892,196,547,2,993
01-49,158,288,922,261,639,4,1056
01-50,173,233,963,168,1006,2,1141
01-51,161,206,369,149,209,4,598
02-01,643,503,935,645,503,6,1569
02-02,1177,826,1459,1222,779,8,2815
02-03,611,518,826,609,371,4,1580
02-04,451,369,642,456,330,4,1334
02-05,176,188,325,198,160,0,540
02-06,677,409,649,699,342,2,1208
03-00,662,566,1323,733,750,6,2240
04-01,220,358,760,224,386,2,1121
04-02,304,472,875,274,439,4,1080
04-03,202,272,732,222,412,0,813
04-04,174,247,553,197,270,2,800
04-05,442,581,1272,435,641,2,1626
04-06,400,495,1088,393,509,4,1511
04-07,635,451,868,611,397,2,1402
04-08,207,360,943,223,551,2,1126
04-09,299,329,763,320,366,4,1232
04-10,363,432,999,390,476,0,1318
04-11,138,247,539,156,292,0,664
04-12,425,456,979,435,481,2,1271
04-13,583,722,1506,582,751,6,2268
04-14,270,291,610,258,296,4,823
04-15,304,391,886,318,479,0,1146
04-16,230,347,854,223,479,2,1012
04-17,186,296,690,213,395,2,847
04-18,274,393,932,298,460,2,1204
04-19,213,293,654,237,346,8,911
04-20,299,448,1056,311,523,0,1382
04-21,138,238,560,160,329,2,696
05-01,439,580,1263,437,677,6,1946
05-03,487,487,1135,496,615,8,1855
05-05,590,786,2071,652,1332,0,2960
05-06,635,644,1584,709,790,10,2352
05-07,534,749,2015,594,1239,22,2392
05-08,270,382,970,292,573,0,1394
06-04,360,484,1058,465,616,4,1974
06-05,639,412,852,674,409,2,1657
06-06,714,649,1631,817,942,2,2524
06-07,559,416,1002,584,569,6,1487
06-08,218,288,651,285,383,2,1201
06-09,668,685,1519,804,805,6,2723
06-10,531,344,841,540,457,10,1498
07-01,181,275,589,197,348,0,764
07-02,232,266,482,227,270,0,906
07-03,195,286,541,180,293,4,845
07-04,395,671,1368,452,765,6,1813
07-05,271,262,591,260,359,0,906
07-06,508,674,1111,498,580,8,2062
07-07,526,605,1095,578,567,6,1838
07-07A,78,130,143,57,40,0,465
07-09,388,563,1043,405,614,2,1431
07-10,489,744,1563,554,930,2,2140
07-11,224,236,431,230,232,4,569
07-12,288,441,832,309,534,4,1303
07-13,316,346,639,345,402,4,1078
08-02,558,720,1255,589,709,6,1903
08-03,604,768,1496,713,823,4,2361
08-04,280,335,523,313,256,4,1055
08-05,322,391,684,336,342,0,1197
08-06,143,316,720,217,479,2,896
08-07,438,472,753,443,346,6,1447
08-08,642,691,1326,696,634,2,2394
08-09,186,329,636,211,359,2,1035
08-10,335,380,797,381,488,0,1316
08-11,346,617,1146,439,651,10,2046
09-01,323,253,486,261,215,0,1286
09-02,418,300,820,416,498,2,1386
09-03,606,297,704,586,376,2,1280
10-01,239,146,268,298,104,2,713
10-02,517,392,831,564,495,6,1677
10-03,375,272,711,387,428,4,1136
10-04,900,793,1891,1054,1291,10,3486
11-01,495,689,1580,530,845,0,2095
11-02,571,756,1321,560,716,8,2113
12-01,1094,712,1383,1049,667,8,2604
12-02,579,489,1245,673,673,4,1997
12-04,901,541,1017,862,402,6,2017
12-05,1102,1009,2033,1215,965,2,3659
12-06,613,479,1023,597,461,0,1860
