id,Jim O'Neill,Josh Stein,over,under
01-01,354,1303,0,34
01-02,383,1308,0,38
01-03,703,1121,1,31
01-04,416,735,0,13
01-05,469,641,0,25
01-06,656,1932,1,58
01-07,541,1775,0,56
01-07A,34,196,0,13
01-09,244,856,1,20
01-10,410,985,0,20
01-11,1166,1214,0,48
01-12,580,1163,0,33
01-13,239,1191,1,21
01-14,528,2791,0,59
01-15,821,1245,0,60
01-16,784,1844,0,56
01-17,454,544,0,22
01-18,785,1574,1,47
01-19,90,1348,0,24
01-20,272,2023,2,34
01-21,855,2671,1,83
01-22,196,3114,0,36
01-23,659,2640,0,101
01-25,40,458,0,13
01-26,129,1576,0,34
01-27,326,1635,0,39
01-28,551,3210,1,72
01-29,905,1390,0,28
01-30,486,744,0,25
01-31,496,2339,0,83
01-32,550,1726,0,48
01-33,497,1132,2,36
01-34,65,1137,1,20
01-35,94,1656,1,28
01-36,1050,1397,0,53
01-37,706,1012,0,41
01-38,520,1394,1,50
01-39,669,1631,1,67
01-40,264,3067,1,43
01-41,388,1488,0,57
01-42,1191,1348,0,44
01-43,631,1417,1,50
01-44,905,2212,0,80
01-45,554,965,0,34
01-46,355,1909,0,51
01-47,875,1134,0,43
01-48,426,1533,0,32
01-49,599,2120,0,67
01-50,186,2357,0,45
01-51,387,616,0,17
02-01,1373,1563,1,62
02-02,2847,2618,2,98
02-03,1483,1290,0,60
02-04,1190,1074,0,34
02-05,470,512,0,20
02-06,1337,1112,2,47
03-00,2677,3130,1,167
04-01,638,1339,2,46
04-02,761,1528,1,44
04-03,556,1274,0,37
04-04,465,997,0,34
04-05,1162,2191,0,71
04-06,942,1765,2,68
04-07,1260,1329,1,45
04-08,636,1583,0,69
04-09,912,1384,0,53
04-10,926,1643,1,62
04-11,394,997,0,29
04-12,937,1628,0,69
04-13,1503,2737,0,113
04-14,578,979,0,39
04-15,780,1545,0,43
04-16,571,1329,0,44
04-17,508,1138,0,42
04-18,864,1740,0,62
04-19,573,1056,0,43
04-20,841,1928,1,74
04-21,421,1159,1,39
05-01,1363,2383,0,93
05-03,1418,2340,0,77
05-05,2011,4489,0,152
05-06,1699,2914,1,113
05-07,1835,4541,3,174
05-08,861,2521,1,74
06-04,1514,2220,0,82
06-05,1617,1329,0,64
06-06,2592,3287,0,157
06-07,1326,1796,0,83
06-08,788,1238,1,54
06-09,3316,3370,0,218
06-10,1846,1698,0,106
07-01,469,1065,0,27
07-02,565,960,1,37
07-03,552,949,0,23
07-04,1058,2652,1,88
07-05,583,1106,0,32
07-06,1352,1971,1,85
07-07,1259,2078,0,69
07-07A,173,323,0,32
07-09,989,1973,0,68
07-10,1457,3213,2,101
07-11,420,661,0,24
07-12,707,1753,0,70
07-13,708,1330,0,43
08-02,1353,2338,1,93
08-03,1778,3171,0,120
08-04,772,874,0,31
08-05,834,1130,0,35
08-06,466,1500,0,48
08-07,1169,1232,0,49
08-08,1662,2351,1,100
08-09,637,1135,0,57
08-10,894,1696,0,56
08-11,1290,2373,0,92
09-01,1132,946,0,46
09-02,1052,1879,0,55
09-03,1649,1713,1,61
10-01,709,438,0,24
10-02,1498,1946,2,63
10-03,971,1408,0,40
10-04,2868,4527,1,141
11-01,1597,3381,4,139
11-02,1391,2768,0,94
12-01,3193,2553,2,135
12-02,2015,2366,1,103
12-04,2756,1714,0,88
12-05,3663,3500,3,182
12-06,1978,1853,0,85
12-07,1458,1244,0,50
12-08,1858,2393,2,127
12-09,2469,2255,2,134
13-01,975,3563,3,105
13-02,764,1124,0,48
13-05,470,1438,0,42
13-06,1036,1745,0,61
13-07,571,1563,2,42
13-08,504,2048,0,59
13-09,886,3019,0,79
13-10,2180,3237,4,131
13-11,1282,1620,0,61
14-01,453,293,0,17
14-02,3922,2581,1,122
15-01,2163,1671,1,75
15-02,2509,2684,0,102
15-03,2652,1896,1,83
15-04,1125,1030,1,32
16-01,1131,1467,0,66
16-02,730,3379,1,82
16-03,454,870,0,25
16-04,1021,1433,0,48
16-05,943,1278,0,38
16-06,371,787,0,33
16-07,1187,1823,0,54
16-09,1378,2447,3,95
16-10,539,3640,0,59
16-11,471,2430,0,36
17-01,598,1657,1,41
17-02,602,865,0,24
17-03,1549,4099,1,113
17-04,1824,4152,0,128
17-05,851,2575,1,75
17-06,882,1132,1,51
17-07,476,2727,1,38
17-09,330,2965,1,43
17-10,356,735,0,21
17-11,932,2946,2,86
17-12,726,2280,1,62
17-13,1510,3141,2,89
18-01,867,3163,0,91
18-02,2346,2126,0,109
18-03,855,1330,0,56
18-04,1799,1991,0,81
18-05,2003,2693,0,103
18-06,1020,2556,2,99
18-07,1730,1487,2,65
18-08,1393,2456,1,114
19-03,1383,1414,3,83
19-05,1737,1318,0,69
19-07,2000,2022,0,100
19-09,2308,2029,0,107
19-11,1357,1693,0,81
19-12,2968,3365,2,176
19-13,756,1224,1,54
19-14,1201,1566,1,63
19-15,1284,1432,2,57
19-16,1058,1393,1,48
19-17,1472,3349,1,99
19-18,1367,1617,1,73
19-19,3136,2897,0,133
19-20,1532,1706,1,59
19-21,1854,2764,2,96
20-01,1241,2083,0,81
20-03,1626,2290,0,107
20-04,1151,2126,0,86
20-05,1664,2214,0,86
20-06A,1692,2849,2,127
20-06B,1394,1936,0,84
20-08,1814,2601,0,133
20-09,1033,1524,0,51
20-10,1008,1927,1,89
20-11,1957,2825,0,139
20-12,1939,2963,2,125
20-14,2084,4089,0,144
20-15,1113,2810,0,113
20-16,1066,2616,0,116
20-17,1441,2597,2,102
