id,Fred Gore,Lora Christine Cubbage,over,under
01-01,350,1279,0,64
01-02,407,1234,0,88
01-03,807,953,1,95
01-04,452,651,0,62
01-05,498,562,0,76
01-06,690,1857,0,100
01-07,572,1709,2,89
01-07A,41,185,0,17
01-09,248,822,0,48
01-10,460,900,0,55
01-11,1251,1045,0,132
01-12,626,1072,0,81
01-13,264,1150,0,39
01-14,563,2707,2,106
01-15,871,1148,2,105
01-16,837,1729,0,118
01-17,472,503,0,45
01-18,828,1487,2,90
01-19,83,1346,0,33
01-20,293,1974,1,63
01-21,875,2597,1,137
01-22,203,3083,1,59
01-23,699,2531,0,170
01-25,38,456,0,16
01-26,144,1548,0,51
01-27,329,1597,0,74
01-28,583,3136,1,114
01-29,1046,1177,0,100
01-30,503,692,0,57
01-31,527,2279,2,110
01-32,588,1654,1,81
01-33,560,1030,0,77
01-34,78,1122,0,26
01-35,100,1642,2,35
01-36,1126,1258,0,116
01-37,760,919,1,79
01-38,554,1337,1,73
01-39,711,1541,1,115
01-40,245,3070,3,57
01-41,410,1445,0,78
01-42,1287,1210,0,86
01-43,643,1376,1,79
01-44,972,2103,1,121
01-45,573,920,0,60
01-46,366,1888,2,59
01-47,942,1029,1,80
01-48,460,1459,1,71
01-49,611,2080,0,95
01-50,185,2332,1,70
01-51,415,570,1,34
02-01,1441,1450,1,107
02-02,2932,2441,0,192
02-03,1535,1183,0,116
02-04,1244,984,2,68
02-05,481,486,0,33
02-06,1388,1020,0,90
03-00,2750,2941,1,283
04-01,666,1274,1,84
04-02,800,1446,2,86
04-03,590,1205,1,71
04-04,487,951,0,58
04-05,1207,2075,1,141
04-06,1034,1603,0,143
04-07,1301,1239,1,94
04-08,667,1523,0,98
04-09,936,1320,0,93
04-10,976,1555,1,100
04-11,414,944,2,56
04-12,1006,1539,0,86
04-13,1565,2593,2,194
04-14,586,939,3,68
04-15,802,1476,0,90
04-16,627,1244,1,72
04-17,526,1091,1,70
04-18,885,1676,1,104
04-19,623,991,0,61
04-20,877,1853,1,113
04-21,424,1138,2,56
05-01,1380,2318,2,139
05-03,1448,2239,2,146
05-05,2039,4381,1,231
05-06,1731,2777,1,218
05-07,1861,4424,3,265
05-08,898,2431,1,127
06-04,1565,2106,0,145
06-05,1616,1267,1,126
06-06,2636,3123,0,267
06-07,1382,1703,1,119
06-08,819,1169,2,91
06-09,3310,3242,3,349
06-10,1837,1660,0,153
07-01,500,1008,1,52
07-02,590,895,1,77
07-03,610,850,0,64
07-04,1098,2550,1,150
07-05,623,1038,0,60
07-06,1453,1801,1,154
07-07,1337,1939,1,129
07-07A,191,279,0,58
07-09,1035,1872,0,123
07-10,1489,3094,3,187
07-11,443,618,1,44
07-12,786,1627,1,116
07-13,730,1275,0,76
08-02,1443,2185,1,156
08-03,1844,3036,1,188
08-04,803,819,0,55
08-05,874,1038,0,87
08-06,467,1475,1,70
08-07,1211,1147,2,90
08-08,1708,2208,1,198
08-09,652,1090,1,86
08-10,939,1608,0,99
08-11,1325,2270,1,159
09-01,1149,902,0,73
09-02,1078,1802,2,104
09-03,1696,1631,1,96
10-01,732,390,0,49
10-02,1517,1887,2,103
10-03,1009,1339,0,71
10-04,2931,4382,0,224
11-01,1661,3216,4,240
11-02,1464,2624,1,164
12-01,3295,2360,2,226
12-02,2057,2268,2,158
12-04,2783,1606,1,168
12-05,3741,3320,2,285
12-06,2037,1719,1,159
12-07,1494,1176,1,81
12-08,1889,2281,2,208
12-09,2532,2118,1,209
13-01,981,3522,1,142
13-02,820,1029,0,87
13-05,463,1416,0,71
13-06,1106,1623,3,110
13-07,606,1506,0,66
13-08,516,2024,0,71
13-09,908,2967,2,107
13-10,2246,3082,0,224
13-11,1320,1522,1,120
14-01,466,268,0,25
14-02,3993,2422,0,211
15-01,2240,1550,1,119
15-02,2600,2529,0,165
15-03,2726,1766,0,140
15-04,1174,964,0,52
16-01,1155,1412,0,97
16-02,750,3329,1,112
16-03,475,833,1,40
16-04,1068,1331,2,99
16-05,996,1194,1,68
16-06,388,766,0,37
16-07,1245,1731,1,87
16-09,1428,2353,1,141
16-10,553,3598,3,84
16-11,500,2389,0,48
17-01,609,1621,0,72
17-02,642,810,0,39
17-03,1628,3948,1,185
17-04,1922,3984,0,198
17-05,897,2482,1,122
17-06,912,1078,1,75
17-07,493,2684,1,64
17-09,332,2933,1,73
17-10,369,704,0,39
17-11,936,2911,0,119
17-12,721,2267,0,81
17-13,1563,3026,1,152
18-01,906,3055,3,157
18-02,2435,1974,0,172
18-03,878,1279,1,83
18-04,1856,1874,0,141
18-05,2112,2499,1,187
18-06,1043,2473,0,161
18-07,1785,1365,0,130
18-08,1415,2374,0,175
19-03,1415,1343,0,125
19-05,1777,1218,1,128
19-07,2012,1935,1,175
19-09,2345,1923,2,174
19-11,1390,1595,1,145
19-12,3026,3237,4,244
19-13,771,1170,2,92
19-14,1239,1498,1,93
19-15,1328,1351,0,96
19-16,1097,1332,2,69
19-17,1493,3272,1,155
19-18,1412,1529,1,116
19-19,3222,2694,2,248
19-20,1558,1646,0,92
19-21,1907,2653,2,154
20-01,1289,1992,1,123
20-03,1679,2161,0,183
20-04,1208,2004,0,154
20-05,1723,2071,0,170
20-06A,1758,2698,2,212
20-06B,1424,1850,1,139
20-08,1876,2471,0,201
20-09,1086,1418,0,104
20-10,1054,1828,0,146
20-11,2016,2687,1,217
20-12,1969,2839,1,220
20-14,2148,3932,1,241
20-15,1141,2735,2,158
20-16,1100,2529,1,168
20-17,1477,2505,1,159
