id,Chris Brook,Jefferson G. Griffin,over,under
01-01,1266,364,1,61
01-02,1235,405,1,88
01-03,955,814,0,87
01-04,647,457,0,61
01-05,562,490,0,83
01-06,1859,684,0,104
01-07,1718,551,0,100
01-07A,194,36,0,13
01-09,807,259,0,54
01-10,889,474,0,52
01-11,1016,1284,0,128
01-12,1058,635,2,85
01-13,1144,258,0,50
01-14,2675,586,2,115
01-15,1173,845,0,108
01-16,1722,833,0,129
01-17,490,486,1,41
01-18,1475,833,3,96
01-19,1348,80,0,34
01-20,1960,308,2,61
01-21,2583,875,1,151
01-22,3046,227,1,72
01-23,2523,691,1,185
01-25,446,47,0,22
01-26,1538,132,0,70
01-27,1570,345,1,84
01-28,3118,581,1,134
01-29,1175,1038,1,109
01-30,674,521,1,56
01-31,2257,538,0,123
01-32,1657,568,0,99
01-33,1028,559,0,80
01-34,1130,63,0,31
01-35,1630,93,0,53
01-36,1256,1117,0,127
01-37,922,757,0,82
01-38,1344,537,0,84
01-39,1537,705,0,126
01-40,3051,245,0,79
01-41,1431,404,1,97
01-42,1219,1254,0,110
01-43,1358,650,0,91
01-44,2094,949,1,153
01-45,929,558,0,66
01-46,1881,351,0,83
01-47,1025,939,0,88
01-48,1447,472,0,72
01-49,2057,620,0,109
01-50,2320,183,0,85
01-51,572,407,0,41
02-01,1443,1429,1,126
02-02,2438,2917,0,210
02-03,1191,1517,0,128
02-04,985,1238,0,75
02-05,476,491,0,33
02-06,1023,1382,0,93
03-00,2934,2726,1,314
04-01,1263,668,0,94
04-02,1447,792,0,95
04-03,1214,576,2,75
04-04,949,482,0,65
04-05,2096,1184,0,144
04-06,1618,1008,0,151
04-07,1221,1303,2,109
04-08,1523,667,1,97
04-09,1303,941,0,105
04-10,1550,962,0,120
04-11,949,413,0,55
04-12,1537,986,1,109
04-13,2595,1535,0,228
04-14,918,609,0,69
04-15,1456,815,0,97
04-16,1267,600,1,76
04-17,1080,527,0,81
04-18,1681,873,0,112
04-19,995,606,0,70
04-20,1833,887,0,124
04-21,1130,425,1,64
05-01,2273,1401,1,164
05-03,2212,1452,0,171
05-05,4368,2016,1,267
05-06,2748,1736,1,242
05-07,4425,1843,2,283
05-08,2411,901,1,144
06-04,2110,1537,0,169
06-05,1244,1625,0,141
06-06,3113,2638,2,273
06-07,1712,1356,1,136
06-08,1164,812,0,105
06-09,3195,3339,1,369
06-10,1656,1826,0,168
07-01,1009,493,0,59
07-02,875,603,0,85
07-03,867,587,0,67
07-04,2531,1102,0,166
07-05,1044,611,0,66
07-06,1803,1432,2,172
07-07,1958,1312,0,136
07-07A,278,185,0,65
07-09,1843,1054,1,132
07-10,3093,1469,0,211
07-11,605,449,0,50
07-12,1630,764,1,135
07-13,1272,727,0,82
08-02,2201,1406,0,178
08-03,3037,1815,1,226
08-04,815,799,0,60
08-05,1044,866,0,92
08-06,1472,474,0,69
08-07,1128,1209,0,113
08-08,2199,1695,0,221
08-09,1079,653,0,97
08-10,1599,938,1,108
08-11,2246,1327,1,181
09-01,916,1125,0,83
09-02,1798,1079,0,109
09-03,1631,1682,1,110
10-01,387,732,1,51
10-02,1877,1519,0,113
10-03,1335,997,0,87
10-04,4373,2924,1,239
11-01,3199,1671,0,251
11-02,2609,1467,0,177
12-01,2346,3277,1,259
12-02,2268,2041,0,176
12-04,1577,2801,0,180
12-05,3307,3725,0,316
12-06,1719,2030,0,167
12-07,1161,1500,0,91
12-08,2271,1886,0,223
12-09,2114,2518,0,228
13-01,3477,994,1,174
13-02,1018,812,0,106
13-05,1406,467,1,76
13-06,1629,1086,1,126
13-07,1504,602,0,72
13-08,2018,506,0,87
13-09,2941,905,0,138
13-10,3060,2241,1,250
13-11,1511,1318,0,134
14-01,273,463,0,24
14-02,2378,3994,1,253
15-01,1565,2223,0,122
15-02,2525,2572,2,195
15-03,1786,2690,0,156
15-04,963,1152,1,70
16-01,1389,1163,0,112
16-02,3294,757,0,141
16-03,823,479,0,47
16-04,1321,1068,0,111
16-05,1198,986,0,75
16-06,752,384,0,55
16-07,1711,1237,1,115
16-09,2358,1404,0,161
16-10,3563,563,1,111
16-11,2382,485,1,69
17-01,1609,602,0,86
17-02,816,628,0,47
17-03,3901,1646,1,214
17-04,3974,1894,1,235
17-05,2468,893,0,141
17-06,1087,899,1,79
17-07,2669,493,1,79
17-09,2931,329,0,79
17-10,701,363,0,48
17-11,2870,951,1,144
17-12,2242,733,0,94
17-13,3001,1570,1,170
18-01,3048,896,2,175
18-02,1968,2415,1,197
18-03,1269,877,0,95
18-04,1848,1874,0,149
18-05,2501,2086,1,211
18-06,2477,1030,1,169
18-07,1368,1774,2,136
18-08,2348,1428,1,188
19-03,1333,1407,1,142
19-05,1196,1786,0,142
19-07,1942,1986,1,193
19-09,1900,2350,0,194
19-11,1583,1380,1,167
19-12,3208,3029,0,274
19-13,1180,761,0,94
19-14,1496,1217,0,118
19-15,1349,1309,0,117
19-16,1335,1083,0,82
19-17,3237,1507,2,175
19-18,1525,1396,0,137
19-19,2696,3208,0,262
19-20,1639,1537,4,116
19-21,2640,1912,0,164
20-01,2004,1258,0,143
20-03,2178,1641,0,204
20-04,2000,1202,0,161
20-05,2068,1710,1,185
20-06A,2696,1743,0,231
20-06B,1844,1409,0,161
20-08,2458,1872,0,218
20-09,1417,1078,0,113
20-10,1836,1035,0,153
20-11,2676,2007,0,238
20-12,2835,1964,0,230
20-14,3953,2093,0,271
20-15,2695,1159,0,182
20-16,2518,1091,1,188
20-17,2493,1471,0,178
