id,Jessica Holmes,Josh Dobson,over,under
01-01,1263,362,3,62
01-02,1239,413,0,77
01-03,974,798,1,83
01-04,663,451,0,54
01-05,568,499,0,68
01-06,1847,703,0,97
01-07,1715,569,1,86
01-07A,191,37,1,14
01-09,817,266,0,38
01-10,890,470,1,54
01-11,1031,1289,0,108
01-12,1060,630,0,88
01-13,1141,270,0,41
01-14,2701,581,1,95
01-15,1153,864,0,109
01-16,1752,816,1,115
01-17,501,479,0,38
01-18,1503,809,1,94
01-19,1354,78,1,29
01-20,1978,299,3,51
01-21,2617,867,0,126
01-22,3089,200,0,57
01-23,2561,674,1,164
01-25,452,41,0,17
01-26,1546,145,0,53
01-27,1583,352,0,65
01-28,3156,567,1,110
01-29,1196,1049,1,77
01-30,681,514,0,56
01-31,2299,511,1,107
01-32,1671,570,1,82
01-33,1028,561,0,78
01-34,1138,67,0,22
01-35,1646,95,0,38
01-36,1247,1143,0,110
01-37,949,749,0,63
01-38,1350,548,0,67
01-39,1576,689,0,103
01-40,3081,229,2,63
01-41,1442,406,0,85
01-42,1219,1270,0,94
01-43,1376,644,0,79
01-44,2124,946,0,127
01-45,921,569,0,63
01-46,1904,347,0,64
01-47,1044,933,1,74
01-48,1495,438,1,57
01-49,2086,600,1,99
01-50,2355,170,0,63
01-51,571,411,0,38
02-01,1436,1437,0,126
02-02,2468,2918,0,179
02-03,1236,1485,0,116
02-04,1017,1225,0,56
02-05,487,477,0,34
02-06,1027,1384,1,86
03-00,2997,2708,0,270
04-01,1285,665,1,74
04-02,1446,799,0,89
04-03,1233,569,0,65
04-04,966,474,0,56
04-05,2115,1171,0,138
04-06,1670,977,0,130
04-07,1215,1328,0,92
04-08,1566,629,0,93
04-09,1318,939,0,92
04-10,1578,953,0,101
04-11,970,397,0,48
04-12,1561,979,0,94
04-13,2610,1559,0,184
04-14,944,585,0,67
04-15,1493,795,1,79
04-16,1269,595,0,80
04-17,1120,499,0,69
04-18,1704,858,0,104
04-19,1002,606,0,65
04-20,1883,840,0,121
04-21,1142,413,1,64
05-01,2299,1399,0,141
05-03,2254,1433,1,147
05-05,4381,2030,2,239
05-06,2795,1713,0,219
05-07,4493,1795,2,263
05-08,2461,870,0,126
06-04,2157,1515,2,142
06-05,1251,1637,0,122
06-06,3146,2633,1,246
06-07,1734,1341,0,130
06-08,1213,780,0,88
06-09,3286,3290,1,327
06-10,1689,1810,2,149
07-01,1034,477,0,50
07-02,886,604,0,73
07-03,864,607,0,51
07-04,2563,1086,0,150
07-05,1055,607,0,59
07-06,1813,1438,1,157
07-07,1930,1341,0,135
07-07A,281,187,0,60
07-09,1880,1033,0,117
07-10,3120,1469,0,184
07-11,611,443,1,50
07-12,1637,769,1,123
07-13,1265,731,1,84
08-02,2226,1410,0,149
08-03,3069,1809,0,191
08-04,811,811,0,53
08-05,1060,861,0,80
08-06,1500,448,0,66
08-07,1146,1206,0,98
08-08,2229,1697,1,188
08-09,1106,642,0,81
08-10,1616,931,0,99
08-11,2295,1302,1,157
09-01,906,1150,0,68
09-02,1828,1060,1,97
09-03,1648,1690,2,84
10-01,390,734,1,46
10-02,1911,1497,1,100
10-03,1373,975,0,71
10-04,4407,2936,0,194
11-01,3222,1671,1,227
11-02,2626,1459,0,168
12-01,2315,3338,2,228
12-02,2300,2032,0,153
12-04,1631,2780,0,147
12-05,3334,3746,2,266
12-06,1750,2017,0,149
12-07,1171,1502,0,79
12-08,2307,1879,0,194
12-09,2132,2534,1,193
13-01,3534,965,3,144
13-02,1047,807,0,82
13-05,1428,456,0,66
13-06,1640,1097,0,105
13-07,1519,592,0,67
13-08,2022,516,0,73
13-09,3000,870,1,113
13-10,3085,2266,1,210
13-11,1509,1330,0,124
14-01,265,471,0,24
14-02,2438,3972,0,216
15-01,1606,2193,0,111
15-02,2562,2567,1,164
15-03,1822,2661,0,149
15-04,971,1154,1,61
16-01,1413,1154,0,97
16-02,3342,732,1,117
16-03,827,476,0,46
16-04,1348,1068,1,85
16-05,1212,975,1,71
16-06,754,397,0,40
16-07,1746,1230,0,88
16-09,2396,1385,0,142
16-10,3618,528,2,90
16-11,2403,476,0,58
17-01,1627,606,0,64
17-02,824,630,0,37
17-03,4001,1592,0,169
17-04,4067,1856,1,180
17-05,2493,895,0,114
17-06,1096,899,1,70
17-07,2719,457,0,66
17-09,2956,309,0,74
17-10,710,362,0,40
17-11,2916,940,0,110
17-12,2265,717,0,87
17-13,3035,1563,2,142
18-01,3079,894,1,147
18-02,2015,2392,1,173
18-03,1273,881,1,86
18-04,1889,1850,0,132
18-05,2502,2095,0,202
18-06,2500,1025,0,152
18-07,1428,1733,0,119
18-08,2374,1422,0,168
19-03,1371,1393,0,119
19-05,1224,1779,1,120
19-07,1961,1991,1,169
19-09,1933,2335,1,175
19-11,1598,1394,0,139
19-12,3248,3016,0,247
19-13,1178,762,0,95
19-14,1506,1227,1,97
19-15,1366,1319,1,89
19-16,1354,1073,0,73
19-17,3302,1466,1,152
19-18,1550,1390,0,118
19-19,2733,3218,0,215
19-20,1661,1536,1,102
19-21,2690,1876,0,150
20-01,2021,1252,1,131
20-03,2206,1627,1,189
20-04,2044,1173,0,147
20-05,2099,1706,0,159
20-06A,2765,1693,1,211
20-06B,1870,1397,1,146
20-08,2505,1830,1,212
20-09,1444,1072,0,92
20-10,1853,1015,1,155
20-11,2699,2000,0,222
20-12,2885,1945,0,199
20-14,3967,2106,0,244
20-15,2753,1116,2,165
20-16,2554,1069,0,175
20-17,2536,1432,0,174
