id,Dan Nagle,under
01-42,1573,1012
01-47,1224,828
02-01,1842,1157
02-02,3606,1959
02-03,1857,978
02-04,1475,823
02-05,623,378
02-06,1627,871
07-02,886,681
07-06,2053,1356
07-07,1914,1492
07-07A,263,266
08-04,1002,675
08-05,1189,808
08-07,1537,918
09-01,1318,806
09-03,2098,1326
10-01,805,366
13-10,3253,2299
13-11,1797,1166
14-01,526,237
14-02,4629,1997
19-03,1852,1031
19-05,2098,1026
19-07,2609,1513
19-09,2916,1528
19-11,1947,1184
19-12,4094,2417
19-13,1122,913
19-14,1725,1106
19-15,1703,1072
19-18,1949,1109
19-19,4043,2123
19-20,2104,1192
19-21,2801,1915
