id,Mark L. Stevens,under
01-04,803,364
01-09,889,232
01-10,1049,366
01-12,1280,496
01-13,1200,256
01-14,2802,576
01-15,1404,722
01-17,622,398
01-18,1701,706
01-28,3137,697
01-30,812,441
01-34,1105,118
01-36,1663,837
01-37,1170,589
01-38,1465,500
01-39,1736,633
01-43,1568,531
01-44,2282,916
01-45,1079,474
01-46,1902,413
01-51,702,318
07-03,1016,507
07-04,2852,947
07-05,1221,500
07-09,2149,881
07-11,733,374
07-12,1875,655
07-13,1477,604
08-02,2574,1211
08-06,1584,426
08-09,1299,530
13-02,1233,703
13-05,1537,413
13-06,1919,923
17-01,1721,576
17-05,2637,865
17-10,789,323
