id,Christine M. Walczyk,under
01-04,781,387
01-09,855,266
01-10,1012,403
01-12,1247,530
01-13,1181,272
01-14,2733,645
01-15,1358,768
01-17,591,429
01-18,1633,774
01-28,3126,708
01-30,788,466
01-34,1063,160
01-36,1621,879
01-37,1141,618
01-38,1422,543
01-39,1690,679
01-43,1508,591
01-44,2272,925
01-45,1056,497
01-46,1824,491
01-51,681,339
07-03,996,525
07-04,2762,1038
07-05,1186,535
07-09,2095,935
07-11,711,396
07-12,1820,710
07-13,1422,659
08-02,2544,1241
08-06,1543,467
08-09,1271,558
13-02,1237,699
13-05,1472,478
13-06,1911,931
17-01,1709,588
17-05,2621,881
17-10,746,366
