id,Anna Elena Worley,under
01-04,780,387
01-09,853,265
01-10,1014,401
01-12,1233,543
01-13,1180,275
01-14,2720,658
01-15,1339,788
01-17,584,435
01-18,1630,777
01-28,3102,732
01-30,796,459
01-34,1047,176
01-36,1610,890
01-37,1133,628
01-38,1416,549
01-39,1676,697
01-43,1489,610
01-44,2254,943
01-45,1051,502
01-46,1798,517
01-51,681,339
07-03,1003,520
07-04,2732,1067
07-05,1175,546
07-09,2083,947
07-11,714,391
07-12,1807,723
07-13,1415,666
08-02,2515,1270
08-06,1523,487
08-09,1256,573
13-02,1238,702
13-05,1467,483
13-06,1910,932
17-01,1705,592
17-05,2615,887
17-10,754,358
