id,Beth Tanner,Tim Gunther,over,under
03-00,2977,2684,1,313
04-13,1732,2392,0,234
04-19,680,914,0,78
05-01,1544,2134,0,161
05-03,1569,2082,2,182
05-06,1964,2526,1,236
05-07,2037,4195,1,320
05-08,1030,2272,0,155
06-04,1668,1979,0,169
06-06,2844,2876,3,303
06-08,862,1102,0,117
06-09,3561,2951,1,391
06-10,1958,1511,1,180
12-08,1975,2176,2,227
20-01,1368,1872,2,163
20-04,1320,1854,1,187
20-06A,1899,2512,1,258
20-06B,1547,1692,0,175
20-08,2047,2279,1,221
20-10,1198,1659,1,169
20-11,2196,2463,2,260
20-12,2150,2631,1,247
20-14,2354,3664,2,297
20-15,1282,2554,1,199
20-16,1190,2402,1,206
20-17,1607,2335,1,199
