id,April C. Wood,Tricia Shields,over,under
01-01,364,1264,3,62
01-02,419,1221,7,82
01-03,801,976,0,79
01-04,445,658,1,61
01-05,491,582,1,64
01-06,706,1846,2,93
01-07,587,1686,3,94
01-07A,41,189,0,13
01-09,268,808,1,44
01-10,457,907,2,49
01-11,1226,1085,2,115
01-12,615,1083,0,81
01-13,258,1154,2,38
01-14,595,2672,8,103
01-15,862,1161,3,100
01-16,859,1707,4,114
01-17,487,492,0,41
01-18,853,1463,3,88
01-19,94,1336,1,31
01-20,313,1965,0,53
01-21,922,2556,2,130
01-22,232,3055,7,52
01-23,710,2519,4,167
01-25,45,448,0,17
01-26,148,1542,1,53
01-27,353,1573,0,74
01-28,622,3101,1,110
01-29,1022,1201,0,100
01-30,517,677,0,58
01-31,534,2273,3,108
01-32,602,1640,5,77
01-33,564,1026,2,75
01-34,77,1123,0,26
01-35,114,1626,2,37
01-36,1114,1272,3,111
01-37,773,914,0,71
01-38,564,1329,1,71
01-39,720,1532,0,116
01-40,284,3026,5,60
01-41,431,1418,1,83
01-42,1264,1236,1,82
01-43,664,1355,6,74
01-44,971,2095,5,126
01-45,581,909,2,61
01-46,380,1872,2,61
01-47,941,1030,2,79
01-48,479,1447,1,64
01-49,633,2043,5,105
01-50,199,2315,3,71
01-51,418,566,1,35
02-01,1453,1438,2,106
02-02,2960,2412,5,188
02-03,1539,1184,3,110
02-04,1253,976,5,64
02-05,492,478,0,32
02-06,1392,1011,5,90
03-00,2793,2894,3,285
04-01,670,1277,3,75
04-02,805,1440,0,89
04-03,593,1203,0,71
04-04,518,926,0,52
04-05,1242,2055,1,126
04-06,1028,1613,1,135
04-07,1315,1231,1,88
04-08,683,1507,3,95
04-09,956,1302,1,90
04-10,987,1542,6,97
04-11,418,943,0,55
04-12,1009,1530,2,90
04-13,1603,2553,1,196
04-14,617,914,2,63
04-15,815,1456,3,94
04-16,626,1242,1,75
04-17,540,1078,3,67
04-18,910,1652,2,102
04-19,631,978,2,64
04-20,900,1825,6,113
04-21,447,1118,3,52
05-01,1451,2258,3,127
05-03,1477,2215,5,138
05-05,2125,4296,6,225
05-06,1784,2726,5,212
05-07,1940,4347,5,261
05-08,935,2392,1,129
06-04,1603,2065,3,145
06-05,1652,1238,3,117
06-06,2705,3055,5,261
06-07,1368,1706,5,126
06-08,846,1140,2,93
06-09,3415,3141,7,341
06-10,1872,1632,1,145
07-01,512,992,4,53
07-02,610,873,3,77
07-03,604,856,0,63
07-04,1134,2519,5,141
07-05,639,1023,1,58
07-06,1484,1769,5,151
07-07,1369,1911,2,124
07-07A,193,279,0,56
07-09,1033,1874,2,123
07-10,1554,3032,5,182
07-11,461,603,2,41
07-12,779,1639,2,110
07-13,754,1256,1,70
08-02,1446,2188,2,149
08-03,1888,2996,6,179
08-04,815,806,1,51
08-05,882,1033,2,81
08-06,495,1457,2,61
08-07,1235,1129,3,83
08-08,1739,2176,6,193
08-09,670,1073,2,84
08-10,952,1599,3,92
08-11,1343,2255,2,155
09-01,1157,895,2,70
09-02,1095,1798,0,93
09-03,1734,1602,1,87
10-01,751,377,0,43
10-02,1528,1873,3,105
10-03,1018,1329,1,71
10-04,2965,4347,6,223
11-01,1694,3190,8,229
11-02,1474,2617,2,162
12-01,3322,2333,10,218
12-02,2085,2242,5,153
12-04,2818,1581,1,158
12-05,3766,3298,3,281
12-06,2085,1668,1,162
12-07,1517,1155,3,77
12-08,1921,2254,1,204
12-09,2581,2075,4,200
13-01,1048,3467,3,130
13-02,837,1003,6,90
13-05,482,1397,3,68
13-06,1099,1632,4,107
13-07,635,1471,3,69
13-08,536,2003,7,65
13-09,934,2938,8,104
13-10,2288,3046,5,213
13-11,1366,1479,5,113
14-01,468,266,1,24
14-02,4027,2382,7,210
15-01,2251,1544,1,114
15-02,2636,2496,3,159
15-03,2746,1738,6,142
15-04,1181,949,0,57
16-01,1175,1390,2,97
16-02,793,3284,4,111
16-03,496,814,1,38
16-04,1089,1314,2,94
16-05,1013,1173,3,70
16-06,404,747,0,40
16-07,1288,1689,3,84
16-09,1458,2324,1,140
16-10,598,3559,3,78
16-11,514,2374,1,48
17-01,636,1590,2,69
17-02,642,805,3,41
17-03,1696,3881,3,182
17-04,1944,3965,5,190
17-05,926,2456,3,117
17-06,925,1068,3,70
17-07,520,2654,6,62
17-09,347,2921,1,70
17-10,376,692,1,43
17-11,991,2852,5,118
17-12,758,2228,7,76
17-13,1596,2989,4,153
18-01,951,3015,6,149
18-02,2475,1942,4,160
18-03,890,1268,3,80
18-04,1872,1854,4,141
18-05,2119,2492,5,183
18-06,1070,2444,4,159
18-07,1814,1337,4,125
18-08,1453,2338,5,169
19-03,1431,1325,2,125
19-05,1798,1208,3,115
19-07,2038,1917,8,159
19-09,2370,1895,8,171
19-11,1444,1546,2,139
19-12,3109,3162,7,233
19-13,780,1162,4,89
19-14,1240,1498,3,90
19-15,1308,1369,3,95
19-16,1115,1314,1,70
19-17,1543,3221,7,150
19-18,1426,1507,7,118
19-19,3263,2667,3,233
19-20,1566,1633,3,95
19-21,1943,2623,7,143
20-01,1295,1992,1,117
20-03,1704,2140,2,177
20-04,1237,1974,7,147
20-05,1730,2068,3,163
20-06A,1799,2668,5,198
20-06B,1452,1829,0,133
20-08,1898,2452,1,197
20-09,1092,1408,3,105
20-10,1065,1825,2,136
20-11,2080,2624,4,213
20-12,2001,2809,5,214
20-14,2141,3929,10,237
20-15,1169,2708,0,159
20-16,1123,2507,5,163
20-17,1496,2492,4,150
