id,Chris Dillon,Gray Styers,over,under
01-01,377,1254,0,61
01-02,439,1208,1,81
01-03,881,898,1,76
01-04,478,631,1,58
01-05,532,541,1,64
01-06,740,1816,0,91
01-07,613,1662,4,93
01-07A,35,195,0,13
01-09,260,808,0,49
01-10,500,866,1,48
01-11,1335,981,2,110
01-12,656,1045,2,72
01-13,275,1136,0,41
01-14,621,2652,3,102
01-15,896,1130,4,96
01-16,899,1671,2,112
01-17,495,482,0,41
01-18,858,1464,1,84
01-19,96,1331,4,31
01-20,318,1954,3,56
01-21,931,2547,0,132
01-22,241,3048,2,55
01-23,718,2513,2,167
01-25,49,450,0,16
01-26,155,1531,0,55
01-27,373,1555,1,71
01-28,627,3089,4,114
01-29,1114,1130,0,79
01-30,543,660,0,52
01-31,570,2240,1,107
01-32,595,1650,2,77
01-33,594,998,2,73
01-34,94,1111,0,22
01-35,112,1622,1,40
01-36,1175,1217,2,106
01-37,784,907,1,68
01-38,578,1316,2,69
01-39,722,1531,2,113
01-40,292,3019,6,58
01-41,437,1409,1,86
01-42,1303,1192,3,85
01-43,678,1347,0,74
01-44,991,2079,2,125
01-45,601,893,0,59
01-46,377,1877,4,57
01-47,983,993,1,75
01-48,489,1437,0,65
01-49,640,2044,3,99
01-50,207,2309,1,71
01-51,420,564,1,35
02-01,1504,1392,3,100
02-02,3032,2341,3,189
02-03,1553,1171,1,108
02-04,1263,969,1,65
02-05,507,462,0,33
02-06,1425,990,1,82
03-00,2838,2853,3,281
04-01,691,1248,1,85
04-02,841,1406,0,87
04-03,596,1199,1,71
04-04,511,926,0,59
04-05,1263,2025,1,135
04-06,1065,1575,0,137
04-07,1345,1196,1,93
04-08,702,1490,0,96
04-09,968,1284,3,94
04-10,1006,1521,1,104
04-11,439,922,0,57
04-12,1033,1511,0,91
04-13,1642,2509,2,200
04-14,625,904,1,66
04-15,848,1429,1,90
04-16,638,1231,0,75
04-17,548,1071,2,67
04-18,932,1630,0,104
04-19,642,964,0,67
04-20,934,1796,0,114
04-21,460,1106,2,52
05-01,1454,2244,1,140
05-03,1526,2167,1,141
05-05,2162,4248,5,237
05-06,1778,2728,3,218
05-07,1956,4332,5,260
05-08,953,2378,0,126
06-04,1587,2079,2,148
06-05,1658,1227,1,124
06-06,2712,3055,1,258
06-07,1407,1677,1,120
06-08,852,1135,1,93
06-09,3408,3138,4,354
06-10,1873,1619,1,157
07-01,524,991,0,46
07-02,633,856,2,72
07-03,629,835,1,56
07-04,1159,2483,2,155
07-05,645,1019,0,57
07-06,1549,1720,2,138
07-07,1391,1898,0,117
07-07A,212,265,0,51
07-09,1075,1834,1,120
07-10,1558,3020,5,190
07-11,473,591,1,43
07-12,800,1621,0,109
07-13,766,1245,0,70
08-02,1479,2148,3,155
08-03,1944,2937,2,186
08-04,822,796,1,54
08-05,911,1007,0,83
08-06,493,1455,3,64
08-07,1277,1086,2,85
08-08,1772,2139,3,199
08-09,692,1055,0,82
08-10,971,1581,3,91
08-11,1387,2210,1,157
09-01,1156,896,0,72
09-02,1109,1776,4,97
09-03,1723,1607,0,98
10-01,747,378,0,46
10-02,1554,1849,3,103
10-03,1031,1318,0,70
10-04,2993,4319,5,220
11-01,1760,3126,1,234
11-02,1545,2547,3,158
12-01,3358,2298,1,226
12-02,2089,2234,2,160
12-04,2817,1578,4,159
12-05,3827,3233,2,286
12-06,2084,1674,0,158
12-07,1523,1150,1,78
12-08,1931,2235,3,211
12-09,2601,2046,3,210
13-01,1037,3475,2,132
13-02,852,995,1,88
13-05,478,1405,0,67
13-06,1140,1590,3,109
13-07,626,1481,2,69
13-08,543,1993,5,70
13-09,952,2927,3,102
13-10,2314,3015,3,220
13-11,1385,1472,0,106
14-01,478,256,0,26
14-02,4076,2350,1,199
15-01,2246,1547,0,117
15-02,2657,2475,0,168
15-03,2759,1737,0,136
15-04,1172,955,0,60
16-01,1185,1382,0,97
16-02,780,3297,1,114
16-03,497,813,1,38
16-04,1102,1300,2,94
16-05,1019,1177,0,63
16-06,407,745,1,38
16-07,1286,1688,3,87
16-09,1448,2331,3,141
16-10,602,3551,2,83
16-11,505,2384,1,47
17-01,631,1594,2,70
17-02,661,794,0,36
17-03,1710,3868,3,181
17-04,1980,3931,3,190
17-05,931,2444,2,125
17-06,918,1078,3,67
17-07,515,2661,2,64
17-09,366,2896,3,74
17-10,368,706,0,38
17-11,1005,2846,2,113
17-12,768,2226,2,73
17-13,1616,2971,2,153
18-01,951,3004,3,163
18-02,2482,1933,2,164
18-03,932,1228,1,80
18-04,1915,1819,0,137
18-05,2196,2419,2,182
18-06,1086,2424,4,163
18-07,1812,1337,1,130
18-08,1467,2326,2,170
19-03,1443,1311,0,129
19-05,1823,1171,2,128
19-07,2043,1916,2,161
19-09,2385,1881,1,177
19-11,1444,1546,3,138
19-12,3122,3147,2,240
19-13,780,1160,4,91
19-14,1276,1464,0,91
19-15,1329,1350,0,96
19-16,1116,1316,2,66
19-17,1571,3194,6,150
19-18,1434,1506,2,116
19-19,3298,2618,1,249
19-20,1594,1612,1,90
19-21,1944,2620,4,148
20-01,1327,1950,1,127
20-03,1716,2118,1,188
20-04,1247,1964,0,151
20-05,1776,2017,0,171
20-06A,1826,2632,2,210
20-06B,1453,1816,1,144
20-08,1935,2399,3,211
20-09,1118,1384,1,105
20-10,1138,1747,3,140
20-11,2075,2628,2,216
20-12,2040,2770,6,213
20-14,2211,3860,4,242
20-15,1239,2637,3,157
20-16,1128,2493,1,176
20-17,1521,2462,0,159
